,relation
0,interacts_with
1,affects
2,measures
3,result_of
4,disrupts
5,occurs_in
6,complicates
7,associated_with
8,process_of
9,performs
10,uses
11,analyzes
12,diagnoses
13,manifestation_of
14,co-occurs_with
15,causes
16,isa
17,manages
18,contains
19,precedes
20,produces
21,evaluation_of
22,issue_in
23,part_of
24,location_of
25,degree_of
26,property_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,prevents
32,carries_out
33,ingredient_of
34,adjacent_to
35,indicates
36,conceptually_related_to
37,treats
38,conceptual_part_of
39,connected_to
40,surrounds
41,interconnects
42,practices
43,consists_of
44,developmental_form_of
45,derivative_of
