,entity
0,diagnostic_procedure
1,sign_or_symptom
2,age_group
3,genetic_function
4,group
5,neoplastic_process
6,molecular_function
7,governmental_or_regulatory_activity
8,population_group
9,biomedical_or_dental_material
10,natural_phenomenon_or_process
11,amino_acid_peptide_or_protein
12,clinical_attribute
13,chemical_viewed_functionally
14,disease_or_syndrome
15,organism_function
16,regulation_or_law
17,organ_or_tissue_function
18,body_part_organ_or_organ_component
19,receptor
20,medical_device
21,geographic_area
22,mental_process
23,laboratory_procedure
24,organism_attribute
25,neuroreactive_substance_or_biogenic_amine
26,organic_chemical
27,cell_or_molecular_dysfunction
28,enzyme
29,element_ion_or_isotope
30,qualitative_concept
31,research_device
32,hazardous_or_poisonous_substance
33,patient_or_disabled_group
34,experimental_model_of_disease
35,eicosanoid
36,vitamin
37,physiologic_function
38,body_location_or_region
39,acquired_abnormality
40,virus
41,hormone
42,mental_or_behavioral_dysfunction
43,research_activity
44,antibiotic
45,pharmacologic_substance
46,anatomical_abnormality
47,injury_or_poisoning
48,body_system
49,cell_function
50,mammal
51,organism
52,body_substance
53,gene_or_genome
54,bird
55,steroid
56,health_care_related_organization
57,animal
58,food
59,finding
60,bacterium
61,biologic_function
62,body_space_or_junction
63,congenital_abnormality
64,alga
65,anatomical_structure
66,pathologic_function
67,health_care_activity
68,cell
69,inorganic_chemical
70,tissue
71,individual_behavior
72,plant
73,biologically_active_substance
74,therapeutic_or_preventive_procedure
75,chemical_viewed_structurally
76,lipid
77,reptile
78,professional_society
79,carbohydrate
80,immunologic_factor
81,phenomenon_or_process
82,organophosphorus_compound
83,professional_or_occupational_group
84,cell_component
85,family_group
86,nucleic_acid_nucleoside_or_nucleotide
87,social_behavior
88,molecular_biology_research_technique
89,temporal_concept
90,self_help_or_relief_organization
91,molecular_sequence
92,vertebrate
93,substance
94,invertebrate
95,chemical
96,laboratory_or_test_result
97,occupational_activity
98,educational_activity
99,fully_formed_anatomical_structure
100,machine_activity
101,embryonic_structure
102,daily_or_recreational_activity
103,behavior
104,indicator_reagent_or_diagnostic_aid
105,manufactured_object
106,entity
107,biomedical_occupation_or_discipline
108,amino_acid_sequence
109,human
110,organization
111,group_attribute
112,rickettsia_or_chlamydia
113,fungus
114,drug_delivery_device
115,fish
116,environmental_effect_of_humans
117,amphibian
118,clinical_drug
119,activity
120,carbohydrate_sequence
121,conceptual_entity
122,occupation_or_discipline
123,nucleotide_sequence
124,functional_concept
125,quantitative_concept
126,human_caused_phenomenon_or_process
127,intellectual_product
128,archaeon
129,classification
130,language
131,physical_object
132,spatial_concept
133,event
134,idea_or_concept
