,entity
0,acquired_abnormality
1,anatomical_abnormality
2,alga
3,mental_or_behavioral_dysfunction
4,health_care_activity
5,population_group
6,clinical_attribute
7,body_part_organ_or_organ_component
8,biologically_active_substance
9,disease_or_syndrome
10,carbohydrate
11,molecular_sequence
12,steroid
13,experimental_model_of_disease
14,patient_or_disabled_group
15,professional_or_occupational_group
16,nucleic_acid_nucleoside_or_nucleotide
17,organism_function
18,mental_process
19,therapeutic_or_preventive_procedure
20,cell_function
21,pathologic_function
22,organ_or_tissue_function
23,enzyme
24,cell
25,cell_component
26,cell_or_molecular_dysfunction
27,hormone
28,organic_chemical
29,behavior
30,neuroreactive_substance_or_biogenic_amine
31,embryonic_structure
32,neoplastic_process
33,laboratory_procedure
34,natural_phenomenon_or_process
35,immunologic_factor
36,receptor
37,self_help_or_relief_organization
38,pharmacologic_substance
39,molecular_function
40,regulation_or_law
41,human
42,eicosanoid
43,amino_acid_peptide_or_protein
44,group_attribute
45,organism_attribute
46,finding
47,congenital_abnormality
48,anatomical_structure
49,molecular_biology_research_technique
50,diagnostic_procedure
51,biologic_function
52,tissue
53,hazardous_or_poisonous_substance
54,chemical_viewed_functionally
55,reptile
56,family_group
57,virus
58,indicator_reagent_or_diagnostic_aid
59,sign_or_symptom
60,antibiotic
61,chemical_viewed_structurally
62,body_space_or_junction
63,amphibian
64,health_care_related_organization
65,fish
66,physiologic_function
67,animal
68,injury_or_poisoning
69,lipid
70,plant
71,organization
72,genetic_function
73,gene_or_genome
74,laboratory_or_test_result
75,spatial_concept
76,rickettsia_or_chlamydia
77,body_substance
78,intellectual_product
79,element_ion_or_isotope
80,research_activity
81,geographic_area
82,professional_society
83,organophosphorus_compound
84,body_location_or_region
85,invertebrate
86,age_group
87,human_caused_phenomenon_or_process
88,phenomenon_or_process
89,individual_behavior
90,bird
91,mammal
92,qualitative_concept
93,environmental_effect_of_humans
94,social_behavior
95,biomedical_or_dental_material
96,quantitative_concept
97,inorganic_chemical
98,drug_delivery_device
99,educational_activity
100,chemical
101,vitamin
102,fully_formed_anatomical_structure
103,group
104,nucleotide_sequence
105,body_system
106,food
107,bacterium
108,fungus
109,research_device
110,governmental_or_regulatory_activity
111,idea_or_concept
112,occupational_activity
113,physical_object
114,vertebrate
115,substance
116,medical_device
117,manufactured_object
118,classification
119,daily_or_recreational_activity
120,conceptual_entity
121,occupation_or_discipline
122,amino_acid_sequence
123,clinical_drug
124,activity
125,event
126,temporal_concept
127,archaeon
128,language
129,biomedical_occupation_or_discipline
130,functional_concept
131,machine_activity
132,entity
133,carbohydrate_sequence
134,organism
