,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-0.4646881,-2.1235678,-0.44461438,-0.9402838,0.87714005,-1.3210213,-1.1573988,2.2466793,-1.0709239,0.28175306,-0.5946886,0.5403008,-1.1139302,0.22507972,-0.294584,-0.4939171,0.9997049,-1.291464,-0.5106198,-1.7120547,0.11553289,1.1552352,-0.41444874,-0.62353694,-0.25241607,0.6635831,0.86181015,-0.48982432,-1.1784905,-1.0815308,0.93228406,0.9232537
activity,0.043671113,0.15941037,0.59315705,-0.46849382,0.32145074,-1.8179915,-2.4762137,0.69970566,-1.8135406,-1.4661053,0.013548522,1.3206432,0.008047733,1.8995411,0.24871367,-1.1647931,-1.8774811,0.42136562,-1.2884912,-0.14226387,0.48090255,1.3774744,-0.16748437,0.43355393,2.0135078,-0.515959,-0.87379885,0.1639938,-0.85737,-0.4468564,0.6833883,2.3240943
age_group,-0.028775906,0.1761146,-0.4621363,-1.0059581,0.39016807,-1.3463361,0.3756928,1.2309182,-0.33626205,-2.1084363,0.39623347,1.7166009,-0.71145004,1.0065788,-0.7538811,-2.6331134,1.1884891,-1.3778331,-1.2076011,-0.21824995,0.20346704,0.67007697,-1.4285315,-0.800472,1.156007,0.44716543,-1.1408978,-0.8992945,-0.67528915,1.1919025,0.4863381,1.0145907
alga,0.4349048,2.2525985,1.2646188,-0.096231714,-0.4901405,-0.3071701,-1.5112991,0.9673818,0.32579714,-1.5907035,0.9120507,1.3281467,1.613875,0.68666565,0.43148348,-1.8691145,-0.7206412,-0.044700705,-1.0610322,0.20534863,-0.9387987,-0.47478873,-1.6354519,-1.1439284,-0.5664413,0.5849274,0.32163185,-0.7786542,1.3839049,0.40409902,0.95486677,1.7627329
amino_acid_peptide_or_protein,-0.875328,-0.37583482,-0.15895128,0.5394779,-0.40718734,-0.05151228,-1.4135715,1.7894659,-0.8355222,0.09563753,-0.028548796,0.2289192,-0.96187854,1.4640362,2.2227561,-1.6646487,0.33075902,-0.47418272,-0.9140388,1.5590097,0.5540361,0.74644023,-1.8957995,0.74345154,1.1311681,-1.2958456,0.59269243,-0.7209279,1.6312728,-0.96821314,0.7821203,1.7451003
amino_acid_sequence,0.19135973,-0.6300386,-0.23903735,-0.40469205,0.33868486,-0.49546367,-0.22646818,0.6544041,-0.8726039,0.16163528,-0.31504416,1.1640414,1.7319783,1.6667541,2.5796385,0.56737554,-0.48955706,-3.1043725,-1.9884969,0.96670985,-0.07083285,0.6143067,-0.9538133,-0.014752347,-0.47390664,0.31506613,-0.86367375,-0.41131088,-0.96724236,0.07967977,1.7344801,2.2949486
amphibian,-0.9713463,1.6148555,-0.69388354,0.18978268,-0.66935784,0.065728955,-0.8766256,1.7775004,0.35361135,-0.19843021,1.1242388,1.1013229,1.6487801,1.0092078,0.09832786,-1.7933139,-0.8804721,-0.71634185,-0.5813632,-0.46435547,-1.3815695,-0.018736092,-2.5869586,-0.4923694,-0.36679617,-0.30477214,-0.052964177,-1.0641769,1.5549227,0.64541835,0.31774276,1.735503
anatomical_abnormality,0.24304388,-1.9561645,0.681822,-0.45777285,0.7286218,-0.3407371,-1.3284308,2.1423874,-0.9629009,0.47610503,-0.22390503,0.8442833,-1.2348328,0.07980891,0.8854398,-0.28351134,1.0798782,-1.3636979,-0.49639648,-2.0035086,0.14774229,1.8677902,-0.67139995,-0.99179137,0.5590788,1.5025089,0.67294174,-0.41111168,-1.0789495,-0.88373053,1.2166569,0.9546923
anatomical_structure,0.025077408,-1.0419589,-0.44890517,-0.21169865,0.71373135,-2.9592845,-1.3400297,0.08987143,-1.8209062,0.10346338,0.0047179814,0.42104012,-2.183878,-0.16534773,0.46271455,-1.2745047,-0.7025246,-1.0663253,-2.230206,-2.172949,0.7652303,1.3105799,0.23224692,-0.4080178,0.16874959,0.07061273,-0.93054414,-1.7315104,0.86159426,0.33380547,0.4983881,2.1476693
animal,0.31421986,1.4154971,-1.0084509,0.78850406,-0.6943516,0.55552167,-1.2031087,0.36976632,0.2985831,-0.70791346,-0.08492868,2.2456758,1.7462404,1.214187,0.6726972,-1.0306716,-0.6252361,-0.33470738,-1.4082322,-0.5144486,-0.58263177,0.08494518,-2.3574214,-0.58358455,-0.48390746,0.19480336,0.16016024,-0.88726425,1.4505928,0.08663879,0.9917511,1.7483246
antibiotic,-0.23910095,-0.66919714,-0.38450146,-0.84471726,-0.73195446,0.044052612,-0.9370919,0.51805854,-0.5390467,-1.2443624,1.2782712,-0.57465523,-1.1921382,1.7020394,1.2517143,-0.8951345,1.7301468,-0.59922105,-1.6230221,-0.20766737,-0.16561007,1.4364557,-0.8651267,-0.40384609,-1.5256226,-1.1239406,0.882831,-3.2512133,1.7123301,-0.31552967,1.1940458,2.1131747
archaeon,-0.15819688,2.203694,0.5561222,0.5004127,0.40797856,0.051830724,-1.2921925,1.4632722,0.3069454,-0.79947376,0.28417265,1.7392411,1.447427,1.3909209,-0.30187842,-1.7480522,-1.2846673,-0.5119615,-0.6932809,-0.2063333,-0.7052785,-0.7205284,-2.467659,-0.35821444,-0.045227572,0.29759568,0.4148185,-1.0702047,1.2106577,0.2988531,0.11448683,2.0404887
bacterium,-0.35195732,1.1772316,0.43567994,-0.5265457,0.9672061,-0.15089902,-0.4086112,1.7734604,0.55881935,-0.28510737,0.23688366,1.2534581,2.6998441,1.0230943,1.482646,-1.4016316,-0.007373173,-0.30063567,-0.8909252,-0.6540543,-1.329485,-0.55355984,-1.0012077,-0.29854378,0.2773619,-0.11714335,0.4110177,-0.2663627,1.7406137,-0.3649074,1.7830629,1.9260304
behavior,0.38273022,-0.30366424,3.15579,-0.7440538,1.3074816,-0.27140015,-1.9765466,1.2497714,-1.9497123,-0.6109806,-0.3113687,0.9531243,0.3673314,0.2031585,-0.04096138,-1.164525,-0.7882902,-0.4671156,-1.1034056,-1.2207414,-0.88562346,1.0019896,0.5946555,1.183165,-3.454876,0.6646478,-0.51910406,-0.4590569,-0.95644486,-0.3643396,1.1437366,1.373206
biologic_function,-0.619812,-0.82143253,-0.017849952,0.63211495,0.014538529,-1.5989765,-1.5570005,1.8741102,-1.515795,1.8284324,-1.343712,1.1975226,-0.858595,0.5693501,1.120804,-0.1671725,0.4070147,-0.1360743,-0.8718071,-0.7326345,-1.7077965,-1.230046,-2.253742,0.33116516,-0.247757,0.31730345,1.7782255,-0.26286772,-1.3362347,-0.93544567,0.9686392,1.6144676
biologically_active_substance,-0.3512862,-0.7543184,-0.34171072,0.12978919,0.9841773,0.20469259,-0.036004886,0.9833329,-1.7431165,-0.80961156,0.46307406,-0.22661488,-1.1187713,0.46642902,1.3420267,-1.3047824,0.5558681,-0.6370289,-0.87513447,0.27991506,0.18166149,1.1732652,0.1379188,-0.3621387,-1.5820299,-0.0100059975,0.6113382,-0.9466902,1.262378,-1.40714,1.5222191,1.5895617
biomedical_occupation_or_discipline,-0.15787518,-0.019384537,-1.911748,-0.15633129,-1.1302193,-1.6057941,-0.45248458,-0.07307653,-1.3040934,0.18930797,0.253917,1.8463264,-0.41458628,-0.7753832,1.9316857,-0.2530692,-1.3623744,0.0012037572,-0.39445713,-0.19998425,0.806871,0.21015073,0.3471837,-0.44757855,0.675614,-0.05519385,-0.3551754,-0.8319407,-0.047015972,0.2393161,1.5377046,1.1666448
biomedical_or_dental_material,0.8790657,-0.16498041,0.6139255,0.13947098,-0.8896474,0.27419633,-0.8061545,1.4919482,-1.5859883,-0.23519559,-0.7552931,0.2141491,-0.48091474,1.1168222,1.8963623,-1.5165968,0.97275114,-0.96444404,-1.8595939,-0.19614573,-0.18502906,0.6757477,-0.96137774,0.5784817,-0.44088775,-0.33564758,0.6306681,-0.41548836,1.7790865,-0.7268298,0.30316028,1.5118502
bird,-0.5949182,1.6657075,-0.7672905,-0.4524779,0.085178904,0.429618,-0.7436848,2.077428,0.76587504,-0.10065574,0.11048458,0.87726253,1.1780133,1.3186544,1.2790511,-1.664045,-0.23460388,-0.1821458,-1.330543,-0.6059761,-0.7188657,-0.04408042,-3.386499,-0.20967361,0.3482907,-0.24060827,0.2772028,-0.61004424,1.2039977,0.6095473,0.28215608,1.4442476
body_location_or_region,0.32066482,0.2605457,-0.9074304,-1.6209383,-0.20880324,-1.8872056,0.13783403,1.8349675,-0.89344484,0.32785988,-1.6461282,-0.18474786,1.1486605,1.3472646,0.15084003,-0.77410185,-0.4840961,-1.9455769,-0.88831145,-0.8050307,-0.3091091,0.7758105,-0.3604682,-0.44971916,-0.47421682,0.4107898,-0.7891848,-0.52506316,-0.49454328,1.053897,1.291483,1.6070286
body_part_organ_or_organ_component,-1.9554446,-0.0007747654,1.2893602,-0.4429496,0.6849978,-1.600282,-0.6832689,1.4977199,-1.3336774,0.45862466,-2.1689446,1.1447718,-0.953226,0.6721115,-0.027027009,-0.88489646,-1.1155525,-0.24912587,-1.5030202,-1.1808282,0.98788387,0.09507375,-0.34375787,-0.6124512,-0.4050632,-3.4581506,-0.00855701,-0.0286115,1.0755526,2.2074287,0.041775804,1.1613266
body_space_or_junction,-0.8521138,0.017037945,0.08052489,0.038906705,0.06506435,-2.5465806,-0.8994794,2.134626,0.45566207,-0.16652763,-2.6663868,-0.10915369,0.80091345,0.5786914,1.9403113,-0.114057146,-0.46172926,-1.6816345,-1.4795437,-0.72857183,0.16254234,0.4765043,-0.1518399,-0.66941106,0.3402126,0.2683778,-0.5467542,0.17029916,-0.8062328,1.2161527,1.1790677,1.6816412
body_substance,-1.5639839,-0.26991346,0.10750919,-0.8348202,-0.42674175,-0.7681794,0.48761216,1.0897384,-1.250285,-1.3950036,-2.6030438,-0.40011093,-0.949995,1.4344627,0.5419005,-0.5335476,0.86745024,-0.49747542,-0.82660854,1.3859415,0.61124986,1.0247325,-0.8890334,-0.64997244,0.06059418,1.9280182,-0.62247896,-1.8958215,0.5071891,-0.4794664,1.2741039,1.8415148
body_system,-0.46072444,-1.1369681,0.14147086,-1.3404378,-0.06063726,-2.237838,-1.8579727,0.61535066,-1.0569111,-0.4286819,0.49818492,0.6825355,-0.51144165,2.0400603,0.38493368,-0.4603316,-0.43838084,-2.555844,-2.08692,0.9022782,0.676717,0.18886138,-0.042958796,0.50302804,-0.12899177,0.4472095,0.044167,-0.4860685,-0.94780415,1.1987094,0.8167647,1.6006266
