,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,0.13675123,0.74145913,-1.0626633,1.3709525,1.2891724,-1.8921938,0.576859,1.2329462,-0.002171203,0.5189292,1.4164971,0.99088913,0.4228604,-0.09206395,2.2666621,-1.8814201,-0.5145693,-1.1154226,-0.5205869,-0.51004565,-2.234722,-0.36910737,0.5606405,0.60639095,0.49680954,-0.6520213,-0.84008086,0.888678,1.0161922,-1.5658602,-0.56995016,0.041761033
activity,-0.47722274,-0.09268582,0.66982377,1.2591231,1.1659443,-2.2544188,0.7808746,0.3099361,-0.19248487,-0.40749833,-0.021270677,0.6301297,-0.7751604,-2.0192034,-0.3467974,-1.9692719,0.8597426,0.42474136,2.3379717,-0.89886737,-0.38452834,0.2309975,0.26602274,-0.3718676,0.7753968,-1.0981821,-2.3862488,-0.07884651,-0.4371268,-1.0501655,-1.2784352,-0.32253367
age_group,0.7185576,0.302913,1.7197139,0.86726683,1.0958788,-1.6506813,0.12987994,0.97323453,1.6329308,-0.66407824,-0.24521692,-1.7323216,-0.9128093,-0.37942207,-0.76829404,-0.4845782,1.2913254,1.2169404,-1.9983102,-2.0826964,0.7091915,-0.3565901,-0.21311533,-0.16024725,1.9398001,-0.80430514,-1.9425285,-0.11759488,-0.7340025,-1.6687258,0.67552257,0.05313422
alga,-0.21856879,0.86939836,-0.58265465,-1.4110521,1.2220638,-2.2898288,-0.3526362,-0.1954683,-0.09101713,-1.6569102,0.36785582,-1.8120594,-0.7746008,-1.4265555,0.10415705,0.7173304,-0.35526872,0.7525027,0.60745436,-0.799213,2.000496,0.83530885,0.43146452,0.22868606,1.0637045,-1.2837597,-1.3252593,1.9263396,0.6827541,-1.0276737,1.3777864,-0.76112324
amino_acid_peptide_or_protein,-0.4830473,-0.09395304,-0.5179257,-1.1518481,0.7086634,-1.5516435,-0.07029101,0.85720664,1.500087,-0.061125487,1.575112,0.57446396,-0.9350576,-1.1248465,-1.4112613,-0.041215476,-0.1076597,1.7368376,-0.020091515,0.54908633,-1.4400063,-0.20501791,0.6124899,-2.3577654,1.1864009,0.4153784,-2.053273,1.34077,0.7310337,-2.4950986,-1.2781783,0.7576835
amino_acid_sequence,1.0236443,-0.17918654,-0.2648671,0.6997764,1.4473479,-1.4590542,-0.70248926,0.24432267,0.5546229,0.93926096,0.1227629,-0.58290696,-1.8861017,-1.1428219,-1.1359618,-0.8266184,0.012128388,0.39505205,0.71043575,-2.4834297,-1.2312188,-0.6438242,-1.2373489,-0.49987993,1.1651436,-1.5543268,-1.7666203,0.020481426,0.4271648,-0.4390433,0.111186616,1.3115382
amphibian,0.6629586,-0.4426733,-0.9687653,-1.7354333,1.4198822,-1.6970892,-0.033822242,-0.09961442,-1.3453236,-0.59280205,0.17347161,0.36083317,-1.2277049,-1.6417847,0.6858157,-1.1226214,-0.74098057,0.44433507,-0.22646338,-1.9523107,1.6523944,0.71802795,0.19244233,-0.4152754,1.5431297,-0.6562521,-1.6973436,0.75672835,0.8495796,-1.1843398,0.5636525,0.16307169
anatomical_abnormality,0.4656853,0.84275126,-1.0169176,1.0875667,1.1669798,-2.020841,-0.069034606,1.7635298,-0.3672191,0.8028293,1.578379,1.1284965,0.37829214,-0.22648811,1.8118428,-1.5537082,0.05123753,-1.3509849,-0.8793083,0.27763796,-2.1211832,-0.3448539,0.61197037,0.8152282,0.48230794,-0.6566172,-0.9176004,0.6534486,0.4508275,-1.6817318,-0.29464608,-0.6405322
anatomical_structure,0.39414787,0.664639,0.25406677,0.027465675,1.8394817,-1.9158968,-0.101206936,-0.46788752,0.7950008,0.33104149,-0.29674688,1.5570184,-0.33298814,0.40279442,1.2419909,-1.0084279,-0.18168639,-0.6842409,0.78795815,-0.39672726,-1.6521958,1.2410518,0.18855026,-0.95159197,0.12900591,-0.8700997,-1.3909603,0.24757206,-0.4974985,-0.7245136,0.52370197,-0.8517404
animal,0.1474376,-1.3515046,-0.29281336,-0.96053594,0.775218,-1.3335482,-1.3326738,-0.6541875,-0.9270947,-0.46111742,-0.049483422,0.53446496,-1.2253648,-2.053,0.087696165,0.008531624,-0.468676,0.743867,-0.6584563,-0.26722348,1.4675595,0.624433,0.09481813,-0.6508697,0.4713375,-0.42514992,-1.7814001,1.1843872,0.24469817,-1.4054319,0.25121036,-0.3669512
