relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-1.9918709,-1.0693024,-0.47130615,0.40347326,1.157641,-1.0106643,-0.32707903,-0.8274642,-1.4620329,0.4396924,1.3141931,-0.13704072,0.020466665,0.9780542,-0.27577007,-1.7419535,2.1656997,0.2713742,0.16238847,-0.2616372,-1.4807522,0.247841,2.6190643,0.82188326,-1.137198,-2.4002948,-1.2750026,-0.17928657,-2.27038,0.6823738,3.6599097,0.19990581
adjacent_to_inverse,-0.6486452,-0.50503856,-1.6673297,-0.3443802,0.15596072,-1.142325,0.1766966,-0.49306297,-0.584023,0.39441293,1.348673,0.5106555,1.909367,2.0174308,-0.45822537,-1.5813411,2.2324958,0.55553776,-0.08444116,-0.3141812,-2.7501662,-2.85795,0.8568289,-0.7491483,-0.1748626,-2.199061,-0.6508135,0.23872598,-0.2818011,0.40498114,1.029551,0.526505
affects,-1.0507656,-0.31613797,1.0301315,-0.39133087,-0.16463353,-1.2971597,-0.37010926,0.14371748,-1.3783212,-0.17512657,-0.25767136,0.23316464,-1.0178087,0.054124266,0.53770506,0.10246181,-1.0745714,-0.85800296,1.0986166,-0.39620084,-0.9630079,0.8592436,0.6931934,-0.38133445,-1.6228713,-0.5126981,0.45557758,0.0076433746,1.4142913,0.48260346,-0.879029,-0.03168979
affects_inverse,-1.2466451,-0.47584984,0.99710554,-0.42746627,-0.25730312,-1.4339043,-0.62404823,-0.023128768,-1.573864,-0.84936225,-0.3229086,0.5208522,-1.248824,0.010691796,0.6706431,0.09712728,-0.6816138,-1.0179555,1.6201371,-0.6992848,-0.96229273,0.9872354,0.78454405,-0.2323908,-1.7617166,-0.59153044,0.3731681,-0.020443391,1.8131725,0.40094328,-0.4762076,-0.051998165
analyzes,-0.5229717,-1.0421543,-0.1960303,-2.4906812,0.30032936,-1.4323425,2.1726797,-0.23507942,0.003622584,-0.78597265,0.855327,-0.3586109,1.0958061,-0.16318163,-0.07099244,-1.7041819,-1.0923952,-0.8741122,-2.9845989,1.7501388,-2.4450045,-0.5375101,-1.2357528,-1.6515999,0.1591085,-2.1987693,1.2234417,-0.99602425,-1.4277114,-2.055191,0.23010843,-1.1330559
analyzes_inverse,-1.4061723,-0.085210264,-0.6858905,-1.9848318,0.50946426,-1.5319837,0.38575488,-0.24967258,-1.1026292,0.3521326,0.9373395,-0.27282947,1.1198828,-0.5489499,0.030793466,-2.268598,-0.4407776,-1.2073256,-1.9503573,1.2837024,-1.6357534,-0.57665944,0.26036143,-0.43806148,-1.7520006,-0.5596806,-1.6812017,0.058551908,-0.8117715,-1.3970255,2.0900636,-0.41879427
assesses_effect_of,-0.1395873,-0.091170415,-0.32199776,-1.2687397,1.5491638,-2.921142,0.23390596,-1.7467523,-1.4889307,2.2773676,-0.36563516,1.1438614,0.42624572,-0.47347215,-0.27327138,-1.8542548,-1.4192327,-0.7616116,-3.6914265,-0.9026387,-2.0433092,-0.8712254,1.6954856,1.133386,0.16935635,-0.6478104,-0.63098747,-0.38030532,-0.6729117,0.14909235,-1.3147933,-0.46726918
assesses_effect_of_inverse,-1.5894697,-0.47387618,0.20890479,-1.4965371,0.67480904,-1.9200284,-1.0628409,-1.3338032,-1.2368876,1.1016207,-0.48221153,-0.12712826,0.2503751,-1.6062528,0.48995695,-3.4477952,-0.7532626,-1.1410924,-3.2130537,1.1299064,-1.7120539,0.33014983,0.22966817,-0.5393989,-1.2675042,-1.0601034,-1.3085531,-0.22773515,-0.40528536,0.046211794,-0.2359068,0.23733689
associated_with,-0.6346314,0.06343962,-2.4261532,0.17356184,1.9217306,-1.1819742,-1.2924395,0.31168985,-2.1496198,0.194628,0.47631618,-0.32378763,-0.5126638,1.6957053,-0.4113656,-1.0179948,-0.65833724,-0.6799979,-0.044843115,-0.5849669,-1.2962327,0.24985495,-1.2864972,-1.1900935,-0.4711798,0.9287565,-0.2282747,-0.72292304,0.076968774,-0.15806206,0.9958168,0.8216087
associated_with_inverse,-0.28269395,0.0030201073,-3.006486,0.24723594,2.140462,-1.3795367,-1.5371768,0.6913945,-2.0643926,0.3461111,0.5535898,-0.14617862,-0.38174176,1.4378743,-0.67151624,-1.4168154,-0.64738405,-0.90133005,-0.48233098,-1.0374874,-0.7751421,-0.27454996,-1.3922385,-1.7223437,-0.767796,1.3315749,-0.014026314,-1.045748,0.15626188,0.19455738,1.2366254,0.6485816
carries_out,0.3240903,-0.29577205,-0.43023577,-0.2725747,-0.4631858,-1.7761494,-0.7384335,0.28252077,-2.1671393,-1.3506546,0.3072122,0.000165971,-0.44186485,-0.48896068,1.5882215,-2.2382941,0.7626129,1.563964,-1.1783875,-0.2764823,-1.4196955,-0.8588921,-1.8893385,0.062204894,0.079604454,-1.1321641,-3.2531602,0.48426643,-0.7109472,0.044111207,0.37273037,0.14684042
carries_out_inverse,-0.60999185,0.5855839,-0.39275494,0.10455505,0.16745526,-0.5495476,0.029583804,-0.11927709,-0.19612867,-1.4762635,0.8515225,0.17336857,-1.4501612,-0.8451502,-1.7305756,-1.103761,0.12657702,1.331688,0.082817145,0.10558651,-2.3244987,0.45822442,-1.6099855,-0.78137255,-0.59682107,-0.4317605,-2.452433,0.4985185,-1.1405959,-0.014600875,0.7938835,0.4176691
causes,-0.52250415,1.0086516,0.17710693,1.4962898,-1.9347339,-1.4247257,-0.94478065,0.14185518,0.6096712,1.4555967,-0.5776396,0.4495761,-1.5776436,0.486168,-1.417506,-0.6524711,0.6689915,-1.9960186,0.9349617,-0.22107592,-1.0066226,-0.9495122,-0.5096834,-3.4920657,-2.4992204,-0.96233284,-2.276082,-0.57665783,0.32316217,-1.1542677,0.9304935,-0.5892716
causes_inverse,-0.5262282,1.5377365,-0.17966399,1.9102079,-2.2270017,-1.902199,-2.0101488,-0.010460841,0.058111627,1.8089417,-0.877631,0.3986551,-0.6166661,1.0269845,0.20407113,-0.9620361,0.850612,-1.223552,1.3027083,-1.0577742,-1.7935333,-1.1204251,0.8756773,-1.4648457,-1.7422252,-1.6776862,-1.3174785,-0.8229985,0.48046437,-2.007558,2.3314512,-1.8078914
co-occurs_with,-0.22110869,-0.39935827,-1.2014202,0.21421301,1.1566113,-1.6481059,0.23476088,0.44111258,1.3151664,-0.22287266,0.5396252,0.7739487,0.37912896,-0.11407287,-0.5190254,-2.0550444,-0.21444187,0.76314336,-0.033097185,-0.8456217,-2.049637,-0.1901613,0.5705418,-0.06300539,0.33762702,0.8555526,-0.41935274,1.0696028,0.4053369,0.0837125,0.8535519,1.417742
co-occurs_with_inverse,-0.6427073,-0.45345774,-0.8301886,-0.15834422,1.1265925,-2.0539525,0.40662917,-0.21202384,0.557057,-0.37534574,0.64352643,-0.1106584,-0.973211,0.19948983,0.4347786,-1.2536469,-0.3597795,1.0949116,0.24057499,-1.0166918,-2.2356513,0.36320767,0.1955026,0.50502247,-0.06165548,0.2934188,-0.3142633,1.1284475,0.25142777,0.4069284,1.4050065,1.9299977
complicates,-2.743332,-0.37113643,-1.4137099,0.13594489,0.22483829,-1.2628907,-0.08314109,0.316861,0.37656984,-0.014699956,-0.43083847,-0.6143794,0.23501113,1.02083,0.26886064,-0.97566366,-0.57785267,1.2741826,1.5580659,-1.9422331,-1.3679699,-0.014703734,0.43584478,-1.2859656,-0.93489325,0.0628463,-0.6547884,-2.2294414,-0.18103763,0.8721985,2.0024543,0.019023437
complicates_inverse,-1.1478022,-0.4458086,-2.2829118,0.30955768,0.100952126,-1.4759929,-0.35706022,-0.74061865,0.60129863,-0.4958245,-0.544966,-0.080343865,-0.024343919,1.1255875,-0.73064923,-1.7877964,-0.20975785,1.5980949,2.1855705,-3.1231086,-1.5788678,-0.5644768,0.6026485,-1.4596004,-0.45521352,-0.055160884,-1.7299597,-2.099399,-0.55999446,2.3089046,2.8132088,-0.12396374
conceptual_part_of,0.39409313,0.13196361,-1.8266474,-1.9540088,0.1666477,-0.5289189,0.42596218,-0.049357664,-2.3002536,-0.7996053,0.38710076,-0.5762695,0.23116699,-0.28861487,-2.497529,-1.4263337,1.4734507,-0.9418587,0.2790859,-1.9069434,-2.3445976,-0.20972042,-0.5659214,-0.83200836,-1.8442534,1.0445979,0.28632063,0.8930171,-0.4567387,-0.03721857,1.6775612,-0.8618251
conceptual_part_of_inverse,0.581278,-0.087086044,-1.5708928,-1.0184889,0.60721385,-0.98636484,0.96040845,-1.0232911,-1.8851529,-1.1922683,0.28610304,-0.75319916,-0.18959975,0.42006266,-1.43789,-1.9954493,2.7438662,-0.32595682,0.8429249,-0.99295074,-1.423459,-0.51152635,-0.739808,-0.20838106,-1.9358925,0.9113583,-0.31595024,0.6971157,-2.6790724,0.344176,0.9540266,-1.0395169
conceptually_related_to,-2.2767754,0.47058013,0.49301457,-3.6371944,1.4152008,-3.5936584,-1.714558,-2.5223055,-0.97364914,0.556238,-5.7594433,0.49514264,0.5012068,0.532768,-0.0232901,-2.0751674,-1.6135696,1.1576558,1.8955703,-1.3721207,-0.107982166,0.32494587,-1.1912954,-0.07649301,-3.997462,0.048986636,0.024768835,0.446505,0.6526991,0.24848206,-0.07071513,0.5552695
conceptually_related_to_inverse,-1.0200878,-2.3469803,-0.6660136,-3.1448166,1.3360047,-2.0539284,-2.2194142,-0.8623074,0.3125675,1.2741687,-2.306228,0.95228636,2.1274667,-0.017780155,0.3640803,-1.6972582,-1.1674296,1.4336445,0.7711324,-0.7675404,-3.0642257,-1.3914555,-2.7429771,1.1138177,0.011037661,0.39689368,1.4042386,0.0735032,0.35412312,0.5457531,0.08895828,0.3336626
connected_to,-1.1437618,0.5569236,-1.7091324,0.9238046,2.5673707,-1.947055,0.7288092,-0.31226164,-0.8720361,-0.470474,-0.113505684,0.90341085,0.41809085,-0.69394994,-1.7343377,-0.28501603,3.0438867,-1.3008605,-0.1018078,0.5347844,-1.869228,1.4922094,0.95321405,-1.273996,-1.6743715,-0.07007563,-1.8110281,-0.48990774,-0.42549473,-1.6061065,0.2479864,-1.6540674
