,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,analyzes
5,analyzes_inverse
6,assesses_effect_of
7,assesses_effect_of_inverse
8,associated_with
9,associated_with_inverse
10,carries_out
11,carries_out_inverse
12,carries_out_inverse_inverse
13,causes
14,causes_inverse
15,co-occurs_with
16,co-occurs_with_inverse
17,co-occurs_with_inverse_inverse
18,complicates
19,complicates_inverse
20,complicates_inverse_inverse
21,conceptual_part_of
22,conceptual_part_of_inverse
23,conceptually_related_to
24,conceptually_related_to_inverse
25,connected_to
26,connected_to_inverse
27,consists_of
28,consists_of_inverse
29,contains
30,contains_inverse
31,degree_of
32,degree_of_inverse
33,derivative_of
34,derivative_of_inverse
35,developmental_form_of
36,developmental_form_of_inverse
37,diagnoses
38,diagnoses_inverse
39,disrupts
40,disrupts_inverse
41,evaluation_of
42,evaluation_of_inverse
43,exhibits
44,exhibits_inverse
45,indicates
46,indicates_inverse
47,indicates_inverse_inverse
48,ingredient_of
49,ingredient_of_inverse
50,interacts_with
51,interacts_with_inverse
52,interconnects
53,interconnects_inverse
54,isa
55,isa_inverse
56,issue_in
57,issue_in_inverse
58,location_of
59,location_of_inverse
60,manages
61,manages_inverse
62,manifestation_of
63,manifestation_of_inverse
64,measurement_of
65,measurement_of_inverse
66,measures
67,measures_inverse
68,method_of
69,method_of_inverse
70,occurs_in
71,occurs_in_inverse
72,part_of
73,part_of_inverse
74,performs
75,performs_inverse
76,practices
77,practices_inverse
78,precedes
79,precedes_inverse
80,prevents
81,prevents_inverse
82,process_of
83,process_of_inverse
84,process_of_inverse_inverse
85,produces
86,produces_inverse
87,property_of
88,property_of_inverse
89,result_of
90,result_of_inverse
91,surrounds
92,surrounds_inverse
93,treats
94,treats_inverse
95,uses
96,uses_inverse
