relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,0.5087274,-1.5001912,-0.13345824,-1.5300407,-1.3190328,0.4149152,-0.8786111,-0.7606388,-2.088511,-0.40759313,1.7460772,-1.1047866,-0.07121513,-1.3523383,-0.57155865,2.4826944,-0.69043905,0.574425,2.283572,-0.6610902,2.6756434,0.17509367,0.77608734,0.37278312,-1.3293874,1.3049062,-1.9127889,-1.4615538,-0.050155837,0.0056254277,-1.078803,1.5453051
adjacent_to_inverse,1.9297373,-1.5784346,-0.3028178,-0.33511803,-0.58120257,-0.53152835,-2.1711643,-0.19945775,-2.172207,-1.0480783,0.841463,0.21708907,-0.2123051,-0.5539435,0.580572,1.594675,-0.056589562,0.14204793,-0.30756617,-0.14204039,3.3545475,-0.13670886,-2.6036053,-0.6700925,-3.3640487,2.487463,0.7958203,-0.84646815,-0.77520955,0.64521194,-1.4651822,1.280594
affects,0.7860451,0.89421105,-0.036769718,1.5028933,0.3023392,-0.46246785,0.02942444,0.28940776,-1.8170666,0.78639996,-0.19910379,-0.24849793,-0.86757386,0.2318671,-0.43527824,0.026218563,-0.35283905,-0.32954204,1.1383882,0.009769632,0.19482823,-0.19289666,-0.24591902,-0.75292933,-0.21828172,-0.5965723,-0.4183875,-1.4013705,-0.09286705,-1.0554247,-1.338881,0.8915734
affects_inverse,0.43904155,0.93262064,-0.091891356,1.7386014,0.20225234,-0.9110308,0.49492756,0.21754536,-2.2409494,0.7968515,-0.19511887,-0.2822769,-0.8806442,-0.06669271,-0.43154636,-0.0068576364,-0.37858805,-0.42194533,1.643848,0.10526444,0.05597442,-0.2187043,-0.4066893,-0.92584443,-0.35855862,-0.7089914,-0.23419033,-1.5894021,0.00048566982,-0.7723984,-1.295929,1.0207819
analyzes,0.8521552,-1.2144561,-0.030485261,-0.088746525,-0.92421365,-2.545755,-0.8149622,-0.39565682,-2.1962967,0.7274859,1.4531606,-1.1593485,-2.7741704,1.4925157,-3.4790828,0.2934487,-0.97686714,-0.6695562,1.6407095,-1.334832,-1.6481062,2.750347,2.792766,-0.11723764,-2.682666,-0.06875841,1.2073493,-0.9682745,-1.7362524,-0.7944965,-2.0048976,-1.9655062
analyzes_inverse,-0.8875413,-2.1581228,-0.14873128,-0.07318403,0.19101752,-0.4178364,-1.2989904,-0.2709089,-1.3551881,0.17359008,1.6554438,0.080354586,-1.5071785,-3.1733086,-2.2985723,0.1283983,-0.831914,-0.35431477,1.5808944,-0.22138913,-0.8853226,0.40924272,2.4981039,0.25028428,-0.93402314,0.14174937,-0.0037618293,-1.1043481,0.09288894,-0.17043519,-2.1107562,-1.4261775
assesses_effect_of,-0.77024055,-1.9513093,0.75684357,0.46697015,0.13326058,-0.6022942,-0.25223672,2.2585526,-1.0856441,1.020194,-0.19821234,0.82692766,0.294879,2.3340375,-2.0484087,-0.07310392,0.308401,0.5462322,3.0973446,1.1240178,1.3711046,-0.24378778,-2.0530388,0.09046316,-3.240883,0.44204754,-0.3550172,-2.494131,3.4078019,-0.53176767,-1.6763711,-1.1220046
assesses_effect_of_inverse,-0.25117254,-2.695057,0.17035376,0.19516663,-0.24767254,0.409274,-0.5263498,0.44430208,-1.3442028,-0.38002327,0.022555368,0.28732076,-0.38463065,-3.3921115,-1.6078675,-0.52972376,-0.760711,0.77217925,2.069945,0.37798762,0.76169485,-0.31140596,-0.6544876,-0.7501843,-2.2495022,0.39999858,-0.8926687,-1.2488891,1.0205787,0.7770775,-1.7942307,-0.9454656
associated_with,0.28684196,-0.5339076,-1.4440695,1.1334052,-0.81634194,-1.1166553,-0.3170399,-0.15675753,-1.4985067,-1.6789583,0.34082034,-0.36177078,-1.1780906,-1.9055228,1.033562,-0.74547195,0.9520309,-0.012225643,-1.2458853,-1.5412886,1.7251831,0.4666184,-0.14197479,-0.28662992,-1.0851225,0.4407645,-0.8146194,0.21131487,0.09467632,0.074277535,-1.8085897,0.36302158
associated_with_inverse,-0.33758718,0.2881247,-1.2592145,1.7253407,-1.036426,-2.1292338,-0.33469412,0.10476468,-1.7042941,-1.5224032,0.62081707,-0.44583774,-1.8390952,-3.0747752,1.9453771,-0.9175753,0.70949036,0.0702277,-1.5930556,-1.7447363,1.89651,0.4155841,-0.090012826,-0.7618649,-1.3876148,0.5545402,-0.9678121,0.26484987,0.21147291,-0.055916898,-1.2568113,0.89304715
