,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-0.41171008,0.14775942,0.52849096,1.8578749,-1.571712,-1.5619724,-1.1982988,-0.6581138,0.149473,2.1026938,-1.6311797,1.0422213,-0.491447,-0.95712215,-1.0869201,1.5860387,1.1034006,-0.29455298,0.18704335,-0.6525385,0.06226618,0.7181777,-0.16326265,0.9709518,-0.11166734,0.6148667,0.30329984,0.8823729,-0.2222863,-0.28216845,-1.46428,1.8742677
activity,-1.5192881,-0.6805033,0.7946609,1.5659713,-1.2121234,0.9586001,0.87562937,1.4286832,0.4619387,1.0389987,1.0239447,1.7216907,-0.32025945,0.3396797,0.6818056,1.5287963,0.31128636,-0.67146236,-1.353778,-0.41642153,-1.8466136,0.2770236,2.7684107,0.9467574,1.2065531,-1.020954,0.5990545,-0.61983556,-0.2140496,-0.15059508,0.077835746,2.07915
age_group,-0.46744892,0.6512656,0.20805053,2.5556552,-0.79427403,2.4265978,0.75732523,-0.05928534,0.08226246,-0.9896744,0.87718433,1.2485162,1.2865988,0.23450607,-0.18480118,2.068065,0.6903019,0.47841644,1.5251715,-0.392064,-1.6287885,0.4385608,-0.022309922,1.602967,-0.1977567,0.083522685,-0.34738255,-0.264254,-1.1434977,-0.17715362,-0.19401701,1.9098362
alga,-0.13504046,-1.0291579,0.441969,1.1474048,-0.46272787,0.8613171,-0.9663063,-0.89677805,-0.42427266,0.83640254,0.9111333,1.6899276,-0.5559914,-1.5653926,-0.467977,1.8626463,1.2245004,0.0748992,-0.24579883,0.32177314,-3.6208198,-0.68900937,0.03004717,1.3390945,-0.13458288,1.2179823,0.50959367,-1.2298814,0.09066479,0.0080682,-0.4888666,1.7866348
amino_acid_peptide_or_protein,0.68786275,0.18025687,-0.33373758,1.7862684,-2.2385595,1.1126906,0.6632611,-0.15955178,-0.13328412,0.88785183,0.17117298,1.247616,0.38385946,0.4830492,-0.28735632,1.7640187,0.5598331,-1.4418514,-0.06172489,-1.0761355,-0.48249802,0.7596139,0.093823604,1.1941605,-0.21528232,-1.2508984,-0.9975054,-1.2085775,-0.35086682,1.4188983,0.031350296,1.3865062
amino_acid_sequence,-0.11847699,-0.4127411,0.5567371,1.3763474,-1.5522723,0.6138324,0.4364327,-0.86836094,0.87821394,-0.61324465,1.8059229,1.7408123,-0.20141074,0.38179085,-0.07337212,1.8853215,0.9194296,-1.1636968,-0.52801275,0.0046090656,-0.5351298,0.21735652,0.123915784,1.2848151,0.37368107,0.24682525,0.74760664,-0.76390046,-1.7959859,-0.008700758,0.17701374,1.9640446
amphibian,1.1116842,-0.4954965,1.4005636,1.8297569,-0.5315429,0.27957216,-0.15965402,0.014096104,-0.47236747,0.74573827,1.5362955,1.7651294,-0.83528644,-0.5759936,-0.8904467,1.3487959,1.1583596,-0.45181546,-0.5437836,-1.5976454,-2.3471768,-2.7860186,-0.0559942,1.9204714,-0.1681174,0.25520226,0.4605016,-1.668325,-1.9074945,0.2029439,-0.43528095,1.5065265
anatomical_abnormality,-0.34113616,-0.20454851,0.4944062,1.446436,-1.097919,-1.0668241,-1.176292,-0.2671049,-0.015423423,0.7934889,-1.1242293,1.1760995,-0.27759457,-0.77202624,-0.7832321,1.4967929,0.8190921,-0.86520517,0.6984176,-1.0021766,-0.25442138,0.5942591,-0.0387811,1.1014785,0.0058920067,-0.17020328,0.46376446,0.9328203,-0.45690492,-0.023935525,-1.2562,1.1997252
anatomical_structure,-0.056459505,0.06826829,0.97901136,1.6497935,-1.5966674,-0.86906666,0.3477445,0.27259663,-0.36626473,0.1445381,-0.4108449,0.95744795,-0.58463734,-0.937889,-0.26522145,1.9091933,0.8291874,0.48038402,-0.1593171,0.3302977,-0.27647358,-1.2416826,0.5509319,1.1773002,-0.25242698,-0.9359296,0.57117987,-0.35026562,-1.134181,0.92372346,-0.08037045,1.5096321
animal,-0.48994404,-0.6341625,0.04782044,1.42192,-1.0138528,0.2210698,-0.29168683,-0.3027176,-0.7102014,0.9354371,1.4228134,1.236082,-0.73123133,-0.16810133,-0.7406274,1.3589783,1.5278034,0.1829418,0.14470378,0.01633971,-2.2870564,-2.4657521,0.3673008,1.3570834,-1.123022,1.3896799,-0.5401046,-1.1552608,-1.1198713,-0.40875286,-0.024668824,1.1271759
antibiotic,-0.5887061,0.057538487,-0.76471305,2.0357487,-1.333989,0.83949995,1.0151008,-0.8742596,-0.73596567,3.29637,0.7312895,0.7727849,-1.2977524,-0.61249804,-0.23586585,1.8150407,0.95873505,0.12182452,0.8138379,-0.64006495,-0.61899054,0.1829059,0.2920329,2.4080997,-0.121514484,-0.87778676,-0.7418503,-1.145127,-0.97569036,0.78660756,0.3913583,1.2069255
archaeon,0.73989266,-1.0809445,0.26377022,1.6856645,-1.2688774,0.45590994,-0.57969666,-0.45957407,-0.39319912,0.5617658,0.6781759,0.54424006,0.23857842,-0.07813318,-0.84429574,1.5446391,0.5941758,-0.24336469,-0.27363732,-0.09155162,-1.4307785,-1.4263973,0.5125559,1.6106304,-0.8508555,0.13420667,0.16339211,-1.3546301,-2.1082199,0.360615,-0.3660732,1.4456457
bacterium,0.1932458,-0.96217215,0.57720804,1.9851999,0.30468336,0.4172255,-0.4026348,-0.29453218,-0.0812583,2.2035117,1.2888665,1.4698707,0.3483845,-0.9165785,-0.21219024,1.1983118,1.7162474,0.067223966,-0.8419739,-0.48113906,-1.7063864,-1.4823886,0.84133285,1.9231831,0.28096724,0.34565324,0.35383463,-0.78732294,-1.2584555,-0.8046163,-0.8730059,1.2221341
behavior,-1.0970609,0.42752892,-0.55918676,1.2565069,-0.27905023,0.30711743,-0.7117419,0.5934585,0.45836958,0.028947974,-0.4061638,0.73160946,0.7769518,0.23802446,-0.1018676,1.2121505,0.45003235,-0.783143,-0.9813308,0.19548027,-0.92009366,0.37985218,0.98434114,1.9981383,0.04510972,0.33644846,-0.17632662,-1.0269775,0.34535626,0.6262297,1.1665843,1.5034623
biologic_function,-0.26320642,-1.6189363,0.025197135,1.4794761,-1.3221949,-1.5553333,-0.7859465,-0.10855463,0.6278821,-0.2044589,-0.53573567,1.3916376,0.32004443,-0.6950807,-2.3794224,1.5751122,2.288889,-0.58584344,0.91802025,0.29799733,-0.744812,1.1983447,0.62906075,1.1151818,0.46277392,0.82765883,0.43608528,-0.31738272,0.3337632,0.86187947,-0.5291152,0.81540143
biologically_active_substance,0.115481384,0.17125271,-0.2313762,1.5467806,-1.6595883,0.86180776,0.6655061,-0.52290726,-0.43441352,1.44711,0.41780332,1.25279,0.21426654,-1.1097565,-0.48778266,1.6599126,0.5786189,0.8203543,0.539435,-0.89713174,0.38623098,1.2556212,0.3612102,1.0739496,-0.20470262,-1.2785679,-0.7449447,-0.70442426,-0.44704422,0.63874525,0.3606205,1.6972637
biomedical_occupation_or_discipline,-0.069092385,-0.36928356,0.14605914,0.56387925,-0.065460086,0.9480319,0.23111564,0.48135152,0.71845245,0.026470112,-0.40410346,-0.15918119,-2.5900888,-0.18911405,-0.27209285,2.1456587,0.67150605,-0.27217355,0.65525347,0.50937676,0.1732013,-0.52718186,0.9849468,0.1337167,-0.52143997,0.3818477,-0.7853396,0.48179626,-1.5188004,0.33503026,-0.20244388,1.9796525
biomedical_or_dental_material,-1.05474,0.40358174,-0.01553986,1.4983437,-1.9243919,0.9785809,0.15075749,-0.81074446,-0.22833556,2.0678144,0.8522964,1.3260064,-0.47025976,-0.33408037,-0.56219006,1.9175944,1.6310413,0.35149533,0.72694,-0.808949,-0.92558414,0.32965294,-0.1323863,1.3364497,-0.36884385,-1.2786019,-0.6338435,-0.8163744,-2.13126,1.040852,-0.5709731,1.0494348
bird,0.592143,0.28214642,0.49591795,1.1634307,-1.0757493,0.31818765,-0.8693159,-0.75478834,-0.63048625,1.1595205,0.257264,1.0189561,0.32491696,-0.5524116,-0.26456386,1.7452415,1.2750431,-0.6930371,-0.6171365,-0.6444297,-1.9368291,-1.736563,-0.20327279,1.0823792,0.5090422,1.1488847,1.0106792,-0.7211469,-2.120991,0.70258766,0.17184511,1.8254194
body_location_or_region,-0.23320839,0.69034076,-0.5536758,2.0813112,-1.7627167,1.0130914,0.23259702,-0.03500126,0.9661651,-0.042528123,1.042366,1.25425,0.07723118,-0.71874815,0.64016503,2.102643,1.8126918,0.42776906,0.5100999,-1.3092911,-0.36402097,0.041243702,0.17642695,1.5151758,-0.33412442,1.020709,0.29489166,-1.038188,-0.769634,0.54876274,0.09413325,1.4145095
body_part_organ_or_organ_component,-1.0193263,-0.38700622,-0.03805229,1.9058771,-1.4325092,0.21874124,0.044979244,0.23214957,0.47421995,0.48250347,-0.42276052,1.088693,-0.5191222,-1.2561715,0.44580114,1.0082442,1.6564759,1.5430293,0.43294123,-1.0013018,-1.7188994,0.25216112,1.8921962,0.28622502,-0.08456312,0.32446212,0.31565002,-0.90459144,-1.6816486,1.3188516,1.0208434,1.5734231
body_space_or_junction,0.13351357,0.46492547,-0.14658593,1.9876122,-0.58392555,0.50009847,0.046830762,0.014056474,1.2703907,-0.0022163088,0.41740316,0.64816153,0.17146228,-0.56025463,0.3762375,2.2432694,1.6931925,-0.52277017,0.5866926,-1.8243898,0.24758403,0.5367614,0.23444048,1.3302201,-0.98180413,0.5796144,-0.34527007,-0.8151126,-0.5772825,1.1451813,-0.15588805,1.2807127
body_substance,-0.60594285,0.015788188,0.030063795,2.3098927,-0.09138477,0.8836559,0.250446,-0.192006,-0.842346,-0.33471212,0.2658631,0.7559339,-0.1208075,-0.6978563,0.12310837,2.0457444,0.09033736,-0.4330681,0.9382778,-0.812944,-0.4370997,2.2449586,0.59750444,1.2109082,-0.4052291,0.1958039,-0.43805584,-0.99040055,0.035160452,0.6844294,1.3134255,1.5099673
body_system,0.21838704,1.4469383,0.7476214,1.8196887,-2.3937213,-0.060086824,0.60383886,-0.7830541,0.735165,0.6209645,0.5271212,1.7185183,-0.22570148,0.29327002,-0.26326913,1.8778712,0.8359019,0.57232213,-0.35425434,0.013251407,-0.42631483,-0.03321012,-0.003766453,0.7195487,-0.9564562,0.01970354,0.2343283,-2.4498718,0.57993877,-0.17192945,-0.5218165,2.1025627
carbohydrate,0.13246033,1.3163579,-0.6322267,2.2145796,-1.9260609,1.3166188,0.26880673,-0.4648656,0.4016179,1.3102578,-0.21304834,1.1823809,0.46149385,0.64665574,-0.626958,2.2497847,0.5884565,-1.1966206,0.25955272,-0.5608872,-0.68647015,0.95887125,-0.17695004,0.9708446,0.074725375,-1.6474208,-0.5397491,-1.2791612,-0.09039832,1.1594917,-0.23876825,1.2378871
carbohydrate_sequence,-0.7041167,0.9394441,0.8749197,2.217099,-1.2218119,1.3548819,0.31943282,-1.0243192,0.8564844,-0.26812452,0.4355176,1.576926,0.17053753,0.3833942,0.13044368,1.9573301,0.5576865,0.10545534,0.6909824,-0.38040438,-0.47941077,-0.2731403,0.7388227,1.9994415,-0.45731425,0.9318229,-0.2288202,-1.7209578,-0.8662613,0.036940742,-0.15456577,1.7853608
cell,-0.57735485,-0.31542975,0.07843977,0.94573057,-1.5950161,-0.2617668,-0.55537915,0.12998682,0.31639212,1.1556816,0.06648517,0.551933,0.18649143,-1.5103174,0.40803656,1.615262,1.9656917,0.28216377,-0.075127386,-1.3029822,-1.2555534,0.31502703,1.4251529,0.8423109,0.11714493,0.80368966,-0.41944006,-1.0522335,-2.015234,0.7899987,0.75146115,1.2158366
