relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,0.79632473,0.3256217,-1.754807,0.25026464,-0.9052724,-1.9100288,-1.5749809,-0.8183354,-0.36394995,-1.6000612,-0.36874083,-2.784523,-1.1478733,-0.09126131,-1.5281384,-1.0299373,-2.1987112,0.74220145,-0.40155965,-1.0649115,0.22989506,-1.2948738,-0.2772127,-1.2874906,1.393134,-0.24328916,0.53144205,-2.2556124,1.9567993,-2.1139235,-1.7755656,-3.561173
aidenemy,-0.20473315,0.8588487,0.2811113,2.3090525,3.1877453,2.7060373,-0.9197834,-1.2017494,0.029701417,-1.9035167,-1.3764024,-4.209566,-1.2355332,0.1414027,0.18527591,-3.674998,-1.706954,0.16497196,-1.5890458,-2.290527,-1.0060295,-1.3552257,2.532412,-0.6850364,-1.026095,-2.0370355,1.3294656,1.4490501,-1.6923982,-1.6448888,-0.21002378,-4.1992006
attackembassy,0.22042541,-0.6084634,-0.8721291,2.0510316,-2.2749763,-0.61431795,-0.19311942,-0.22058216,-1.3151437,-2.5969865,-1.5127677,-0.95011735,-1.0069956,-1.6795388,-1.7268397,-0.5223578,-3.7852423,-0.82543963,1.9477637,-2.3493993,1.7129916,-1.890901,3.632845,-0.030587062,-2.936825,-1.0528078,4.449484,2.0891943,-0.470783,-1.5282071,1.1564139,-2.748729
blockpositionindex,2.2108178,-0.84051317,-2.5181394,-6.225086,-1.2944955,0.38029596,-0.7576482,-1.0068115,-0.56152177,-2.0507486,-2.5681903,1.4797144,-0.34436262,1.0685649,-1.4656482,-3.4746914,-0.60701185,0.52816844,0.8674424,-0.8186312,-1.9625559,1.4121283,2.4302936,0.26555535,-1.5546715,-2.426157,1.2474827,-2.755855,0.51027447,-0.3329074,1.2861427,0.015196019
booktranslations,-0.08002019,0.02108923,-0.7816472,1.74366,-2.1760533,0.95541126,-1.4409957,0.31764066,-1.0963681,-2.2557092,-1.5831419,-2.1024303,-1.8201648,-0.34660438,0.038588572,-2.1909003,-0.11630465,-1.7166694,-1.2557963,-1.3590175,-1.1094269,0.9618571,-0.56888187,1.7744349,0.7957255,-1.0260864,1.3601971,-0.5270675,0.72083145,-0.3745125,1.5786663,0.35879803
boycottembargo,-2.1512773,-1.2041882,1.0497378,0.46838856,-1.2666978,-1.3553483,-2.2909656,-1.8718557,-0.8188156,-2.1608791,-4.065521,-5.3094993,-0.9973914,0.5159645,-0.2171568,-2.777752,-2.4483511,-1.2281407,0.37141153,2.7948015,-3.4851568,-2.2486124,-0.86361057,0.22822143,0.7434415,-0.6363422,-1.1035308,2.8401146,-0.5587794,-0.5204533,-0.93947875,-0.38332546
commonbloc0,1.782019,0.062159013,-0.088516966,-2.79414,2.0445917,-0.05514522,-0.8268492,-2.0860138,-3.429084,-0.32571024,-2.4982452,-1.6484278,-2.4044724,0.15071914,-0.5406327,-3.7211142,0.15248072,-1.4917753,0.9211013,-0.8811311,-0.9107134,-1.8939714,3.1014607,-0.9399155,0.25716633,-3.2850847,-0.61444503,1.7505939,0.7838852,-1.3186889,-0.3687518,1.5590425
commonbloc1,-0.077784225,0.003555024,0.95285666,-2.1839607,1.8535578,-0.5069831,-0.62598103,-1.1029779,-1.546322,0.99687934,-0.60303825,0.85364014,-0.4742936,0.6024107,1.8384138,-1.8954741,-1.9871237,-0.42740673,0.547287,0.13035636,0.83121544,-0.0606848,-2.9949255,1.27775,0.05435859,0.19043061,-1.3081241,-1.1804094,-5.5728836,1.6058083,-0.6243532,-0.5937987
commonbloc2,-0.95206386,-2.6299605,1.3465443,0.08049472,-0.7882076,-0.754004,-0.7952013,-0.38383994,2.0950518,-3.1021345,4.121207,-1.9434874,-3.7956789,0.22830337,-1.3383113,2.1306145,0.29372758,-0.6361313,-1.3910574,-0.70759225,-0.88242656,0.36487576,4.091127,-0.79920876,1.5331522,0.27533522,-0.30845442,1.0996989,2.2303092,-1.6084344,-1.4876033,-0.7574314
conferences,2.170463,-3.9417386,1.5080794,-2.0507631,0.085771434,0.42534524,-0.16240184,1.2038578,0.15975437,-1.7172208,-1.571905,-0.5896587,-4.4839907,-3.2753224,0.0049593113,-0.6633316,2.0696645,-0.4880239,-0.91429,-3.7354355,-2.5855927,-0.39570868,1.5369351,-1.4903884,-0.025788609,-0.10934247,-0.050398357,-1.4515325,2.4303641,2.4714227,0.7745711,-1.6202055
