relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,-0.091544665,2.4018252,-1.6927406,0.8003875,-0.061265573,-1.2904998,-1.9897949,-0.19257426,0.4303762,-1.0176216,-0.7794926,0.8334022,-2.8165815,-1.1227875,-1.8925626,0.83905506,-0.33430856,1.283679,-0.04469048,0.018792622,-0.34884965,-1.6899533,-0.3488617,-0.6101434,-0.112796694,3.4314396,0.6293137,1.4312056,-0.030093195,-1.2625618,0.1989192,1.240824
aidenemy,0.68409264,1.8148059,-4.437925,-0.61094457,1.322811,-2.5324502,-1.4198705,-4.24509,-2.5434878,2.4653642,-1.0721421,-1.8986907,-4.2224517,-0.38495266,0.78062814,-0.09021254,0.19587596,-1.8975633,-2.295654,-0.87899524,0.3119862,1.9221052,-0.2014174,0.69937605,-0.2038506,2.3191266,-1.1846442,-0.8954805,0.8014755,-1.8790667,0.51075184,2.1535227
attackembassy,0.41571888,0.5422524,0.023479918,-1.6792024,1.920713,1.1649927,-0.62455165,-0.53541297,2.5083385,2.0910876,3.5582752,1.8456082,-3.8814306,0.84888965,0.17014779,-1.4747157,0.43202707,2.1448963,0.9633356,-0.58533126,0.10664618,1.1703639,-3.573348,-0.6820722,-2.6617994,-2.3555899,2.4137669,4.120196,0.5684323,0.0592215,0.12090505,-0.41426188
blockpositionindex,0.41893426,1.5175629,-1.9036515,-1.7685,-0.74931115,-1.1959867,-0.6994467,-1.1620312,-0.5553073,-0.40049806,0.9404462,0.87564206,-1.8840866,0.31378162,1.5190859,-0.0038268329,-0.11955163,0.08502562,-0.13182124,-0.09259055,0.120982744,-0.2962357,0.027490664,0.44144496,-0.20465422,0.0019857674,-0.40205687,0.34873077,0.42163515,0.24044007,-0.40254056,0.5853604
booktranslations,-2.3449023,-1.8650684,0.63386536,-1.911757,-0.09181764,-0.6084971,-0.47720167,-2.6261027,0.18136923,1.8881007,-2.462435,0.87712187,-3.0752132,0.44985214,0.14127459,-0.108233444,-0.23524089,1.3284984,-1.7133138,0.3457192,-0.81759197,-0.9435679,-0.20405212,-1.892315,-0.90569365,2.1966047,1.4919226,0.27442378,2.5066347,1.8003292,1.7320955,-0.03722192
boycottembargo,0.7540684,-0.822332,-1.8157054,-0.8433288,-2.0319135,0.5638182,-1.0952526,-1.5123991,-0.70788175,-0.038628187,-1.9395107,0.13067316,-2.4078908,-3.1173706,-3.7403061,0.9557787,1.1626582,-1.7974638,-3.1052885,-0.3376747,1.5441182,0.50481707,-2.4491093,-0.91634953,0.4443167,0.50213206,-1.913984,-0.7462763,0.33235082,0.83140445,0.6528881,-0.39815298
commonbloc0,0.36377907,-1.9097202,-3.693253,0.71760106,-1.6332691,0.5791133,-1.7524703,-4.496813,-0.54987586,-0.8757536,0.6907039,2.2993827,-1.5188961,-0.19287145,1.8557295,0.015641222,1.7396301,-0.18901822,-0.93498445,-2.027009,-0.72567374,-1.2812141,-1.2372389,1.3534515,2.3890848,1.4047865,-0.13355777,-2.2794447,0.3725704,-0.4266966,1.2996795,-1.7090156
commonbloc1,0.04808395,0.8481529,0.35557035,-2.25806,0.64055735,-1.41663,1.5740899,0.16688463,1.8586804,-0.32405758,0.40503588,-4.2696757,-0.63593274,-2.0887368,-0.3868115,-0.047106642,0.45044613,-0.099323824,1.1027741,-1.7464339,-0.19576988,-0.81835914,-0.8812092,-0.256087,-0.6549864,-0.47437343,-1.4447039,0.15714453,-0.2654834,-0.11835249,0.43314257,-1.1923789
commonbloc2,-1.4343241,-0.75803745,-1.490303,2.1325877,-0.6479881,-2.932557,-1.8371578,4.089907,-3.0388973,1.5062082,0.9733735,3.4714506,-0.8946621,-4.6768293,-0.89391947,-0.12227702,-0.52905416,0.9577764,0.080513306,-0.76952744,0.9165826,0.39460734,-0.45236737,0.4000083,1.0038801,1.3568314,1.3325275,-0.5655777,-0.085931584,-0.4126623,0.6657296,-0.57267964
conferences,-1.016716,-0.6352651,-0.96825445,-0.23810086,-2.3843925,-1.1674968,1.3115044,0.24242218,0.25909457,0.26396325,-0.68319714,1.3443372,-0.86907995,-2.3910959,-0.5241671,2.3731797,-0.19990696,0.3479117,-0.06312158,0.2254027,-0.14743638,0.050914876,0.5867201,-1.1541303,0.42457524,1.0114634,0.51259625,0.27737415,0.072578624,0.68728673,0.4242128,-0.20649654
