relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,-2.6957285,-1.1381568,0.7788886,-2.0914068,0.067410395,0.16414508,-1.507784,2.6753361,0.32954258,1.7623374,-1.3296573,1.6989648,-2.0172544,-0.41931745,1.6636269,2.4654927,0.7219782,-0.55874616,1.0677292,-0.5214537,-4.557833,-1.5623242,0.5667596,0.38686487,-2.304831,-1.5584228,1.486816,-2.0305536,2.0880065,0.7300502,-0.5434276,-2.9771643
aidenemy,-3.2485733,3.2593465,-0.41206184,0.14391525,0.54174364,-2.6295981,-0.60777134,-2.617252,0.31569344,1.6036004,1.1751058,-0.05692937,-4.2039027,-2.473405,0.3214078,-0.0046253027,0.30960444,-0.9932021,1.6923513,1.5312759,0.54625183,0.8534666,-0.03767116,-2.2509365,-2.7882793,-0.38512725,-0.7568852,-4.3789644,0.71269196,-0.39404818,-0.37569794,-0.6603666
attackembassy,0.602748,1.9201403,-1.3620315,0.26270902,3.6842608,-3.7420056,-2.6055336,-2.2971666,-0.19240503,0.9048338,1.1259651,0.68634063,-2.892568,-0.5720993,-1.4754394,0.96332324,-0.7151253,-0.7339243,0.24329525,-1.1007556,1.363121,-1.8671539,0.08754995,-1.9789723,-5.0275807,1.2867293,1.7024894,-0.39224938,-5.3091393,-2.635157,1.5718303,-1.162073
blockpositionindex,-0.60265476,-2.779132,-2.412772,-0.22755264,1.2618973,-0.19527979,0.48319125,-0.329491,-0.053874645,-0.64640963,0.18419357,-0.5278415,-2.2516978,-0.13502918,0.18454984,1.2564853,1.8845164,0.88050777,1.4473058,-0.4861176,-0.80317813,1.8619225,-1.3238614,1.1918163,-0.45998675,-3.4995883,2.4706347,-0.9219349,0.6007521,-3.956292,-0.57200205,0.072833925
booktranslations,-0.21035032,-1.4960176,0.77601373,-1.2130835,-0.6158065,-2.171176,-1.6995851,0.048825756,-0.13484712,0.21433415,-1.348726,-1.4895637,-2.048681,2.3779063,-0.18639383,-0.23925917,-1.0243034,-2.5044441,-0.7602175,-0.06684519,2.003959,-0.03424624,0.61860234,-1.0030345,-0.9003867,1.8050649,0.02383478,-1.7841134,-0.92917895,-0.20226365,-1.6895376,-0.6806502
boycottembargo,-1.0022758,-0.5571169,3.9903665,-0.83182096,-0.6727505,-0.07009511,-0.828769,-1.5089489,-0.06798685,0.47062472,-2.9853048,3.050426,-1.5782924,0.21607064,0.019299306,2.517418,2.4431083,-0.5864884,-0.72777843,1.254937,-1.1587098,-1.5714029,-0.3048356,-2.8741994,-0.47505754,0.50613886,0.89258987,-3.5160234,-2.897875,0.14097564,-1.4822378,-3.1778653
commonbloc0,0.53265417,1.8014926,-1.0112284,0.64350635,-0.15508007,0.642484,0.34206358,-1.6157026,-1.3238575,-0.08046969,-1.2512144,1.537504,-2.9769928,2.5390553,-1.0952445,1.9360825,1.563392,-0.39586636,-1.0970612,-2.4113188,1.2271457,-1.1878278,-1.883046,-1.3651869,-2.8322034,1.274549,-0.8334353,-1.0864758,-1.6289148,-3.9597569,-0.055478472,-2.1532753
commonbloc1,-0.4476072,-1.8115493,0.5688528,0.012870584,-0.22013025,-1.226875,0.8281725,0.5940706,2.3697214,-0.55963236,0.05809849,-6.2243648,-0.6945567,-2.5252566,-0.6366395,0.9877024,0.4892045,-1.8139523,-1.5252905,-0.8323174,-2.0711632,0.09475883,-1.6856956,-3.4932723,0.4151391,-2.1759837,-1.4733132,-0.37736768,-1.3189739,1.0760975,-0.549206,1.9879109
commonbloc2,-2.092854,0.78130275,-1.414106,0.5563498,-0.303291,-0.95545197,-2.5147839,-0.35024977,-1.7635255,1.4444772,-0.7839486,2.4978795,-1.1572381,-0.23996055,0.01574064,0.3933114,-0.6328304,-3.0298662,4.1899533,-1.0807805,1.8719624,-1.7332608,-2.2986689,-0.7472025,-0.042483464,0.809179,-3.912494,-2.2535036,1.2820169,3.9223838,-2.6561062,0.31053656
conferences,-1.7990026,-0.14661714,1.497983,-0.21364208,-2.8035834,0.05833424,2.4005325,1.1659937,-1.3733655,-1.0735056,-1.0194988,-0.25579795,0.9117724,2.2456498,-0.68463004,-3.6051197,-2.44293,-0.1325788,2.5795543,-0.66166246,0.004947278,0.06421554,0.85252327,1.0918145,-2.6591983,-0.0009453511,0.27324066,-1.4817791,0.5996415,-1.0125763,-0.32827452,-1.6062412
dependent,-2.8826816,0.9952125,1.0256629,-0.6504751,1.3921976,-1.7018646,-3.6124802,-0.33008504,-0.7881563,-0.6807932,-3.0624654,0.38586777,-2.6535316,1.7215593,-0.3126621,-0.85958004,-0.28195834,-2.143074,-0.026497757,4.4161053,-0.9661988,-0.2053076,1.4062147,-1.6635352,-1.9392734,0.27382338,0.4616274,-0.99860626,-4.226927,3.238643,0.1325348,-0.685451
duration,-1.4310222,1.4196416,0.20361559,-0.8676528,0.3442958,1.0653732,-2.8696547,-0.4967442,-0.15499637,-0.47863227,-1.9654306,3.2210715,-1.8203838,-0.39742345,-1.2507428,-0.1312871,-1.2549286,1.4839679,-4.0856233,-1.1394445,-4.62383,1.2752697,-1.0922933,-0.37673464,-1.2914815,-0.22527057,1.3161335,-2.6319904,-0.062282525,-1.7576734,-1.8479407,-1.6974509
economicaid,-2.5871744,-2.4833863,0.103205524,0.4077913,3.2069533,-2.2354624,-1.3267492,-0.36242172,-1.3874105,-0.807802,-0.6272772,-2.4170928,-0.2713196,-1.6921704,-1.6529049,-0.2743735,-1.6380179,1.8660371,-4.03833,-0.305811,0.77361876,0.106559195,-4.5779223,-2.9743207,-2.8940406,-0.35252646,0.33822697,-5.391724,1.7635217,3.497112,1.5348859,-0.1510389
eemigrants,-1.4656948,-0.83753926,-0.8125946,0.5840874,-1.0696155,-0.8437253,-0.04419107,-3.8089561,-0.018476257,-1.0307456,2.5875714,0.19097763,-2.7387428,1.2072816,-0.014034622,1.2826613,-0.66502875,-0.0036476646,2.0255823,0.6399616,0.21674392,-0.34106073,-0.71632135,2.0236657,-4.2427197,1.2580806,-1.8761674,-3.7219653,-1.0286192,2.3427885,-0.4625847,-1.3308289
embassy,-0.11962436,-0.26956716,-0.5275616,-0.9442721,-1.6119566,1.0029337,1.3071656,-0.32081747,-0.86517566,0.9157007,-0.48286232,-0.6856558,1.0822606,0.4952036,-0.30940205,1.1837481,1.1578048,-0.36291498,-2.430552,-1.886619,-0.9267852,-1.4925389,0.81027436,-2.135128,-0.09558399,0.3527209,-0.46992564,0.39901552,-1.5386773,2.5040078,0.92260695,-0.2736208
emigrants3,-1.5859324,-2.4439178,-0.8669217,2.7552087,-1.443272,-1.4054428,-1.8246193,0.9331022,-0.12453331,0.37739584,-1.3093545,-1.2291931,-2.2967744,-0.84228486,-1.2613423,-2.1175165,-0.34561467,1.5118464,-0.73046786,0.851042,-0.8979243,-0.26460764,-0.38561305,0.3177838,-2.3014066,1.7078456,0.18494384,-3.0576212,-0.39625418,0.31636095,-0.90381604,3.447148
expeldiplomats,-2.3892624,0.6545368,-1.0470243,-0.62641424,-1.108539,-1.285584,-2.374843,-1.0255467,-0.087288104,2.322328,-0.74330723,0.97056305,-1.885065,2.1490405,-1.6721636,0.07045665,-0.63640565,-0.620753,-2.3552065,0.65435237,-4.4911275,-0.62010604,-0.35833454,-1.4402127,-2.5296519,0.7136531,-0.9374451,-3.3235388,5.0513887,-0.24645883,-0.12402193,-2.475415
exportbooks,-2.862283,-0.5115518,0.3915512,0.011592491,-3.28422,-1.3057647,0.2325558,0.08314192,0.07301523,-0.60126555,-2.0969393,-2.5279543,-2.1150541,0.6942973,-0.08931577,-1.1156354,-1.9746948,-0.38628995,3.4485505,-0.5362479,-2.8278544,3.3516824,-1.2929955,-0.040781405,-2.092054,-0.9680871,-1.3978057,-1.4084462,-1.1998678,2.823258,1.1840018,-0.47310355
exports3,-0.8402257,-3.6246223,1.3866272,0.7846133,-0.15058307,-1.6838788,-0.7513922,4.5706463,-0.61094576,-1.0069871,-1.6101781,0.38229346,-0.811882,0.63949543,-2.7579541,0.28985092,0.7004323,1.9492726,-0.8300039,-2.1372926,-0.4841905,-1.0967102,0.31263518,-2.5511482,-0.5824182,-0.6878161,-0.8208552,0.09242428,-1.9696637,1.8217278,-0.96872807,0.94096714
independence,-0.36271164,-0.24678834,-1.8491226,1.4674257,-0.16805255,-1.0102861,0.5251529,0.034599014,-2.207532,-0.17000903,0.3496144,-1.0814561,-1.8814142,3.0937316,2.755455,0.09217744,-0.11076047,-2.0541363,0.030010724,0.5542489,-1.6202472,-0.09501967,-2.404254,-0.8057527,-1.1391091,0.6531983,-2.3105714,0.4849972,-1.9289713,0.443973,1.2404109,0.52104527
intergovorgs,-3.8463511,-0.9910095,0.5095709,-1.1359004,-1.4490235,-0.6240527,-0.8462625,-0.84674954,-0.59634393,-0.8822294,-1.9184136,-0.80228317,-1.3802904,2.2675738,1.9055549,-1.7003044,-3.0321133,1.8505784,0.70810956,1.7755884,2.220965,-0.33980235,-0.103348576,-0.99018216,-1.3203838,-3.120935,0.16516006,1.4542727,-1.3799927,-0.01928361,-1.9130536,-1.3114101
