,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,-1.3446776,0.630135,-0.8467639,0.112691015,-0.41247508,-1.5369256,-0.5569377,-0.117446944,-0.5661903,-1.0092915,1.5142369,-0.22975978,-1.8376874,0.5517649,-0.65230495,0.18724118,-0.8260413,-0.06679833,-1.0704919,-0.17674425,-0.98174644,-1.578301,1.1060063,-0.42993587,-0.72544515,-0.4450773,0.4868634,0.93832684,-0.19274765,-1.1201859,0.578224,-0.56957144
burma,-1.2667446,0.4952146,-0.14814758,-2.291304,1.0372498,-1.5552173,-0.59655195,-0.8440899,-2.2945194,-2.4539,2.2194746,-0.5323111,-2.1738725,0.09411903,0.6787403,-1.2049762,-0.24416982,-0.46241367,-0.4991359,-0.6165777,-1.6426919,-1.3629576,1.2544503,0.72317016,-2.1623454,-0.57446766,0.3694053,-0.09889583,0.39173988,-0.31298587,0.50285065,-0.49866548
china,-2.439086,1.6244229,-0.33214292,-0.19445041,-0.19889753,0.2975732,1.0011641,-0.54542357,-1.8798203,0.23254728,0.8748777,0.84969604,-2.4091957,1.3075006,2.4595413,-0.28041777,-1.409272,-0.6967929,0.41879702,1.3993964,0.86809665,-2.2317626,0.15829685,0.11038529,-0.46819815,-0.9693714,0.23905808,0.38764077,0.95895755,-0.18355325,1.3156332,0.40849805
cuba,-0.6828591,1.014922,-0.84962636,-0.6477065,-0.9335792,-1.594073,-1.4063689,-1.545783,-0.4558755,-0.62809294,1.507467,1.0842004,-1.8156257,0.9098005,-1.433561,-0.2959112,0.4142187,-1.1550946,0.06772782,1.3774647,-0.8485008,-1.4848547,0.09669515,0.90841377,-2.0904543,-0.67628175,-0.25701624,1.2850413,0.30794084,-0.9786749,0.40427753,1.0179176
egypt,-0.5582836,-0.3105853,-0.8674593,-1.8050729,-0.67654854,-2.2737072,0.6119841,-1.3251067,0.09291971,-1.5581671,0.97668946,-0.48600313,-1.9116209,0.43714586,-0.3609744,-0.9211787,-0.48636836,-0.215341,-1.4922903,0.35850936,-1.228354,-1.057588,1.2466532,0.23244326,-0.7533077,0.3527901,-0.03697434,0.5381609,0.18746756,-0.45375928,0.68138677,-0.520617
india,-0.29565266,0.5654169,-1.4427782,-1.3702346,-0.62458426,-1.1167958,-1.1819028,-0.7003686,-0.43628284,-1.8874546,0.3205502,-0.7214823,-1.217152,0.6527167,-1.1786397,-0.5288449,-0.534841,-0.53430915,-0.6841254,0.31862524,-1.0678552,-0.7122285,1.164055,-0.32097888,-0.44062108,0.29572374,0.35741177,0.24660634,0.17462274,-0.6135473,-0.11167903,1.3639605
indonesia,0.13415058,-1.0242462,-1.8905846,-2.1218421,0.52294725,0.04472259,-0.51961094,-0.4101047,-1.750811,-1.905487,2.0808952,-1.0830481,-2.9499981,0.39609566,-1.2804872,-1.0484581,-0.11612177,0.42191073,-0.5806634,0.6347725,-0.03241244,0.92017525,1.3493013,0.08861308,-2.4227126,0.5257783,-0.15280528,0.5673598,0.8115085,0.42363772,-1.3187481,0.18640523
israel,-1.9831913,0.32215855,-0.49600592,-2.5674334,-0.6283948,-0.2986141,-0.6772127,-0.5017113,-1.7909431,-2.7450624,0.48812747,-1.3063806,-1.6337973,0.2869359,-0.63591707,-0.2973224,-1.288612,-0.49482742,0.1835877,0.5471034,-3.1201863,-0.8609759,1.8766416,0.065235466,-0.5221661,0.3473578,0.28039774,-0.4636236,0.5241156,0.64213115,0.32011747,0.5183406
jordan,-1.1269456,0.45778126,-2.0323203,-2.0547106,-1.3177634,-0.11239281,-0.07441918,-0.03358799,-1.9029119,-2.0123174,2.2618513,-0.59713835,-1.2991017,1.1446714,0.39648297,-0.86651456,0.30841833,-1.1048316,-0.038399264,0.048054002,0.84351104,-1.0264379,0.94594616,-0.4128676,-1.6065438,0.34123874,-0.2973621,-0.83669233,1.1764868,0.100401655,-0.003356487,0.8135587
netherlands,-0.58288914,0.5073127,-1.2442497,0.6064204,-0.53677684,-1.2743547,-0.1735656,0.42940965,-0.70370996,-0.69709015,0.41526222,0.7705522,-1.4946827,0.30716124,0.51730573,-0.5622684,0.19675611,-0.36002538,-0.49273238,-0.33351535,-0.74479544,-1.3387305,0.6249594,-0.110856704,1.0230272,-0.7525821,-0.21404073,0.49491066,0.27470785,-0.60221094,0.08270633,-0.23060958
poland,0.25692415,0.64871544,-0.47637084,0.35832813,-0.7983091,-1.0542572,-0.60432774,-1.4886024,-0.4989295,-0.45415747,1.5689428,0.38320613,-1.2360475,1.0131941,-0.76178646,-1.260136,0.6800013,-0.71088,0.23465207,0.46227756,-0.879504,-2.2207224,0.6444805,0.94839096,-0.7071421,-0.48010316,-0.3149094,0.64506334,0.0737457,-0.52997696,-0.4111713,-0.2566774
uk,0.7791135,0.17778492,-0.8732326,1.4747056,-0.79825634,0.3377334,-1.7135513,1.6070701,-0.3246561,0.0395393,0.9109808,0.14233163,-1.5721363,-0.017647197,-0.13611005,0.6499573,0.04622912,0.60203636,0.75421005,-0.95823765,-0.7376976,-0.6217262,0.020743424,0.34734476,-0.96526206,-0.08653943,-0.7473446,1.4074492,-0.4811677,0.340435,-0.83592474,0.34571064
usa,-0.06335134,1.3387287,0.5582355,1.1591136,-0.32166958,0.7488826,-0.7957082,1.3670933,-0.48893973,0.32322437,0.018808236,-0.023605755,-0.3226046,0.70455796,-0.46664953,-0.8996412,0.23438461,-0.047629297,-1.1768055,-0.09249154,0.56872535,-1.533601,0.23520848,-0.6907524,-0.43363985,-0.9782541,0.20879099,0.58235395,0.09604447,1.4034879,-0.3675713,-0.67812216
ussr,-0.76557326,0.60414135,-0.632282,-0.06598872,0.05281026,-1.26982,-0.17793514,-1.310836,-0.82471865,1.1979725,-0.23622876,0.86803395,-1.2168491,-0.015242575,-0.305506,-0.17487654,-0.32209656,-0.06839917,-0.21754439,0.9144531,-0.3466407,-0.332462,1.1858339,-0.39572722,-0.91127145,-0.39791352,-0.016446622,-0.028362317,0.72711724,-0.076244,-0.37012088,0.7393578
