,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,0.9496859,-0.6174655,1.4142057,0.41379216,-0.515746,-1.3015429,-0.75276643,-1.2103051,1.1916221,-0.74084145,-0.77753884,0.22137979,-1.0948546,-0.06753848,0.7488136,-0.34984306,1.8050574,-0.6453456,0.19390805,0.6260703,0.32371345,-0.86058277,0.63760775,-0.40650558,-0.4148571,-3.0758567,-1.017063,-0.9507176,1.7494761,-1.521023,0.4827422,0.3268082
activity,0.90332574,0.21025942,-1.3808702,-0.6657259,0.2843351,-0.7677965,-2.6021972,0.05709562,2.0566611,-1.4546314,-0.99415797,0.16877167,-0.23005165,-2.0208702,-1.384463,-1.6283598,-1.370205,0.21749383,1.1324531,1.2842735,0.18042935,-1.7147173,0.18879181,-0.54572684,0.6742875,-0.40777802,-0.08455299,-0.5853344,0.36730668,-1.1430002,0.7301564,2.3470583
age_group,1.766208,0.61171174,-1.1229235,0.6746191,0.24454121,0.53815573,-1.075478,-0.0002839053,1.684193,-0.13292488,-0.55096936,-0.8632015,0.116513625,-0.11338329,1.5771137,-1.0713788,-0.5913554,0.5909216,-0.40254584,1.1177086,1.1845512,-1.7224703,0.26823723,-1.7093104,0.7635257,-0.69487375,1.2872267,-0.331201,1.2522876,-1.1828461,1.5771409,0.12640326
alga,-0.3233469,-0.29670304,1.8540566,1.6044492,0.9779043,-0.13739677,-0.8455221,0.6951396,1.668132,-0.50544626,-0.8727115,-0.6763242,-0.39917493,0.26558152,0.33205566,-0.30814332,-0.81763554,0.46778083,0.40286952,1.8697946,0.2584352,-1.1730841,-0.9165337,-1.3224199,0.7596216,-0.63698995,-0.7154685,-2.2639139,-0.016489841,1.0079463,0.6474368,0.27848387
amino_acid_peptide_or_protein,-0.72825134,-0.8647104,0.3979568,-1.4508189,0.08140332,0.3420245,-1.5237352,1.2852079,1.623683,-1.2275542,-1.1427991,0.48162526,1.6582688,0.37140983,0.13518116,-0.2849516,0.09292488,-0.09397466,0.45089573,0.9161548,0.9381316,-2.240047,-2.0509775,-0.38388684,1.1929401,-0.48249882,1.1964793,-0.38723946,1.0656071,0.19077003,0.90704,-0.1253021
amino_acid_sequence,-0.85606426,-0.6005905,0.4244827,0.10127886,-0.06197248,-0.03546978,-1.6005144,0.6132595,1.826573,-1.7094563,-0.46924734,0.59910744,-0.43549037,0.6702789,0.43114722,0.11577566,-0.95359135,0.8127263,-0.07653564,0.60427696,-0.45651647,-0.88846767,-1.7106394,-1.8391602,0.9622484,-0.3510033,-0.29937705,-0.5565757,1.0222319,-2.116011,1.0495096,1.5115738
amphibian,-0.35265464,-0.885579,2.2538915,0.82503235,-0.15584937,1.1260142,-1.117779,0.32266647,1.672152,-1.3788698,-1.0722187,0.1914665,0.23230213,1.5914434,-0.6417096,-0.98253715,-1.7025498,0.52632266,0.38603485,1.5362085,1.1117344,-1.4761937,-0.8738554,-0.5918902,1.1019137,-1.1494242,-0.11352758,-1.7484857,-0.40931773,0.61132455,0.8504384,-0.018965703
anatomical_abnormality,0.5130004,-0.8358407,1.4123925,0.0064751543,0.82713354,-1.3275412,-1.1217942,-1.2740284,1.2621112,-0.6607409,-0.5709854,-0.6518361,-1.1184074,0.04100888,1.2707763,-0.44205296,1.9358242,0.22092931,-0.25915843,0.39599878,0.18542935,-0.7621193,0.70057416,-0.39395878,-0.5649473,-1.7567234,-1.2557206,-0.8317444,1.7744555,-1.5520533,0.69568557,0.7919723
anatomical_structure,-0.7372616,-0.35685757,1.2669421,-0.26565996,1.3342794,0.31794637,-2.1514428,-0.24645591,2.1479094,-0.7755647,-1.188555,0.26009485,-0.3281065,-0.58659136,0.40296176,0.16325018,-0.40012953,1.0531967,0.38373917,1.0443405,0.32179937,-0.9117524,0.10418294,-1.4190305,1.3520162,-0.09343805,0.11896078,0.1798483,-0.1457979,-1.6901563,0.8098587,0.72536016
animal,-0.117550045,-0.068474516,1.5405216,0.6797004,-0.124765106,0.30258322,-1.1413428,0.93872315,1.9226536,-0.6120185,-2.1626604,0.31327555,-0.5486711,0.9270537,0.11661072,-1.207662,-0.25452405,-0.8491481,0.15020174,1.270178,-0.024763769,-1.7523383,-0.8030983,-1.257352,0.6571453,-0.3376759,-0.2734937,-1.1630427,0.3678853,1.5488477,1.0200639,-0.113021754
