relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,-1.1953374,1.6277785,-4.8577547,0.45457917,-0.75946325,2.0747797,-1.3834894,-1.8682569,2.086906,-0.6003216,-0.06946869,-1.820973,1.3238537,0.11366304,1.3173723,-1.7545115,-3.3250515,-1.6296707,5.878531,4.687046,4.189912,1.2060863,10.81144,-6.9627957,6.2257347,-3.0231369,2.867114,-1.811719,3.5853481,-0.31680128,-0.020345448,-0.3468188
aidenemy,0.8879799,0.031042585,0.64653754,0.6176741,1.3936731,-1.1579964,1.8594345,-3.68938,0.9934248,0.79132056,1.7143575,-1.2742513,0.9396794,1.3930964,0.6984805,-4.591156,0.44785327,-0.38585517,1.2713224,0.68556714,2.101476,0.70924985,2.509876,3.425729,1.1422462,-3.1324463,0.020179085,-2.1880517,-1.3798693,-3.766606,-0.6427176,3.3799746
attackembassy,0.7283499,3.5890396,1.7077309,1.2568973,-0.22611572,-3.4334617,-1.9454283,-2.529393,-0.011565806,-0.3004397,0.88149625,-0.35382262,-1.2116264,1.7536385,0.4158685,-3.481992,-0.14165916,5.0181704,-2.9740772,-2.7615952,-1.5114061,-4.3415084,-0.04429668,1.868719,-1.5584512,-2.063171,-2.2435768,1.0319642,-3.5194314,0.28495136,-4.9002686,0.99635196
blockpositionindex,1.9274771,-1.3942384,-0.13314287,-0.99204135,-1.5560452,0.19674344,0.9253075,-2.0904624,-4.25573,-0.88971215,-4.6862597,0.40179002,1.8842188,-1.581485,0.62098163,-0.88752365,-5.4674315,2.4096193,1.5623064,1.9082025,2.6411703,1.1928434,1.3655224,1.6069038,2.1508303,3.4742246,4.8572755,-4.5565023,-2.3742087,-6.4596453,-2.0943177,7.4987183
booktranslations,0.24768287,-1.5102987,-0.6020965,-0.3653645,-0.345129,0.57929516,-0.12801246,-0.4113485,0.35130256,-1.2403519,-0.13904588,-1.7429628,-0.8174035,1.8204981,-1.9456758,-3.506007,0.8813025,5.0551105,3.806704,0.6156279,-3.0107923,4.296383,0.18533178,-3.5678737,-1.5729196,4.1788745,-1.631685,0.5946252,2.1175501,-1.3952074,2.1993704,10.471908
boycottembargo,-1.4008609,0.23861314,-0.48514104,-0.78330195,-1.3283498,-2.3840468,-2.3019402,0.40425345,-0.07179463,-3.8021255,1.7549229,0.6352538,3.088459,1.3137251,0.32789254,-2.673716,-0.30023578,5.313196,3.4996474,5.633903,-0.1103605,6.222949,-2.254876,0.31111515,-2.993548,4.3555408,1.5035543,-5.4418526,0.44319192,-1.5999204,-2.8514342,4.2371306
commonbloc0,-0.07158433,-1.9754932,-1.8916049,0.07763223,-1.7325833,-1.2449266,-1.5586065,0.97204775,-0.78872633,-1.6567335,-4.6472774,1.0209819,3.655503,2.0740433,-2.069459,-1.8604904,-8.584607,-0.118321754,5.8369393,5.444378,3.0732698,5.385302,-1.4971439,-1.4424434,-4.3698545,-5.638607,1.6807413,-0.14722586,-3.7459307,-2.5444484,-1.6435213,3.9900668
commonbloc1,3.656627,1.8670993,0.21747765,0.1929695,0.05246566,-0.09492706,-0.81051385,-0.38576576,-3.1503344,0.53081787,-3.3946788,-0.5349651,-3.052338,-1.455373,0.8931731,-0.0069737127,0.5604678,2.7697046,1.3778149,-0.83981144,-0.73013204,4.840362,1.1801007,-2.2587411,-1.3673098,4.9954123,2.398188,0.6440141,1.59541,1.6043288,0.03589712,2.109467
commonbloc2,-1.9210289,-0.5148172,0.16042444,1.9564778,-0.84145826,-0.6642434,0.359696,-2.1229062,-0.81713676,-0.2396874,2.730311,-2.4832547,-1.7982273,0.3797967,-0.6663347,-1.5474371,5.689973,-0.93069565,0.5724438,-1.8639753,-2.8988123,-1.1644405,-3.2791824,1.5133542,-3.7032797,-0.006084863,-3.0261672,3.7140553,0.12911682,1.4194928,0.37273067,-2.8594918
conferences,0.250949,-1.7609022,0.489555,-1.6284151,-0.033581786,0.6782422,1.122533,-0.6551131,-0.5846572,-0.11672246,-0.44449922,0.043353602,1.1488931,0.7441101,-1.9140717,-1.7913437,-0.7358179,-0.74462295,1.6433533,2.05133,-0.41433707,-2.7656875,-5.22277,-1.8445132,0.66126186,0.06986709,1.1798798,0.9623445,-2.7752047,-4.4990644,-3.946466,2.1239054
dependent,-0.4929961,1.9349543,-1.9317129,-0.49077204,-0.6698233,-1.1919546,-3.4935489,-0.02883697,0.78453636,-0.87946194,3.1641293,-2.5333037,-0.6120898,-1.1374415,-2.238283,-1.976429,0.55614036,-2.7192273,0.77105373,-4.160111,2.2716181,-0.91502434,-2.8192446,1.3195329,-1.3742725,-1.2900982,-2.4077408,1.6078743,1.1023036,-2.8663583,1.4061856,4.8979836
duration,1.0593642,-2.4372697,-2.5722194,1.8745148,-0.69137996,-2.0449553,-0.030770777,-1.0692852,1.3932146,-2.3495674,4.939058,-0.9295095,0.7165953,0.35272923,0.55943835,-1.9556469,3.787527,-2.5079114,-0.062140763,-5.0589366,-4.4245896,0.16025966,2.0521467,-4.3759894,-2.1465619,-2.4532773,2.0149899,-0.62486434,-3.1023262,-4.4643908,-7.222472,-1.1085467
