relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,0.3988959,-1.228556,-3.5356474,-0.8168618,1.3562374,-1.9356142,0.11718974,-1.4661275,1.1677591,1.0637578,-2.4357238,-2.0602021,1.3165212,2.7256393,1.9533813,0.5280415,-0.010379596,1.1772574,1.484512,-2.6301908,-1.803101,1.1409374,-0.7562715,2.2987568,-1.4224962,-0.74131536,-2.4429615,2.3683045,-1.5756284,0.17908996,-1.151794,0.6596217
aidenemy,-2.3833635,-1.4694422,-1.1442062,-1.1543906,-0.73882174,0.6805154,-1.1833701,-2.3969986,2.9034278,0.094617605,-2.359246,1.0677758,0.25040448,1.0797769,0.28248683,3.1604006,-0.55077505,1.8245393,1.3223543,0.4499501,-2.8881795,0.28915247,-1.2457607,1.3142792,1.410754,1.44173,2.2730174,-1.7389667,-1.0912076,2.0174239,0.60579515,1.4733093
attackembassy,-1.6860961,-1.7429786,-0.34108594,-0.83430856,1.7544734,-1.8320997,2.1161585,-1.0171041,-0.074220434,0.16346839,-2.6315725,2.763322,1.7044382,-1.164636,1.2896242,0.4392875,1.1467525,0.031273924,1.085723,1.7348099,1.642971,-2.1458876,2.0706973,0.122926086,-0.0067743855,-1.4972225,-1.6290448,1.9214473,0.8243369,-0.2991189,0.30061424,-2.9460797
blockpositionindex,0.42989236,-0.6046568,-1.644991,-2.920533,-3.8839045,2.5968103,0.78880626,-0.3874899,3.135603,-0.31398454,-1.0581195,-1.3907547,-3.2644985,-1.8164698,-1.339318,0.21555547,1.8960199,0.25867102,1.4012276,1.452452,3.3038795,0.7165174,0.33067566,-0.41965076,0.9803868,0.095428094,-2.291038,-1.708111,3.4733272,1.0428574,-0.5466944,2.1548147
booktranslations,0.2584663,-2.050335,-0.6214889,-3.6323369,-3.1257937,-2.4579437,-2.1955788,-1.9560852,-1.7282805,1.9418848,-1.6712707,-1.7847404,-0.2386024,0.09425351,-0.9778342,-3.1417632,2.583411,0.089557774,2.207529,0.08087547,3.6027794,1.0401013,1.1266413,0.16113026,-1.5198735,0.8726806,0.8023429,1.5089275,0.036912583,2.0748942,0.62614346,3.380321
boycottembargo,-0.4118837,-2.5169277,1.2480675,-0.6733702,-3.1017847,-0.20307797,-1.367936,-1.5802029,2.4881005,-0.67896634,0.3228494,2.5361462,0.0742387,-2.9723415,-3.508575,-0.74577314,0.5803407,2.2766724,0.2191848,1.592787,-0.9258219,4.0864434,0.3305897,1.3072863,-0.33986223,-0.11551948,0.44549286,4.408316,-1.7742988,0.6406216,1.1255805,-0.36204806
commonbloc0,-0.7575638,-0.19125777,-2.225351,-2.8750987,-3.8439794,0.7069157,1.3447933,0.3137707,1.6389028,0.7124418,-1.2848535,1.7321087,3.4513276,2.1701827,-2.7349162,-0.39696768,-0.30784383,-1.0895689,2.1280522,-1.7799709,1.8819679,-1.772366,0.5517086,-2.0415592,0.49927375,-0.8874785,-1.8522401,-1.3653582,-0.22756201,0.712481,2.3918772,2.443069
commonbloc1,0.8988757,0.60730267,2.9733267,-2.172042,-2.679164,-0.680399,-0.36235237,-0.29278877,-3.3754487,0.6531601,3.428146,1.2581342,2.7782454,0.5041948,-0.35819027,-1.1393903,-2.1454964,0.23031734,-0.9729043,-2.1557486,0.4121241,0.33596736,-5.138367,0.02141437,-1.6918697,1.3795378,0.8712228,-1.4258773,1.0997422,3.9155467,-2.0266063,-0.8809159
commonbloc2,-2.2415047,0.18243088,1.834361,4.198624,0.23499133,-2.6550078,-3.0473893,-1.9136136,1.4024792,-0.26581445,-0.6823624,-2.7808006,2.115589,1.6277221,-2.577128,0.16226085,1.8428258,0.16416615,-0.84566987,4.312441,3.9674406,1.1814439,0.59080243,0.2199257,1.7071267,3.3084204,-1.8242277,3.6534557,2.0343573,-1.1953194,-0.6460039,-0.39428115
conferences,2.0016491,-1.2446147,1.3900841,-1.7007012,-3.3823254,0.7773656,-1.723503,0.47190687,-2.4038308,-3.632971,-0.8797742,-1.5162249,-3.6870604,0.2659657,0.48682168,-0.9238011,1.9186329,-0.6060108,3.7979372,-0.81610066,-3.944086,-0.9945533,-0.098693386,-0.634911,-2.6325994,-0.80957466,4.14432,2.039764,3.5257053,1.9769804,0.35427818,1.2339445
