relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
term0,-1.1236852,-0.7972625,1.2611536,1.1730244,0.2560403,1.1505358,0.59128267,-1.3853692,-0.88721794,-0.79581547,-1.4896951,-0.33441827,-1.5051551,0.101731844,0.18500899,-2.6950672,0.058635816,0.15224612,0.3104685,0.10734358,-0.38120955,-0.26860067,0.012095709,-0.069468625,-0.09177179,-0.00918588,0.53309286,-0.28363937,0.12886947,-0.028090874,0.091773555,-0.39434552
term1,-1.0142707,0.15581447,1.809006,1.2224988,0.43944997,-0.9326935,-2.253255,-1.1856489,-2.1707547,0.2372963,0.5435352,0.084676094,-1.4885343,-1.3941259,-0.61286557,-0.005420219,0.15978453,0.04863243,-0.0973169,-0.5169858,0.052840818,-0.24410382,-0.42611206,0.07667442,0.031392537,0.29903778,-0.66696554,-0.47833097,-0.0058686584,0.061020065,-0.029847285,1.0164267
term10,-2.067013,0.43269014,1.2607836,1.0297478,-0.52662635,0.2777896,-0.58461267,0.49531552,0.91221297,0.38234016,0.25368837,-0.38408896,0.08840285,-1.2449937,0.044364102,-0.42488548,0.11737686,-0.40924215,-0.029824689,-0.5439941,0.3116483,-1.2741231,-0.07326416,0.8348464,0.9420179,-1.3141487,0.9416829,0.094163336,-1.2142044,0.7627834,-1.1285275,0.715159
term11,-1.5839244,-0.07859493,1.4970311,1.3938092,-0.6418672,0.26486593,-0.001351022,0.7617808,0.7645587,0.6917059,0.06303757,0.02734478,-0.83716494,-1.4314567,0.99898845,-0.6596319,0.76077706,-0.68944347,0.3675663,0.8073234,-0.7611117,1.848348,-0.59987915,-1.7737545,-0.9037218,-0.39579117,-0.91384554,-0.3905741,0.703543,-0.17515014,1.6714334,-0.57321596
term12,-1.2160721,0.68142116,-1.3799777,-1.209695,-0.53662664,0.47534925,0.5289676,0.31930992,1.0792024,1.0201545,1.602825,0.9127215,-1.9560264,-1.5369346,0.12334557,-0.78574795,-0.6216022,-0.39140597,0.3331208,-0.74793476,0.042691033,0.52152425,0.0017364374,0.13411134,0.15282705,1.4600027,-0.6650838,-0.5554697,0.67565024,0.011613023,-1.1995852,-0.010124667
term13,-2.346495,1.2195746,-1.372018,-1.1818001,0.0036987662,0.82996655,-0.25615653,-0.013795286,0.74063027,0.45153835,0.34277233,-0.076056354,0.14819078,-1.1833864,-1.0664896,-0.106446885,-0.20063688,0.32932365,-0.23704551,1.0651436,0.1778912,0.03422381,-0.11962216,-0.04380826,0.104564354,-1.2988423,0.8366298,0.647455,-0.40778697,0.71279514,-0.68578655,0.20683339
term14,-1.3670369,0.89897066,-1.5656109,-1.0266076,-0.7469888,0.5803763,1.1842943,0.29694176,0.4661251,0.8118983,0.78222466,0.16552897,-1.616447,-1.5095891,-0.2864279,-1.3577161,0.30062622,1.0516845,1.259555,-0.9018411,0.014097411,-1.170725,0.51522464,-0.43874666,0.067528576,1.3171968,0.49279466,-0.14484371,0.8184676,0.15555683,0.57000506,0.29941097
term15,-1.7187469,-0.9563972,1.4335965,-1.5091021,0.48452145,0.8508647,0.13881397,0.011544346,0.20780882,0.40666112,0.7064889,0.17450143,-0.8268622,-0.4148783,0.26849407,-0.6654596,-0.8060297,-0.56775653,-1.2970208,-1.0148127,1.218763,0.3340241,-0.8310972,-1.5515409,0.9088058,-0.5805455,0.3751544,-0.24911644,0.05466333,-0.7462658,-0.13507466,-0.7316157
term16,-1.0678532,0.020549823,-1.5597636,1.4930904,-0.17814982,-0.33246583,-0.45522112,-0.04531923,-0.2895449,0.27462593,-0.1820079,0.011635398,-0.9531549,-0.61693865,0.1064958,-0.68165386,-0.3860502,0.644511,0.025208496,0.83584833,0.9166098,0.47637984,-0.6887313,0.17872524,1.590745,0.15203467,-0.43822843,1.3473502,-0.99783826,0.7004181,-1.257576,-0.20949632
term17,-1.0432287,0.12025954,-1.6110106,-1.298256,-0.30914453,-1.1064494,-0.23745014,-1.0735941,0.16196753,-2.9118865,0.76703405,-1.0258707,-1.5559177,-1.159387,1.597409,0.30605474,0.4460439,0.068979956,0.023582561,0.26282513,0.245888,-0.29756907,-0.006815168,0.16025363,0.08952496,0.13066326,-0.08830352,-0.26322773,-0.33363947,0.059399582,-0.23132025,-0.23883826
