,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
person0,0.13213521,-0.079487056,-0.48330408,0.033357132,0.5900989,-0.472651,-1.4309577,-1.3240583,-0.5857908,0.1865296,1.3298941,-0.79212534,-0.51381856,-0.84732735,-0.26471838,0.8059515,-0.382329,-1.49845,-0.43226388,-1.5814131,1.6935688,-0.013210234,0.85206425,-2.0670376,-0.06300914,-1.2862464,0.63571596,0.89539266,0.010121298,-0.4058924,1.3678684,-0.07137574
person1,0.49431407,0.55869853,0.01684033,0.2848033,-0.30756012,-1.3860242,-0.39874423,-1.2026104,-0.89491045,0.44963312,-0.1749352,-0.856967,-0.59316665,-0.1594845,-0.43235528,0.4824625,0.46627876,-0.55680203,-0.08927769,-0.9746755,0.33354712,0.12227314,0.51501125,-1.9700587,-1.373432,-1.6546282,0.18135111,0.20973186,0.11436404,-1.2828512,0.861197,0.44824758
person10,0.52239674,0.14177935,-0.17274497,0.99704856,0.35666502,-0.94748205,-1.0341182,-1.4065306,-0.77632546,0.033898126,0.13726903,-1.1865449,-0.5679858,-1.1800516,-0.5888742,0.82088727,0.18539087,-1.0116384,-0.49041706,-1.3399358,0.77043724,-0.3564989,0.92321736,-2.547543,0.049560405,-1.3366251,-0.058658015,0.85015315,-0.3865295,0.19558485,1.7193586,-0.16260567
person100,0.41442126,-1.1676395,-1.911508,-1.3538109,-0.9875159,-1.8094856,1.2786294,-1.9081877,-1.1517851,-1.2302908,-0.47730494,0.10577487,-1.6247039,-0.9319174,-0.8175839,-0.9559837,-0.10683926,0.7247329,-1.3357494,0.15667908,0.7906379,-0.6902337,0.7039898,-1.5573114,-0.5319698,0.35876662,0.5642226,-1.1621152,0.086929455,-0.26742238,1.3960376,-0.5369786
person101,0.08769431,1.6066476,-0.9422353,-0.6178893,-0.2529877,-0.6687408,-1.0075995,-1.8030585,-0.07204801,1.8138762,0.041550953,1.144562,-1.8206713,0.5627664,0.6130318,0.96711534,-0.48139167,-0.7047161,-0.5366628,0.7072799,1.5354079,0.3669026,-0.7806594,-1.5740852,-0.22990614,-0.7992535,-0.35952735,-1.1345112,-0.09581424,0.20163514,-1.0561216,0.9978549
person102,0.6232744,-1.0238483,-1.1082907,0.6215992,-0.76762563,0.67060596,0.6988747,-1.4851316,-0.7905152,1.0764699,0.18505786,-1.0311164,-1.2166442,-0.43774283,-0.5085108,-0.59784186,0.026638387,0.37482807,-0.80603063,-0.8615903,-0.7843914,-0.88403386,-0.65310574,-1.3283758,-0.381141,-0.1797187,0.31328464,-1.4714571,-0.4753327,-0.052616563,0.67279226,0.26015517
person103,0.8704855,0.47067112,-1.5498185,-0.7683362,0.12645786,-0.55394334,-0.061645474,-1.7339483,-0.3815535,-1.1920861,0.20426197,-0.70500326,-2.1206021,-0.053076357,-0.20640227,-1.2490484,0.23376554,1.7392442,-0.89088064,1.144648,0.8151714,0.7338346,-0.17859805,-1.3644776,0.3571007,0.22137362,0.4298966,-0.71671766,-0.6698136,0.6714688,1.08893,0.65403265
person11,-0.9840303,-0.19851696,-0.61487293,0.53420365,-0.83168226,1.2579741,0.58543646,-1.2100191,0.44042483,-0.9521069,-0.9627427,-1.3252932,-0.14301716,0.6586351,0.51969147,-0.42798892,0.5325155,0.24734445,-0.46924275,-0.92275244,0.8297887,0.1538073,-0.7630207,-1.8967108,-0.21886787,0.22539157,-0.065077625,0.023769615,-0.0069284583,0.7592892,-1.122161,0.237515
person12,0.55967087,-1.2003434,-0.12201483,-0.492807,0.888223,-0.43686098,-1.0738244,-1.0985794,1.2136418,0.6935504,-0.22211903,-0.2886179,-0.29637915,-0.09597736,0.35684288,-0.64655626,0.2364788,0.30425584,-0.123461924,1.0395855,-0.74761206,0.34364387,0.68562853,-1.7531615,-0.8174619,-1.0616058,-0.51470536,0.8123565,-0.6951785,-0.5832785,-0.88923323,0.11255009
person13,0.5437656,1.1315994,0.0044253124,-0.888289,-0.040692583,-0.1430934,0.7019094,-1.2312119,0.63159233,-0.9551246,0.53955114,0.35536656,-0.53556,0.079637825,-0.28073576,0.1508217,-0.43572372,-0.34047577,-0.35412627,1.0635679,-0.2653788,0.025258686,-0.022656301,-1.6756551,0.63065225,0.8690406,-1.2867645,0.88352746,-0.15965854,0.14240761,0.8907863,-0.38728225
