relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-3.3630598,-1.6387588,-0.009201676,-0.58856666,0.24911557,1.3234313,-1.5012841,-0.8967361,-0.32847303,2.4196794,-0.21586785,-1.2124616,0.2252338,-1.2690209,0.92593,-0.6654317,-5.718506,0.13688323,-6.075402,3.3800516,0.50771296,1.1579776,1.5083368,2.0821896,-6.014043,-1.6079359,-3.4129262,1.3326645,-3.8146915,1.5184015,4.317592,-1.6840172
affects,0.3105281,-0.16415413,-0.20995106,0.3964541,0.6264545,-1.0004076,-0.23120797,-1.3967578,-1.0591543,-0.24487308,-0.8010073,-0.5026507,1.223798,-1.1454573,1.2525823,-0.16399586,3.364744,0.78218347,-1.8872936,-1.1997588,1.2267,0.87166214,-0.3313772,-2.5171607,0.8238529,-0.5984904,1.2671903,-1.833539,-0.26566577,0.9197775,-1.0890216,-0.8294628
analyzes,-0.53750634,-0.14020742,0.69209754,-0.17747425,-1.0217353,-2.274811,-0.8282247,-1.0830765,-1.7691504,-0.1815804,-1.0533125,0.45461878,0.9104223,-2.3823464,-1.7248832,1.0996537,-0.075907715,1.6710978,3.9712348,3.2550497,5.0888762,0.4128174,-0.8583786,1.1399626,2.6083279,2.2549117,-5.419422,-1.3377616,-1.8312316,0.9561769,-3.8874335,0.45568788
assesses_effect_of,-1.2039925,-1.0009128,-0.5137222,0.6137282,-0.945728,-0.14933632,-1.1972251,-1.2758304,-0.9819559,-1.1548601,1.067535,0.092095196,0.2873605,-0.47299886,-0.5153386,1.8260646,-0.94120055,-0.05252388,-0.7149057,2.6503456,4.138196,-1.6137371,0.8972273,-1.0635511,1.1440704,-1.1582259,-2.7571385,-2.5513701,-3.4555545,-1.4025095,-1.6512556,0.06701316
associated_with,-0.48691988,-0.987919,0.059304234,-0.7729943,0.39006615,-0.3340302,-1.243698,-1.2123444,-0.64408004,0.026549421,0.8259034,-0.63478553,-0.80520344,-0.6199041,0.37838334,-0.5573742,3.0757103,-0.08239103,1.4665778,0.68032867,0.16705461,0.36284557,1.0305958,-3.0272918,-1.7942982,-3.3504856,2.6488264,0.6677666,1.2342045,-1.1346102,-0.6812066,2.8329113
carries_out,1.1418942,-2.0047963,0.1992387,-0.43047407,0.15206599,0.42456645,-0.34390137,-0.5795076,-1.5829915,1.5902162,-0.39419794,-0.14401157,-0.18407239,-2.5500236,-1.5832148,0.20230833,2.6506135,0.96102697,-0.14758798,0.24597497,-5.468338,1.3207115,-0.37723857,-2.1273797,-0.63442695,0.096131675,-2.4352565,-2.992455,1.0648189,0.6537913,-3.9463155,0.45393288
causes,-0.052783664,-0.028578449,-0.044087816,-0.38151446,-1.10593,-0.4769862,-0.76613414,-1.1037205,-1.2402319,-0.67587036,-0.7600751,-1.7434144,-0.6546217,-0.70477736,0.36250362,0.5110649,3.297001,1.2075509,0.49699402,0.16633767,1.7163345,0.06857552,1.5989999,-2.174837,-0.46462864,2.6061492,3.4829273,0.8250282,1.3858863,0.2109707,-1.7157235,0.34143963
co-occurs_with,0.5169277,-0.2760616,0.21757564,0.4951615,0.0621652,0.28071618,-1.4286679,-1.63582,-1.6724612,1.25465,0.35358456,-0.9301706,-0.093592435,-1.1167922,0.6400632,-0.27405155,2.6059208,1.8867713,4.319489,-0.31727514,2.3239856,2.096987,2.0691042,0.00028419215,0.5262674,-1.3861091,1.7727493,0.8359853,-0.58800656,1.0987388,1.3102896,-4.578323
complicates,0.059795223,0.12088252,-0.39910755,-0.28404695,-0.489666,-0.383917,-0.47035947,-1.3878226,-1.1629047,1.5122414,-0.06221831,-0.9939821,-0.14191048,-1.1866846,0.56475717,-0.13912924,1.8698362,1.533709,2.244858,-1.2081386,1.1714435,4.52701,3.8428032,-2.4511924,2.377179,-2.9544413,-0.2164362,-0.59372056,-0.5784875,0.9932138,0.17212905,-2.6373174
conceptual_part_of,1.4234194,-0.20273735,-0.91825944,-0.50009006,0.041956436,-0.21485917,-2.3589838,-0.927315,-1.262428,1.1878229,0.22002763,-0.26023552,-0.1855366,-1.46289,0.7222229,-0.055239666,-0.025074014,-0.17630622,2.31423,0.25990087,2.9177947,4.6356106,1.414263,2.362549,-0.22489521,-1.4842187,1.0126245,-0.014076963,0.48157117,0.67072886,0.54739445,2.7009408
