relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,4.2820673,-0.828789,-0.1296715,-0.5268098,-2.2079313,-1.6091049,-1.2569861,1.4122438,0.547702,-1.5420003,0.27679688,0.2419787,1.3332305,-1.6481972,-0.20228627,-1.8601061,3.114362,-0.43754783,-0.37489527,1.270641,-2.4274065,-1.6506505,0.5280987,0.28379056,-0.5086278,2.6470523,0.49480015,1.3673794,1.1338718,-1.5061641,0.742438,-1.3982705
affects,-0.7872182,-2.70725,1.8484728,1.126956,-3.4377756,1.9072958,-0.7447544,-1.6050738,3.770492,1.0027643,0.8072757,2.5858943,2.2893212,2.240741,-0.6430114,-0.31289566,-0.69260406,1.2538116,1.4601269,0.5617173,0.37632346,2.272059,2.8935795,-1.1236638,-1.9001708,2.2654278,-2.2399728,-1.1340113,1.1105524,-2.2431822,-1.3627326,-0.6837176
analyzes,-0.1739707,0.39666823,1.8286384,-1.6633574,-1.2931525,-0.42867556,0.15996447,-3.2245498,1.4810812,-3.0213864,1.9917861,1.7162216,-2.2471597,-3.009912,3.1078837,-0.3740771,0.3093709,0.4303531,2.8078623,0.42969176,-0.09496152,1.2713084,2.1232193,-1.6370425,-1.3241444,3.070623,-1.5526369,-0.21063736,-1.3517045,0.15170269,-4.4105825,1.0579419
assesses_effect_of,-1.268301,-2.5264995,2.274852,-1.5236468,-2.166768,3.9742613,-0.8666048,-0.64474505,-3.4132867,-2.8575065,0.55582416,-1.050094,-0.39909822,1.8883355,2.516574,2.107733,0.3259144,0.2310805,2.159203,1.3103664,2.1695268,-2.090498,-0.8086181,-1.0793371,1.8419269,2.2515495,-0.9170727,0.3802041,2.7384243,3.0361266,0.8296768,-1.0302439
associated_with,-1.3568345,-2.3800414,0.23148571,-0.31022626,-3.7519782,-1.3152882,1.4877374,1.2307718,-0.2212794,1.8403962,-1.7197151,-1.6074926,2.1204386,-0.660093,-0.36436516,-2.2404273,0.56593347,1.9096638,-0.051578272,1.9404752,0.91436565,-1.8745342,0.3203971,3.353863,-0.62185764,-1.9230099,-0.018013008,-2.3239782,1.6146846,0.04849292,-0.63895303,-2.7444527
carries_out,4.159437,-1.2265726,3.4722626,0.74728596,-1.8812578,-1.7619776,-2.4617765,-1.6318316,-2.847222,-0.99664944,-1.7686721,3.6163485,-0.14959279,1.2474468,1.3594748,3.8405352,1.1440808,0.50890136,1.2734618,1.1715152,-1.8961252,-1.0866665,0.99615496,0.7314888,1.7136625,-0.49544734,-1.9608511,2.3037226,-0.113883555,1.3083452,-0.73661673,1.4652653
causes,-3.4471269,0.2521168,-0.533784,-1.0185684,-3.2091212,-0.73553294,0.26582325,-1.3997035,0.50347704,0.2445167,0.1064187,2.5245247,-0.7965196,0.07944232,-2.5708718,-0.61669606,0.3178572,2.0301373,0.1958933,-2.0933292,1.2460961,-1.600428,-1.5111953,2.205276,0.09458343,-1.1654651,-1.955259,-2.2474403,2.2307005,1.1385056,2.3295004,-1.3201064
co-occurs_with,-1.2406098,-0.72209007,5.1416397,-2.4212387,-1.8577963,-3.1129446,3.4679124,-0.9217806,1.0321164,-2.051962,0.8437736,1.8916612,1.7538356,1.9232444,-0.872275,-0.729498,0.6986522,0.59338784,-0.13629597,2.767873,0.19270417,-1.0395523,-3.6841354,1.180757,-0.3696154,-2.5355616,-0.68150747,0.70450944,-1.3728678,-0.49681956,-0.31849065,-2.7442906
complicates,-0.47903225,-2.5625873,1.4248818,0.59633267,-1.9990082,-0.45658204,0.30130273,0.5599463,2.4552655,1.9223176,0.97828585,0.94403416,1.4254214,0.3939138,2.4647927,-3.2797625,-0.44378176,1.6933587,1.2359155,1.9039654,0.3422797,-1.1435719,-3.1399996,0.72748137,0.8079839,-2.2302833,-1.1420057,-0.30026212,1.6229184,-1.3213198,2.0976424,-2.628557
conceptual_part_of,-0.759819,-2.5841217,1.3296531,-1.2723662,-1.1212579,-3.1421583,-2.5140605,-2.2152748,-0.17644377,0.15938142,-0.19853593,2.9362493,-0.21481872,-3.077688,0.19630763,0.71918464,0.43543863,-1.9098552,2.0333111,0.59004354,0.3284834,-0.37079224,2.1290123,1.6911522,1.1025068,2.5318615,0.056974612,-0.8763709,-1.5315094,-3.8820446,0.007129783,-1.0890683
conceptually_related_to,-0.8965145,-1.7013353,1.3344667,-1.511551,-2.4548042,-0.1470028,-0.84680045,-0.024660958,1.5884995,-1.6211476,-0.5459201,0.7504995,-2.4336877,-0.557673,0.041526068,3.6788723,1.9407402,-2.1515222,-1.4435416,0.75669056,-0.7066561,-0.10737425,0.62251437,2.4388294,-0.11689026,-3.214001,0.43601426,2.2962568,0.34021676,-1.7766483,0.24460748,-1.6815622
connected_to,1.6316186,0.06983935,-1.3221695,-2.4279,-0.976296,-4.2388287,2.7327003,1.8646955,-1.4011314,-0.4700583,0.47207716,1.5566581,-0.65432334,-1.7881294,0.35705563,-2.085566,0.30728716,-2.6394885,-0.494695,-1.8207381,-2.8739257,-1.0031184,0.23989512,1.7018505,2.9290023,-0.42466515,-1.8612076,-2.1174188,-1.7827535,3.4730797,0.8529906,-2.4925497
consists_of,-0.7158432,0.9954175,2.7881305,-2.5638728,-1.8082386,-1.9166183,2.6772046,-1.6792799,-1.816147,1.1514139,-0.6861061,-3.250919,-1.4997901,0.32823756,2.5455227,-2.407654,-0.75416356,-1.4043435,3.2765653,-2.6071267,-1.2592438,-2.3995132,2.6284702,2.3911638,0.84607863,0.7176423,-2.824951,-0.42781717,1.1573951,1.4242594,-0.29835853,-3.7996416
contains,-1.4963617,1.1181176,0.28291932,-2.6993227,-2.0568678,0.45332813,1.7309798,-3.474267,1.8190545,-2.75704,-0.41554785,-0.4023577,-0.3280086,-1.1469696,2.810959,-1.1411983,2.739118,-0.52363205,-0.14958706,-3.185714,-1.7128997,0.74996376,-1.8964484,1.1619389,1.4191679,-1.7091362,1.4776942,-1.695699,0.17512585,1.859236,-2.146273,0.31989095
degree_of,4.809466,0.3707823,-0.27019584,-1.7067431,-2.1742887,0.5435762,0.96665055,1.5526736,-0.6161793,2.2733185,0.210184,0.97504735,1.9572103,0.3691888,-0.9939991,0.38477045,0.76995265,-1.7691371,-0.120490685,0.6514809,3.5722868,0.04125117,-0.8833686,1.9638373,-0.09708041,-2.3611553,-0.79197574,-1.6099964,1.1615877,-0.63282263,1.362102,-2.111245
derivative_of,1.4453114,-0.056611802,-4.4937887,0.6124338,-1.9119489,2.406914,1.9820195,-1.7407645,0.29556862,1.499508,-1.8745241,-2.6240711,-2.7680795,-2.2864897,-0.10130651,0.51682454,-0.09167234,-2.8671596,1.5335963,-1.2684134,-2.999533,0.90320176,-0.19403394,0.56627405,-0.44406247,2.2553976,-0.5633811,-1.7381412,0.42607346,-2.5169227,0.03320975,2.1633403
