,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,-0.76568836,1.9082316,-0.40033066,0.2969344,-0.5814574,0.26185468,-1.1155791,1.137278,-1.0690783,-0.79804146,1.7035685,0.5077252,-1.007929,-1.6354241,-0.1354431,0.48720652,-0.12377966,-0.96375895,0.79526335,-0.09528562,-0.6349798,-0.9990963,0.83133066,0.42721838,0.991104,-0.96447074,0.18011315,0.53390735,1.1460595,2.198829,1.006183,0.013457418
burma,0.07580613,-0.20407663,0.26706073,-1.6546804,1.4614388,-0.18695676,-0.9761025,-0.6706111,-1.6193036,-1.0023274,1.4073226,-1.6197346,-2.6868882,0.22076403,1.0214539,0.9544114,-0.61390364,-0.39389887,0.30164343,-0.0066990843,-1.5615199,-1.1821922,1.3233824,1.7668741,-0.41225776,1.4971321,0.787447,0.2493911,1.4228975,-0.33215365,1.0484276,-0.40741798
china,-0.80323285,1.2296032,1.1585426,-1.4533831,-0.19190519,-0.4631906,0.37555212,-1.3386121,-0.73662645,-0.57600576,1.547583,0.9872437,-2.6751122,-0.19835185,-1.1206157,-0.8431635,-1.1469538,-1.6885533,0.8912134,1.3566275,-1.0208738,-0.6542331,-1.688534,-1.7325132,-1.9443878,0.7730503,-1.4355104,-0.05232346,-0.1167242,1.5201157,-1.7070854,-2.0908775
cuba,-0.53232855,0.34277603,0.7789935,-0.72478485,-0.50814205,-0.7115103,-1.7467663,-1.1547799,0.02262529,0.31634608,1.843543,0.80056155,-2.1689124,-0.7211298,0.68751884,1.5050657,0.9986505,0.29545438,1.3594438,0.26583487,-1.6070502,1.5441171,0.65091395,-0.5271955,-0.12910403,0.121722445,0.07109542,0.15642595,0.4549007,1.332254,1.1134686,-0.2540333
egypt,-0.4809569,-0.47271088,0.08155058,-0.46537668,-0.9759773,-0.9105655,0.4639548,-0.57809085,-0.929075,-0.45992595,0.81722033,-1.9295194,-1.6245434,-0.73536074,-1.0921562,-0.34578538,-0.72315633,-0.37452233,1.8813655,-1.6378602,-1.2809788,0.20266981,0.23961355,-0.25168884,0.19691817,-0.46360302,0.8079172,0.0037212176,2.6654186,1.3991182,1.1133881,0.6080617
india,0.7073425,0.8639052,-0.7924579,-1.0512863,-1.6229073,-1.9658157,-1.2740002,0.2900928,0.26002687,-2.112313,0.17266445,-1.225932,-1.7009494,-1.6570501,-0.20245242,-0.69251955,-0.195594,0.19652183,2.1406338,0.0063988767,-0.016235262,-0.19254538,1.6633639,0.60169935,-0.36644235,-0.19438379,-0.8585419,0.059681386,0.21803103,0.52240777,2.5743976,1.3807245
indonesia,-1.5612102,0.08251873,-0.18487912,-1.0084736,1.1812937,1.7825711,-0.2957258,-1.6317526,-1.7926333,-0.31483984,1.0306774,-1.9860448,-1.4238122,-0.5257502,-0.14655204,0.38957947,-1.2521241,0.54625314,2.2384284,0.5600731,-0.8160503,0.8992811,1.7273966,0.55218786,-0.6482257,0.09916503,-1.6633534,0.24522504,1.0614189,1.0298197,3.9602213,-0.5240565
israel,0.1076222,1.381838,-0.60113454,-0.6717985,-0.6496747,-0.16743465,0.33195606,-0.5969377,-1.7259407,-1.408958,0.42676127,-1.7600582,-1.8188083,-1.2579316,-0.121714115,-0.9034129,-0.97983545,-0.36804342,-1.6254617,0.13869132,0.05611901,1.0735507,0.65355396,-0.018823976,0.0024215567,0.09747294,-0.44420034,0.4724005,0.7506817,1.0699999,0.49200523,1.0130525
jordan,-0.34617814,1.7375349,-0.13784082,0.31123447,1.1788878,1.004897,0.35139483,0.029227028,-0.628302,-0.8262827,2.6450634,-2.7550519,-1.6702766,-0.112771854,0.20915094,-0.5236161,-0.0824864,-0.3796002,1.5615793,-1.4487193,-1.0272328,-0.7643212,0.3524445,-0.08976421,-1.5986323,0.7817207,-0.5111406,0.15501228,0.22072954,0.4785277,1.1962277,1.0296301
netherlands,0.9722398,-0.18757369,-0.21349514,0.85618967,-1.3848274,-0.91635936,-0.40002123,1.7148268,-2.8180695,0.06097767,2.2769058,1.2462087,-1.049171,-2.6377375,-0.84569186,-1.0799843,-0.4780845,1.5164299,-0.053176224,0.8841923,-0.6834025,-0.7157354,1.0322977,-0.12380417,-1.5282576,-0.8806162,-0.6999308,0.6645409,1.0629823,1.6981868,-0.68194634,0.528339
poland,-0.16319686,-0.12069455,0.79463106,0.41832057,-0.8574148,0.78391844,-0.9409617,-1.6547557,-0.34731838,-0.5790347,1.176507,1.2334391,-1.5160004,-1.0655966,0.1671803,0.4197268,1.2588207,-0.75775355,0.78146017,-0.22963591,-0.7227208,-1.2300557,1.4148599,-0.5049936,0.12295383,-0.6981871,-0.6914221,0.55179065,0.6892328,1.0663759,0.351718,1.1403927
