,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,-2.5125813,2.3274696,0.042176865,0.27120477,-4.0431056,-1.3489372,-0.4310373,1.8817413,-2.0223947,-1.99887,2.1845074,1.3620659,0.4650857,-0.7350302,2.1548123,0.53098035,-1.1779588,-3.9233813,1.8641354,-1.9458079,-1.5433611,2.7289562,-0.94856626,1.2372998,2.7450213,-3.0170581,3.1390295,4.6422267,0.3192081,-1.866688,-0.8568585,1.1682909
burma,1.0238816,0.95777583,-0.98841494,-0.33788493,-1.116941,-1.4768101,0.78293806,0.4315541,-1.0752763,-2.3833623,-0.7005384,-0.32629204,0.52219325,-0.1894029,2.540496,0.8598799,-1.8386147,1.0036298,2.6323261,-2.7164934,-3.6678488,-1.6279372,-2.899415,2.1724482,1.4258446,0.027163092,1.2752893,2.1558661,1.7315294,2.0587924,1.9070988,-2.3737698
china,-2.5698633,-0.57142,-0.60398066,-0.49480513,-0.6425065,0.17432263,0.5493083,2.709824,0.54627156,-1.5720375,0.8491293,1.9125334,-1.310582,-0.03328595,1.5626303,1.4235699,2.282541,2.9716697,0.0155776385,2.093219,-2.2624955,1.748134,-0.21187712,1.7973781,3.0643635,0.6697292,-0.6036913,-1.5700678,-3.1910174,-0.053215344,3.9349887,2.1399207
cuba,-0.23979989,-0.8968238,-1.7603326,0.60773605,-1.3096123,-0.57531166,-0.25996432,2.0074837,0.23841727,-0.92247367,1.8811247,0.5926267,-0.40388367,-1.2929621,3.0201883,0.79359007,1.6086307,2.9455376,1.7707918,0.9277699,-0.9152437,-4.076133,-3.9478571,0.0063997973,3.3293123,-2.068767,0.5038645,2.823302,2.003877,-1.6184171,2.2762058,-2.7377172
egypt,-0.70554525,-0.25347108,-0.6180295,-1.225171,-1.7006904,-0.10589216,-0.17803174,-0.58888054,-0.69147766,-1.4900866,-0.28617358,0.04709001,0.9340271,0.5895126,1.8549781,-0.4499636,-1.8264784,0.8768212,-0.7488804,-1.541323,-0.5983164,1.8402188,-2.670705,-0.04845467,1.2961268,-0.30479145,0.8893943,3.4543245,2.909686,-1.1041747,0.11564233,-0.31638205
india,-2.0086994,-0.3372767,-1.3890934,-1.0533683,-0.51399887,-0.58852977,-0.93669397,0.88515663,-1.5144926,0.9263274,-1.2057612,1.0805842,1.8113763,0.31745297,2.730809,0.035708614,-0.24132852,-0.84453946,2.3148587,-0.009304037,2.4908872,1.8859265,-2.7432508,-1.2944094,0.2988039,-1.2867333,-0.07349573,3.8172545,3.270816,-4.572242,0.46590474,-0.50557554
indonesia,0.9573615,0.7697798,-1.5673295,-0.6063332,-1.2854459,-0.4136897,-0.19238634,1.226444,0.52488774,-0.28510112,-1.3175037,0.53977716,-0.40859434,-0.60110617,1.8707744,1.8832551,0.17471267,-1.6018728,2.4904056,-1.2714105,-2.1850564,-0.15495461,-3.0229847,4.158058,-1.9089873,-0.27090606,-1.5866528,3.5647168,3.1038547,-1.3051906,1.4901397,-0.8428818
israel,-1.2499009,-1.9238418,-0.040657148,-2.5897436,-0.16767703,0.62556523,-0.0014191363,1.3997556,-2.0051746,-2.1325295,-2.2909236,-0.7144246,-1.5060521,-0.6373826,1.4818665,1.1803489,-0.53439945,0.024000982,-0.6406443,-2.2413573,0.3920878,-0.5303013,-1.6347908,-0.1386644,0.45121512,-0.40789258,1.6249379,6.2366633,-2.4263408,-1.60131,-0.7495572,2.4764383
jordan,0.46168002,-1.2924552,-1.8144585,-1.0056249,-1.1435692,-0.731526,0.49831396,2.8479464,-1.9055984,-0.5381623,-2.590409,0.38351882,0.77086085,0.76759034,1.9282501,-0.82154745,-2.458412,1.7906265,-2.514753,-2.8511667,-2.698857,-2.8588352,-4.749649,3.5547073,4.1632957,0.9231518,-0.9244876,0.5983078,0.9871684,-1.2354622,1.5072092,-0.9559981
netherlands,0.5711451,0.37700742,-1.5066661,-0.8864809,-1.244876,0.38573205,-0.66978776,0.69801307,-1.687475,-0.27680877,0.85614276,0.32126942,-0.5902638,-0.09793444,2.3281126,0.3196816,1.570349,-3.659404,2.0917141,-0.78003496,1.2697645,-2.1261265,1.5134429,0.2415632,2.4208353,-1.4203821,1.6843529,1.0783824,0.07971481,4.669629,-0.5926594,-1.9339153
poland,-0.07134279,-1.5687448,0.115573086,1.230025,-0.616981,-0.6943872,-0.5008799,1.0571283,-0.7802436,-0.4789692,1.1447493,0.1732474,-1.0107107,-1.0397794,2.416977,-1.395958,3.0773482,2.112721,0.52948767,1.6086696,0.58038515,-1.4090812,-2.3950143,0.38124785,1.980208,-0.45631024,0.5496205,1.587,-0.32163298,1.5664747,0.321878,-1.8839183
uk,-1.5497843,0.9359713,-1.0198909,0.593527,-0.5255515,-0.7767188,-1.5689123,0.86964965,0.12957616,2.04963,2.6315386,0.6204407,-1.203707,-0.7616463,1.7685932,0.08571774,2.5232625,-2.5727837,2.5384188,-0.5429256,2.5413306,-4.8453336,0.8160074,-1.8749219,1.3949758,-1.1479168,3.0670826,1.2503952,1.203464,-0.2248636,-0.3027145,1.7029493
usa,-1.1373512,0.8999934,-1.1095278,0.70813257,1.1692448,-0.034252636,-2.782692,2.1011965,-0.10590539,-1.9022006,1.1212415,1.7903174,0.7652249,0.5023601,1.196737,0.91839445,-1.2546742,-4.6789846,3.017225,2.6538205,5.11724,4.347679,1.410498,0.18272059,3.0853326,-0.41280633,2.2855208,-1.614453,-1.3092681,3.6598225,-0.7349842,2.5315008
ussr,0.06274343,-1.6736147,0.09405681,-2.3415942,-0.77685386,-1.0596898,-1.242888,2.7360897,1.1511692,-0.84676534,1.111487,0.80153376,0.24885982,-0.40619683,1.743425,-1.3265558,2.848591,2.502658,0.65591323,4.550425,0.20660366,-1.4870927,-4.0173764,0.7161175,2.7838745,-0.79353184,0.8543458,1.3418933,-0.40413845,2.4332352,1.2595763,4.6730747
