,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,0.24515666,-0.16026473,-1.4393992,0.66777843,0.14284039,-0.26263377,-0.3679904,0.22951744,-1.4306339,0.077716,0.91052276,0.5401151,-1.6732062,-1.7050475,-0.5550247,0.9743816,-0.03385988,-0.11850052,-0.5849919,0.17510241,-1.2166017,-1.4978579,0.5612854,1.0581328,-1.3309106,-0.34065524,0.3037165,1.6908145,0.93241924,1.960279,0.9711564,-1.6135819
burma,-0.90558475,0.03586312,-0.62191397,-1.0624092,1.4685427,0.06314116,-1.1690522,-0.092862,0.47277847,-0.23977564,1.0919114,-0.59458536,-1.6051605,0.54041404,2.217718,0.21525732,0.48138133,-0.93170834,0.65500134,-0.106263556,-0.947603,-0.059949145,0.23695308,-0.1764065,-1.2073164,0.33824274,0.77915597,0.8989177,0.7840101,-0.57831395,-0.16278763,-1.9961789
china,-0.6178118,1.6546082,1.1669985,-1.0541906,0.79028344,-0.47187492,2.2242515,0.041077193,-0.07367465,0.0055783605,1.179768,1.0751896,-0.9527972,-1.008654,-1.2792253,-0.22079384,-0.9455357,-0.9142181,-0.70633614,0.29328534,0.5644638,-1.3403285,-1.0068594,0.6578269,-2.5548127,0.8734794,0.21159115,1.8591167,2.627639,-1.4067255,-0.3347652,-2.011151
cuba,-0.65778726,-0.9822306,-1.7559335,-0.49412546,0.5990371,-1.031571,-1.101959,-0.1172425,0.8086317,0.10263544,0.97295487,0.5233014,-1.6447248,-1.8638045,-0.3844807,1.2190843,-0.1735881,-0.048679233,-0.54972196,-0.01824499,-0.2441321,1.1593573,0.64157516,1.2333107,-1.0443944,-0.12185874,0.08155338,1.5538692,1.1762758,-1.4993643,-0.13280371,-2.4784353
egypt,0.77263945,-1.3340354,0.30475986,-0.34107757,-1.1778169,-0.7503506,-0.6735288,-0.03321316,-0.5729844,0.80906147,0.8296594,-1.5091836,-0.55445445,-0.015127465,0.0020626434,-1.0558386,1.6676837,-0.6979589,1.52621,0.9237059,-1.5002725,0.39393905,1.1144052,-1.0947723,-2.3955355,1.2516683,0.78697556,1.8985541,-0.036858786,-0.34019786,0.07829,-2.1516795
india,1.9586134,0.18352392,-1.0812802,-1.3640392,0.78948647,-1.3820431,-0.8158388,0.3928387,-0.3355627,-1.8554934,0.043482997,0.8533763,-1.9812968,-0.19464508,0.142889,-0.64880985,-0.93172336,1.9390999,1.1242224,-0.33845732,-1.2013241,-0.34622666,1.0429611,0.076475956,-0.27781054,2.6500044,-0.65070486,1.5189964,1.5068452,-0.081957676,-0.64270234,-0.70909405
indonesia,-1.1014686,-1.8761955,-0.712084,-1.3530073,2.2530491,1.0704756,-1.1527321,-1.0441372,0.60315454,0.025597736,0.37700534,-0.5026531,-2.311838,1.0416461,-1.273696,-0.06403124,0.68454087,-0.21784067,0.34771782,0.058407445,-1.6063255,-0.2018895,0.98730296,0.42430058,-0.6779879,1.7726824,0.51489997,0.6425657,1.0849078,0.438449,-0.76989406,0.21245228
israel,-0.827957,-0.55288947,-0.61299133,0.38403028,0.9093117,-1.1766843,-0.17057842,-1.0372678,-1.5121619,-0.96306705,1.3137817,-1.1316668,-0.9553348,0.47237492,0.64705765,-1.345746,-0.0696744,-0.335032,2.3751442,1.7124139,-1.433033,-1.9453689,1.051043,1.0732099,-1.5439752,0.06694746,-0.94330364,2.511115,1.4374895,0.9684313,1.0443721,1.1005675
jordan,-1.379296,0.4675956,-0.5427883,0.78374517,2.5974965,0.20444243,-0.25477114,0.7690332,-1.1798799,-0.5260685,2.3625197,-1.265514,-2.101288,0.39391708,-0.44806463,-0.585709,0.15527366,1.8541914,1.9195777,-0.24341258,-0.14197844,-0.7624988,0.16912462,1.3223932,-0.76492244,0.717619,0.30821237,0.43048897,0.5949686,0.48801008,-2.010493,-1.5777322
netherlands,1.036404,-0.60366577,-0.06225832,0.36730546,1.8118807,-1.5935025,0.4563281,0.16464028,-0.76159537,0.5412174,2.6788602,0.91391003,-0.5430464,-2.0667558,-0.31036592,-0.18403411,-0.17151251,0.0060654497,-1.2495229,-0.4399893,-0.66029274,-1.120963,2.7723956,-0.635623,-0.98638994,-0.9212259,-1.2178899,2.739828,-0.30688876,1.9386553,-0.8469766,0.06770196
poland,-1.3574402,0.39180145,0.12743497,0.6871334,1.6852672,-1.137059,-1.2097859,-0.21212518,-0.6450621,-0.22319001,0.9288858,2.464442,-2.0033276,-1.8789768,0.26807466,1.3980998,1.3229088,1.2993276,0.27159622,0.60811806,-0.14653984,0.3337299,0.110427655,-0.95593494,-0.8359963,-1.2497501,-1.8235474,1.9056312,0.31936193,-1.6158149,-1.9411312,-1.2895775
uk,-1.2880615,-1.1975619,-0.4740493,-0.022882124,-0.23027731,-0.34802192,0.22508554,2.4663777,-0.77285546,0.24132931,-0.1330382,0.15396148,-0.7359143,-1.3094025,-0.7908541,1.1773198,-0.80837446,0.07981977,-1.1173368,-1.9876475,-0.6417666,0.44266284,1.3662167,0.57119995,-0.8872049,-0.99093163,-1.2023562,0.6699906,0.1372387,0.65968156,-0.5949532,0.94799715
