,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,1.7521346,-0.42121246,1.400983,-0.35451987,0.5526413,-0.800171,-0.6760375,0.57657045,-0.319938,0.6923709,-0.36407897,0.18119434,0.35065085,0.34000364,-0.54324,-0.65900856,0.6740291,0.8998088,0.20299529,1.1498669,-0.3245027,1.2952402,-0.71498245,-1.453378,2.5215428,0.4861148,-0.14203945,0.019820854,0.24290244,1.5931258,0.5077698,1.4816154
burma,0.23475394,0.065162644,-0.1773587,-0.82607186,0.35941797,-1.5054203,-0.24729376,0.57236916,0.48933783,-0.28668287,0.106668346,1.0377487,-1.0501347,-0.2128597,-0.75505465,-1.5614481,1.6320596,-0.86677396,-0.8129051,0.23391056,-0.755833,2.254634,1.1637965,-1.2626666,1.7790232,0.006189276,1.1502004,-0.9455882,0.5130223,2.0319037,0.088771306,1.0120227
china,0.8824704,1.1621944,0.73865163,-0.53835815,1.0183976,-0.69460315,-0.040185057,-0.41571945,-1.0584121,0.21729979,-0.27497703,0.055718195,-1.0418485,-0.7130761,0.50167406,-2.0870364,-0.26654753,-0.75408363,0.88624144,0.6176237,-0.4735523,1.140826,-0.24648248,-1.6234796,1.0731959,-0.9675893,-0.7329663,-1.273669,0.71889913,0.19007826,0.22568469,-0.17269863
cuba,1.4445031,-0.44452173,-0.3709206,-0.017250868,0.098574154,-0.93064934,0.0224467,0.42241687,-0.8508474,0.12704654,-0.018132914,0.37612304,-0.28964055,-1.1167724,0.6164142,-1.098653,0.16216323,-0.5692095,0.32635093,-1.328222,-0.053144474,2.491034,-0.0075289784,-1.2281654,1.902703,0.006838347,0.06870374,-0.7254612,-0.9948713,0.49227175,0.1241362,1.2770884
egypt,0.6786913,-0.25368124,0.16965917,-0.40397653,1.4090382,-1.8554784,-0.2974443,1.4713054,-0.52501756,-0.10522609,0.06809217,0.6025904,-0.9168741,-1.0627021,-1.317792,-0.2654155,0.88407224,0.9541468,-0.6012674,0.36826634,0.1760633,0.3902298,1.0570685,-0.91291803,2.8499608,0.37579998,0.52185285,-0.45328215,0.29893452,0.96245253,0.30422625,1.8217369
india,1.5673255,-1.0562102,1.3119478,-0.3195178,0.12710552,-0.60964966,-0.5441375,1.0283787,0.4293777,0.44193453,-0.47207573,-0.15575501,-0.46869534,-1.0817099,-1.5786281,-0.07591508,0.31126586,0.15539798,0.17074417,-1.9546283,0.19785592,2.00439,1.3445517,-0.32438767,2.7997339,-0.2514555,0.07373698,0.6580279,0.034817483,1.3089734,0.5655315,0.6343031
indonesia,1.8891096,-0.71635735,-1.3746492,0.745205,-0.35457733,-0.43565765,-0.08030247,-0.032220475,0.8338997,0.7073132,0.7486811,0.547535,-0.7198235,-2.578899,-1.5425893,-0.34044126,1.9260284,-0.11465039,0.7873169,0.12769376,-0.83459574,1.3632907,1.0283628,-1.0340514,1.1702756,-0.6116879,-1.1722313,0.082101695,0.6542798,0.56747705,0.8972225,1.5676216
israel,0.7185216,-0.74632937,1.2634706,-0.71718365,-0.33316043,-1.1209867,-0.15297127,-0.016358387,1.023657,0.25506443,-0.041859776,-0.17874512,-0.45345044,-1.7477741,-2.1040366,-0.56861734,0.21665289,-0.20258409,0.24622148,-0.08407536,-2.230059,0.99144673,1.095432,-0.44206953,2.410195,-0.6307876,-0.6231774,0.33910078,0.59910935,1.5985085,0.7269734,0.6717493
jordan,0.84254634,-0.0965837,0.9733601,1.2091012,-2.0458019,-1.2849462,-0.42510083,0.08950608,-0.078777485,-0.82086504,-0.66771936,0.4532827,0.40155184,-0.6611068,-1.4094429,-1.754347,0.7048848,0.4698888,1.5038967,0.36020964,-1.6561866,3.021161,0.9936472,-2.2476463,0.77286416,-1.2897136,-1.2840163,-1.945699,0.36276895,0.8596375,0.38441345,1.2573584
netherlands,0.8886312,-0.8969981,0.111402355,0.060160335,-0.36804578,1.1809146,-0.47100392,1.3020998,-1.0535197,0.6838076,0.27620497,0.9942942,-0.16479751,0.53325707,0.079804495,-1.2872193,-0.019929148,-0.37254822,-0.9688473,-0.9743285,-1.2928542,0.54755497,-0.82625365,-1.6605786,2.7820253,0.03380591,1.0725355,-0.87623066,0.730907,1.0035182,0.37139392,0.46099967
