relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,-1.8450942,1.2823253,-1.0624082,1.0842417,-1.6478031,-1.0981593,0.17885818,-0.9053931,0.73817176,-1.9036349,1.8461304,-1.1337276,0.5913349,1.870887,1.6239474,-1.8337433,-6.2181597,-2.4370258,5.6731186,5.8985734,5.688955,4.2468553,1.3525363,0.51015204,5.757889,3.285363,2.498849,-3.4985828,0.7831593,5.917183,-1.0324184,2.0995848
aidenemy,0.59758645,2.2956014,-1.0061115,0.07491336,-1.5599489,-1.1405268,1.1490431,-2.9738677,-0.10078566,0.18132064,1.2784033,-1.7846185,0.7142248,3.1730273,1.658178,-4.5515075,-0.0023231197,-2.6489942,-0.4648843,2.3927736,3.4327881,0.5905345,-2.0713549,-0.22887392,0.89977145,-3.7247756,-0.073011436,-0.7982552,-0.98094577,1.7496367,1.9723179,3.3773427
attackembassy,0.85131997,5.238478,1.9961033,1.3608314,0.062182058,-2.2732356,-2.3731265,-3.3711135,1.0957115,-0.8926873,0.659249,0.14035153,-1.632324,0.79638344,0.53925335,-4.197208,0.7232458,3.7200108,-3.2395787,-2.3895566,-2.039475,-6.0588565,-3.6673362,2.5497057,-0.83821666,-1.4206824,-2.6746259,4.4169726,-1.9424934,0.29120368,-6.8809247,1.9964056
blockpositionindex,2.9491491,-1.1412842,-1.6693414,1.1999896,-5.3866043,-0.119724825,0.7141959,-2.7114387,-0.6192353,-0.9985656,-5.6367717,0.41737303,0.5293987,-0.33961323,-0.19013296,-1.9775468,-4.558361,4.3878183,-1.9676112,0.14725733,1.1646909,2.3965693,-2.4077818,4.285536,-5.774281,0.034833387,4.20857,2.7210395,-0.5781287,0.5150129,-0.3096335,3.1162074
booktranslations,-0.34660587,0.09336559,-0.40779644,0.012319298,0.8064938,-1.2332766,-0.65918714,-0.7622548,1.1610123,-1.5486575,-1.5321097,-1.7214566,0.8769375,-0.08121867,-2.09462,-3.372806,-3.498551,3.948591,4.870697,2.3989522,-4.1035633,4.0875316,3.4092853,-0.6492525,2.717707,-4.2182155,2.75204,-3.0131235,-0.5101464,-4.078127,2.30794,9.675337
boycottembargo,-0.9132788,0.94110966,-1.6471192,-1.0610228,0.08394814,-2.8923116,-0.08390254,1.7853029,-0.79574156,-0.8006696,1.4969814,0.83779603,2.243111,0.8263039,1.0355684,-3.2547944,-2.6858504,0.93563807,5.788152,0.13514447,-2.8621414,4.2605343,-5.6888075,2.712977,-2.5468636,5.0853853,-0.343542,-2.2428868,-4.803591,-0.5250885,-0.40268794,3.8039594
commonbloc0,0.33669767,-0.6889265,-0.7173072,4.095426,-1.7439096,-0.36572513,0.2902086,-0.16515201,-0.8124068,-2.1952305,-3.5034988,-0.7098996,1.3524746,2.3001199,-0.92690444,-0.8961975,1.9028094,1.0352051,3.8951225,6.6286817,-1.3337461,1.9668971,2.5871964,2.501845,-7.689997,-5.584825,1.2346597,2.4613206,-3.1643128,-0.9091049,-2.338342,3.6871147
commonbloc1,3.4704063,2.6495748,0.05081481,1.4289718,-0.09528428,-0.94698477,1.377131,1.8381859,-0.61367446,0.265963,-3.4712324,-0.5445837,-2.5606136,-1.6139216,-0.59375894,0.16732381,-1.7055997,-3.524257,0.57921064,2.102242,4.955519,-1.4414573,3.2935395,-5.3987684,1.3780354,3.7943852,-0.0182117,-0.8897529,0.8607847,-3.1936808,-2.9344769,3.3951602
commonbloc2,-2.0785358,-0.070891276,-1.084795,-0.765564,0.2607869,-0.8293138,-1.8394604,-1.7566429,-0.8935851,-1.731201,4.1143827,-0.65676326,-3.1399221,0.7111077,-1.1852826,-1.0671263,-1.0639366,-0.73800397,-0.7407181,0.156187,-3.1529787,0.11955697,2.625558,4.239606,1.7815922,-3.4982312,-0.9648509,-0.5281506,2.2639763,-1.1526434,-0.40521273,-1.0043856
conferences,-1.014711,-2.2459588,0.47742033,-1.449602,0.02387275,1.9498266,0.09297611,-1.7546016,-1.734487,-0.80909145,-1.5882905,-0.22599249,-1.0180302,-0.40326583,-5.0579658,-2.022295,4.5762343,-1.2944794,3.5750113,4.4444103,-3.6285279,-2.5780041,4.370517,-0.9142188,3.3291495,-5.678165,-2.1960967,3.180399,1.4346927,-2.5916705,-8.823947,2.6630547
dependent,-0.86210924,1.482455,-1.3322997,-2.3362684,1.135561,-0.9051872,-2.8998725,-0.42158747,1.5300305,-0.80109453,-1.8135582,-3.4221742,0.2772187,0.7458463,-2.5152104,-1.945771,3.296848,-1.7602715,-1.9453129,0.43227223,0.30832815,1.3592728,4.593203,-1.3240106,0.73293793,-2.177476,1.8927984,0.116426624,1.1774328,-2.5017815,1.8870072,3.4166892
duration,0.47208533,2.420908,-2.694754,4.9192166,-0.49241066,-1.8158455,0.68697304,-1.2340543,0.8186887,-1.977206,0.35963413,-1.1545045,-0.6151439,1.064752,1.0824273,-1.95452,-1.4176048,-3.423984,3.7188478,2.7567554,-4.880814,-2.8980384,4.5768895,-3.1818523,5.922829,-1.196505,2.324082,-3.2777987,-3.8801003,3.2136958,-0.8441997,0.036495835
economicaid,-0.6091633,2.3309314,2.6733558,-0.6466108,1.9931644,-1.0258554,2.0643704,0.14842607,-2.4158745,-3.744284,1.6524655,-2.3794737,-4.383436,-3.0940447,-2.727386,-0.9367205,-5.06834,1.4303132,2.1811886,4.2414775,-0.6583487,-1.9138812,2.197211,-2.8577578,1.1201191,0.45399728,-0.6457873,0.94168067,-2.1545737,1.946282,5.864925,0.33879152
eemigrants,-0.34427872,1.5910233,-1.5125833,1.0487883,-0.22648901,-1.8878063,-0.19130373,-4.6918383,0.23131138,-2.1851895,-0.9811456,-1.5046983,-2.4070978,-0.1459635,0.15982987,-2.419077,-5.0240836,-0.08857766,5.9106565,0.9520394,0.30259165,2.3188758,0.9556379,5.210294,3.2309663,-3.1995432,0.85828197,0.5041603,-5.113295,2.120891,1.3659116,5.763365
embassy,0.22158496,0.600607,-0.050444424,-0.29963645,-0.057543118,0.37311834,-0.83183795,-0.39589185,-1.1870985,0.060023177,-0.42635167,-0.2320782,-0.75101167,0.253008,-0.44660175,0.15860325,-0.36152992,0.01568482,-0.41232738,-0.060273662,0.582314,-0.6567478,0.7137179,-0.33411855,1.2188244,0.14810908,0.5822698,0.08903731,-0.8927277,0.2257628,0.16396217,0.27057534
emigrants3,-0.96193343,0.091149084,-1.8218539,1.2462622,0.9740887,-4.0194774,0.19087775,-3.0799568,0.40388957,-1.474778,-1.3658425,1.6394515,-1.2083842,-1.3735967,0.24683571,-2.0276976,-2.401968,0.52425504,5.518975,0.878355,-0.36993775,2.6370738,-0.13663696,3.1488864,5.1611557,-2.2865689,-0.091048665,-1.1302453,-4.7092495,2.0021722,1.3336599,4.1501827
