relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
term0,1.734409,-2.7415109,-1.8220267,-0.48227078,0.2751496,-0.062030885,0.6804838,0.33407006,1.7424612,2.0080814,0.6415286,1.4440777,-0.58276236,-1.1414795,-0.7593787,0.21312287,-0.53697467,-0.24057086,0.27929795,0.102654405,0.016403737,0.5628131,-0.42110765,0.2540612,0.069168285,-7.1000424e-05,-0.2821362,-0.23818876,0.19743651,-0.07280954,0.015312625,0.18693215
term1,-1.897694,-0.30494556,-1.4670687,-0.85864204,0.73052967,-0.17644836,-0.6814098,0.44902718,-0.10617401,0.8531857,1.3785983,1.3311305,-2.0565157,-0.3003354,-0.26836875,-0.540892,0.73784584,-0.2636207,-0.06612963,0.66992724,-0.3805254,-0.2832692,0.012486636,-0.018282289,0.044931993,0.019719867,0.52191126,-0.51014674,-0.44628808,0.46586493,0.6847726,-0.12880765
term10,0.25217572,0.68693656,-1.7542988,0.14494924,-0.045359086,-0.68265706,-0.49352187,-0.14801143,-1.0655637,1.4573925,0.9273099,0.642685,0.690477,0.83395445,0.40932202,-0.715776,-1.5344416,0.20302097,-0.8244941,-1.6031954,0.11818944,-0.5726753,-0.17295128,0.43349043,-0.80828416,-1.5426103,0.69601756,-0.97658104,-1.0862483,-0.5211356,0.12417534,-0.15248583
term11,0.21185867,0.9253219,-1.4972826,0.37983683,-0.4411881,-0.5627613,0.034925602,-0.5066146,-0.88705015,1.2116,1.0132512,1.0657248,1.274021,-0.07762744,-0.2899293,0.16749288,1.7728354,-0.76655465,1.1283927,1.3362015,0.107114874,0.81087494,-0.3427079,-0.6268827,0.7814555,-0.10857127,-0.19830851,0.47916055,1.8202921,-1.7465926,-0.03391161,-0.7576845
term12,1.1635423,0.37051925,-1.6996874,0.6403208,0.5094821,0.2819248,-0.44054544,-0.4992611,-0.34705392,-0.698701,1.4024409,-0.50336844,-0.950819,-0.3972511,-1.3221691,1.3529094,-0.27911627,0.11580851,0.36195168,0.49858704,-0.5547406,-0.44439432,0.33009326,1.4266701,-0.65030175,-0.20360668,-1.4209654,-0.9074451,0.5328479,0.9807319,-0.35885653,0.4030779
term13,0.30771765,-0.12441288,-1.9596206,0.7670041,1.0795636,0.07593755,0.079223566,0.6784734,-0.46766645,-1.2077063,0.8787752,-1.0832527,-0.4292477,1.3549936,-0.18289053,-0.40264186,0.63036877,-0.2407599,-1.1703491,0.14045072,-0.06293933,-0.05911308,0.047351792,0.008485635,-0.22900398,0.5619112,0.38617593,0.72463715,0.5166036,-0.95788664,-0.35317886,-1.6237283
term14,0.41175923,-0.6717961,-1.942558,0.05673241,0.9687706,0.06095396,0.5787179,0.60490423,0.15576264,-1.2227782,1.142474,-0.53483516,-1.0200492,0.023544518,-1.3593853,1.3250667,-0.15213887,-0.4679464,0.81000286,0.35649264,-0.6015771,-0.57480365,-2.5447667,-0.16932969,0.24637371,0.28349078,-0.10795257,-0.5748636,-1.3213534,-0.015797962,-0.10827576,-0.1674723
term15,0.67057145,-0.65663624,-1.245232,0.5985236,-1.1061449,0.06836051,0.9246442,0.6362627,0.59551847,1.3287367,-0.81452626,-1.0590142,0.2704382,-0.22960359,-0.21824849,0.01192143,0.1533566,1.245029,0.6610342,0.19638239,-0.039322756,-0.5819232,0.27293405,0.6203243,-0.35273936,-1.2758797,0.72971576,-0.042609688,-0.99866736,-1.0952704,0.17162152,0.3919111
term16,-0.17460117,-0.042413827,-0.9557241,-0.027036918,-0.021853067,0.038006127,-0.111863285,-0.36446574,-0.17532718,-1.3352112,-0.7156701,1.097844,0.13393748,-0.20384425,0.50795317,-0.04929498,-0.60617936,0.03015037,0.1236874,1.0962485,-0.08211382,-0.91375583,-0.8979187,-0.22098361,-0.7399056,0.9737073,0.5924589,-0.2615286,1.3752309,0.30144513,-0.16858958,-0.6046589
term17,-0.05808726,0.60852975,-1.1654172,-0.7282792,-1.344581,0.75503325,0.18940632,1.0338514,-0.8983248,-2.1428971,1.1025684,-0.8667802,-1.436264,-2.1983922,0.28715897,-1.5233641,-0.22419967,-0.09256658,-0.14032681,-0.3859971,-0.084433615,0.051670972,0.43710786,-0.67622787,0.22236602,0.22701415,0.348359,-0.47106466,-0.2827034,0.0065715504,0.3030678,-0.19538309
term18,-1.3394896,1.3225628,-1.240857,-1.362993,1.4461198,0.40233356,-0.68275255,-0.3008059,-1.0240449,1.484588,-1.6030486,-0.47486857,-1.238538,-1.7758962,-0.054135177,0.060090564,-0.1233727,0.00266009,-0.18876317,-0.05224738,0.052425317,-0.27482548,0.17767352,0.24283206,-0.064974934,0.5010193,0.21821377,-0.028308876,-0.0018898925,0.014003744,0.23102947,-0.20728616
