,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,2.762442,-0.7924824,-0.7198301,1.0007182,-0.73974735,-1.0117763,-1.0560243,1.5847158,-0.56826437,0.25299543,-0.50543654,0.9803984,-0.44552037,1.8388318,-1.3451215,1.7297814,0.11762664,-0.90375537,0.7444198,-1.6537169,-1.5886855,-1.9679108,-1.364947,0.17486323,0.64411485,3.1741936,-0.7760023,0.6587182,-0.3815384,0.009048607,0.25951424,1.4392798
activity,0.15796618,-1.0868915,0.1297501,0.30333245,0.56671053,-0.54212844,-0.7601321,1.7993156,-0.97891355,-0.5460819,0.077082396,1.7485982,0.88091063,1.8103831,-0.301624,0.10313522,-3.5821671,0.7441438,-1.797677,-1.4543856,-3.0262403,0.1866259,-0.026663637,1.4679706,2.1778116,-4.3432302,2.1673405,0.9553963,0.09584138,-0.8554639,-0.18896133,-0.80522174
age_group,0.3117759,0.48273826,-0.59769756,1.0460705,0.2503075,-0.6949692,-0.68008274,1.5402946,-1.2328638,-0.5569734,-0.3124639,0.9184328,0.6906657,1.0192026,0.43522522,-0.28187063,-0.4691564,0.583809,-1.7845116,-1.0844612,0.23591803,-0.8815516,1.6349177,-0.06630015,0.50884145,-2.1381896,2.1717207,-0.6503034,0.6059209,-1.8257217,-2.6663635,0.7657847
alga,1.2789701,-0.21180902,-0.83434814,0.6206235,0.6479782,-0.8286565,-0.7715589,1.6333153,-1.9234213,0.0033561965,-1.1756674,1.205741,0.30650222,1.7698377,-1.9543025,0.75225765,-0.14209181,-0.26312754,2.9691854,-0.47978967,-0.524269,0.46203968,1.9197972,-0.92454445,1.0450997,-2.2681859,2.3504632,-2.688039,-2.2885792,-0.8705082,0.8869058,-1.5998213
amino_acid_peptide_or_protein,-0.16341434,-0.72193563,0.36879358,0.73736477,-0.88879967,-0.8774476,-1.2281446,1.5959336,-1.3177794,0.5649834,-0.8410942,2.1062407,-0.6160303,1.011259,0.2076134,1.4183868,-0.9709472,0.67871577,-1.6777896,-1.3357623,2.9469082,0.15641366,0.65273243,1.3707043,-0.6747687,0.020140497,1.745973,-1.225954,2.6435795,-1.024114,-0.3992973,5.6636915
amino_acid_sequence,1.534582,-1.1590807,-0.70991004,0.14707908,0.33746472,-0.63546747,-1.5646064,1.3676649,-0.8094331,-0.32545894,-0.05257599,1.0433027,-0.290956,1.5801575,-0.50204766,-1.6836361,-2.293235,1.7369856,3.0428963,-2.0152109,-0.7673597,-0.08185951,-0.87287235,1.0068015,0.7529495,1.0674671,1.2215712,-1.7323846,1.3072395,-1.2678257,-1.3031958,2.837633
amphibian,0.52969456,0.50417715,0.45761272,2.013976,0.49847272,-0.19049428,-0.48426107,1.5339228,-0.6620022,-0.8222157,-0.34019816,0.8216776,0.17869182,1.4070623,-2.3235774,0.87115395,0.45040792,-1.1254283,2.628406,-1.8124146,2.1447797,0.87870234,3.9741488,2.3013403,0.70923597,0.85349524,1.3165033,-0.7975723,-1.1215761,-0.50275916,-0.4351045,-0.13205624
anatomical_abnormality,2.1027524,-0.45130143,-1.0701112,1.700131,0.043031454,-1.1068144,-0.7361215,1.5331484,-0.90340865,0.14597072,-0.26670647,0.82019234,-0.2709213,1.5601177,-1.3568872,1.2514708,-0.3003523,-0.38589782,0.7362947,-0.8316809,-1.5641389,-2.1146169,-1.7937087,0.17619275,0.2452772,3.0785267,-0.5043864,0.20496993,0.3194385,0.28342178,0.6713502,1.3427618
anatomical_structure,0.62383854,-1.3546714,-0.5530165,0.29584825,-0.4648077,-1.5193664,-0.9781513,0.97417504,-1.4396408,-0.27802074,-0.49963057,1.7619597,0.13879398,1.884013,-0.3254157,1.210407,-1.3340058,2.7583537,2.374577,0.15535489,1.4145823,2.2054155,1.1979364,-0.52304995,-0.8202607,1.0014023,-0.6051599,-0.21010421,2.456168,-0.3393589,-0.31098154,-0.16947027
animal,0.90447974,-0.56396765,0.21625179,1.4048457,-0.7299254,-0.8645891,-1.6184561,2.1656075,-1.2599332,-0.3484518,-0.02729871,0.61835027,0.73088896,1.032261,-2.2788713,0.37047845,1.5272652,0.028824724,3.9432511,-0.4005405,-1.1511834,-0.60041404,0.2428099,-0.04756849,1.4576826,-0.89447284,2.6113446,-2.7029715,-2.0635653,0.5387685,0.4937385,-1.3143375
