relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-1.2719375,0.73350155,1.3349313,0.69358325,-2.4874866,1.5174009,0.67726165,-0.7393317,-1.3300716,-1.0116658,1.9484473,-1.276215,-0.9021401,-1.5842042,-1.1013422,-1.6834775,0.41235694,2.338861,-1.018003,-1.5885015,-0.29268175,-0.2525127,0.5791431,-4.1633897,0.07765322,1.691378,-0.14887722,-3.924237,0.12132558,-0.89045095,0.10857812,1.199064
affects,-0.89285797,-1.2452328,0.04079722,0.42520684,1.2303277,1.4616194,0.9897396,-0.5745067,0.55474615,-0.541316,0.317153,-0.12793571,-0.06315389,-0.9060292,-0.49348938,-0.63554543,1.2676039,0.8389468,0.21371645,2.0074196,-0.97768414,-2.8489327,0.16847567,4.526284,-1.907038,-0.05609567,-2.2369003,-1.9153802,-2.6994443,-3.3533792,-0.551625,0.4686089
analyzes,-1.0742458,-1.1501732,-1.2515564,-0.84561175,0.2697581,0.24916644,0.22338672,-0.3056301,-1.291224,0.40699926,1.3390963,-0.08139821,-0.25028706,-2.3719032,-0.9355718,-1.1085416,1.6020452,-1.7030776,0.16722296,-0.23174606,3.127638,0.3839169,-0.5835296,-2.0252364,0.40624276,0.07511797,1.1790434,-1.6951827,1.1109985,-0.29432058,2.6871457,-1.117062
assesses_effect_of,-1.4758217,-2.6870959,0.6756735,-0.39030892,0.65556586,2.9842963,0.34560874,1.1770192,-0.65380037,-0.622133,-0.09932461,-1.5884573,1.3515586,-1.231632,-1.2989756,-0.68901193,1.1595682,-1.2450912,-1.7401469,-2.8567963,2.7091799,-1.9859959,1.3268178,-0.3675707,0.6025498,1.1888528,-0.7624272,-2.0965323,1.2665179,-0.3321681,2.1643302,-1.594879
associated_with,-1.5098153,0.33360097,2.20949,-0.14345197,-1.104971,-0.15836644,0.38158348,-0.5158971,0.23224887,-0.11437179,0.5436302,0.4660957,-1.0369449,-1.4087886,-0.52498615,-0.596564,-0.7010847,-1.0273268,-0.22095531,3.0792184,-1.595568,-2.893041,1.9865353,2.393042,-3.9409082,3.2585404,-0.5271334,-0.49430695,-0.45947456,-2.648327,1.6253091,-2.0049577
carries_out,-1.3205432,-0.4294331,1.3061162,0.28915602,-0.6652186,1.1761153,0.08671529,0.60947806,0.14244466,-0.8556184,0.25732717,-1.5349958,0.58829755,-1.665344,0.46677828,-2.0516424,0.39379424,-0.73253936,0.89269584,-0.36613405,1.0103292,0.24330053,1.8697841,-0.16002655,1.1777753,-0.116675794,0.67328507,0.7061377,0.9002447,0.37819105,-0.77079695,0.61217356
causes,-1.1309147,-0.43417716,-0.3356183,0.10411926,0.33538944,-0.3764188,-0.73742497,-0.5816635,1.0411143,0.52359384,0.055400975,-0.16046864,-1.1004262,-1.2969831,-1.3262922,-1.4174232,-1.4792227,0.25348997,-1.6176345,0.21196687,-0.89592004,-1.0597652,0.4712651,2.7741423,-3.2088375,5.029211,-0.14240178,-0.51692706,0.61778474,-2.8879333,-0.4003835,-1.026173
co-occurs_with,-1.8912665,-0.3870067,0.70110756,-0.17134967,0.7506063,-0.5015098,0.24286225,-0.93514216,-0.29558933,-1.4241707,2.2721472,-0.5407971,0.007543073,-1.1436263,0.3066822,-1.354909,1.69465,-0.54141635,-1.3635002,0.70397705,2.5506873,1.2041274,0.93514484,0.20140004,-3.2788422,3.6993878,0.2765566,0.6278607,-1.7235224,-1.3863136,-1.9433838,-0.4330685
complicates,-2.1153865,0.038898632,0.781467,-0.3109852,2.100682,0.041419365,0.02001382,0.31644347,0.16638242,-1.5942913,0.07599054,-0.22457248,-0.402441,-1.432101,-0.0061445925,-1.6388301,1.3585848,-0.48948604,0.20480813,0.743414,4.526194,2.0695407,0.73454887,4.4013033,-3.139448,2.8166926,-0.2947564,-0.00070466474,-2.5317018,-2.5027685,-3.3461936,0.701019
conceptual_part_of,-1.1513032,0.485109,-0.30942836,-0.16479635,-0.09381431,0.9283863,1.3202976,0.32927015,-0.8038384,-0.71948254,0.8964679,0.42643532,0.35469812,-1.8103821,-0.7538163,-0.4876446,0.6209139,0.9464227,0.115701355,2.6819837,0.30538,0.43950784,1.7574593,-2.1928768,-2.2816753,2.6349363,1.7228733,0.20829971,0.28922522,-0.58480895,-0.6361588,0.9699942
conceptually_related_to,-0.88252187,-0.5746898,-0.35500893,1.3186725,1.1287096,1.6900647,-0.34363118,-0.63731295,-1.4873515,-1.5104321,1.9106702,1.9148834,2.572847,-2.6400292,-0.52032477,-0.3579789,-0.36211318,1.4881375,0.44039777,-2.144555,-0.715278,-1.9393003,-1.6760364,-1.812841,-3.3867795,-0.10812367,1.2213453,-5.0395093,0.13368186,0.26466036,-1.8526214,-3.419561
connected_to,-0.98234046,-0.37239027,-1.6580266,2.8999112,-1.0124397,1.3367949,0.78201973,-2.6843438,-3.7040563,-1.6587381,0.57445604,-1.3777769,-0.223566,0.25039527,-2.020454,-1.393995,0.579954,-1.2869439,-3.0515635,-1.0165135,-0.36203638,3.2927866,1.6385629,4.2974386,-1.3708919,0.97629875,-1.862741,-1.6326636,2.954001,0.25740278,-0.73921865,0.92527
consists_of,-2.043929,-0.13536769,-0.30954775,1.5922751,-1.0941272,0.5463288,0.8943434,-0.9276198,-1.5463965,-1.7504795,0.24911991,-0.89721364,0.8043084,-2.2597935,-1.4283056,0.36655775,-1.5647898,3.1406295,1.7476912,-2.2544096,-5.0844135,-4.787195,-0.2053628,2.5446057,-1.7123297,-0.7882381,1.0043267,-0.33498198,1.323282,2.541672,0.76324165,1.1979712
contains,-0.9125253,0.21198083,-0.47631797,1.4527684,0.338791,1.9518092,1.7548629,-0.79826695,-0.6636658,-0.5180991,0.58806455,-0.9155936,-1.0967765,-2.0441928,-0.5304849,-0.41457647,3.6249804,0.72260314,-1.9772962,-2.824394,-1.6827489,1.171924,-0.57035416,3.9090352,-0.30157277,-0.23519053,2.5095553,-0.926127,0.5023292,0.43938872,1.505277,0.32074913
degree_of,-1.1516646,0.46821654,0.011460049,-3.1025755,0.7913485,-0.6812877,0.6305358,-0.33374313,-0.15957145,0.049190596,0.27151302,0.15475437,-2.729482,-2.0529156,-0.07014405,-1.4905491,-0.3458756,2.3896651,-4.4919806,-2.6282601,2.268961,-2.217978,-0.5022055,1.8417443,-0.5644842,3.161153,-1.1453102,-1.5914038,-1.0389986,-1.5767081,-1.9282249,-1.1505355
derivative_of,-1.015264,-0.6458792,-1.0770712,-2.5707603,0.76283747,1.3928138,-0.023116842,-1.1019425,-2.7440133,0.010041056,0.035184447,-1.0767785,-1.0551004,-1.7164347,2.5837924,-1.4716781,1.0623679,-0.6465545,0.92576367,0.17321989,-1.0464535,-3.5306032,1.7887324,-2.663182,-1.8988934,0.45363924,1.2271045,0.100204155,3.018627,-0.43661657,-1.7610723,-1.8574469
developmental_form_of,-1.4589332,-0.4267727,-0.27307236,0.7200371,0.80729663,0.36935592,1.8661697,-0.30303243,-0.9039096,1.2869151,1.1776456,-1.255361,-0.6751596,-2.1712623,-0.8349446,-0.9805804,1.9278367,-1.5690067,-3.654161,-0.46414796,5.918563,0.74656075,0.9504797,-3.0214074,1.3218951,0.83273536,-2.3862734,-2.068474,0.86694705,-1.2646046,-0.06622654,-0.84493345
diagnoses,-1.1007247,0.5965898,0.13135529,0.19441034,-0.3200489,-0.2507556,-0.688771,-0.7183991,-0.32646698,0.3459012,-0.035357267,-0.72667116,-1.621033,-2.1749856,-0.6759859,-1.2666694,-1.7814643,0.85513335,-0.16562763,-1.4940917,1.587882,2.8013322,-1.668716,3.9634964,-4.4183855,1.3290597,-0.37458336,0.99746,-1.9120166,-2.3118463,0.76756674,0.3494651
disrupts,-2.6371546,-0.6100274,0.18194145,-0.4887963,0.9225416,1.556335,-0.14271629,0.07737757,-0.13617028,0.031799216,-1.1826266,-0.42624277,-0.80603325,-1.2531098,1.4314473,-0.19629733,3.4006767,3.7604287,-1.0195383,1.1458685,3.8598652,0.47924206,0.8229123,-0.938866,1.8944869,-0.89253795,1.0989853,-0.91329724,0.13523205,-0.37219307,2.7889144,0.3906745
evaluation_of,-0.4673282,0.13384917,0.5413967,-0.262547,-2.1281447,-0.626068,1.0565308,1.1929574,0.95153373,0.123464786,0.40703124,-1.5033846,-1.0912522,-1.5170555,-2.4562705,-1.2122716,0.6677627,1.1921284,-0.41444737,-0.516814,3.540095,1.0810173,2.3516545,2.4225807,0.2125262,-0.17792349,-1.6458855,-1.1073446,-1.4384547,-0.7053871,-1.4558632,0.22803953
exhibits,-1.7816434,0.1980399,-1.0633699,-0.90093005,0.31515843,0.6114075,0.18498453,-0.07964538,-0.6347676,0.23680647,-0.5753531,-0.1666795,0.6665021,-1.8791822,-0.7533386,-3.060519,-2.7265017,4.0635986,-2.1029298,2.1160536,0.81398654,-0.4896786,1.4858339,-3.0574906,-2.1411386,-0.95025474,-1.6336641,-5.104391,2.8213649,-0.236094,0.15338738,-0.67355436
indicates,-1.0325595,1.3660522,0.4716316,1.2196285,-0.7176611,0.6256247,0.3465488,-1.398495,-0.44619077,-0.40034726,0.50668037,-1.1959237,-0.20273606,-1.2075794,-0.08092651,0.15762442,-0.03247687,-1.7857566,-3.767593,3.0705698,3.77687,0.8086677,-1.2311604,-1.0491893,-0.48103166,6.043635,-1.1529568,-2.3386922,-2.676651,-3.8055851,-2.415285,-0.53912973
ingredient_of,-1.492757,-0.991054,-0.5386921,0.6932406,-0.06555795,0.45028502,2.3359177,-0.57507706,-0.8662789,0.60361034,-0.37180442,-0.7471006,0.5103407,-2.02361,-0.40437573,-0.11323892,-5.153198,-2.9412012,1.1899339,-2.0132244,-0.36700386,-3.3747573,1.5487274,2.7311215,-3.8994231,-0.4815197,-0.6651309,-0.8977316,0.96042484,-2.026672,-0.27743396,-2.1734664
interacts_with,-1.5952295,-0.5662017,-1.1608073,-0.44207522,0.119897015,0.19276504,0.057239033,-0.30926722,-0.5282835,-0.4434987,0.11573931,-0.37410676,0.19838472,-1.3956388,-1.0129092,-1.3032007,1.6306939,-2.7752378,-3.326705,3.5260382,-3.8746681,1.9832044,-0.6915624,-0.9943498,0.6230657,-0.32421014,0.56409055,-1.687862,0.007536069,-0.66153383,1.0486062,-0.79301935
interconnects,-2.6427636,-0.51341903,-0.47014588,3.081722,-2.1250064,0.8600967,0.6907264,-1.8443974,-1.7594868,-1.6039295,0.06219796,-1.8769652,0.31796655,-0.34907633,-0.48340583,-1.3335617,-0.4889521,-2.7445467,-5.038233,-0.6198613,0.49398836,1.6935328,0.28929108,-2.908713,-0.69248605,1.6264578,-1.0205759,-0.49541077,-2.2638,0.6738025,1.4542283,0.64773536
isa,-0.9579814,-0.86052495,0.038032938,0.39054266,-0.84781086,0.48315495,1.0660073,-0.810933,-0.4890622,-0.5139296,1.2545545,-0.6925731,0.38328114,-1.3428916,-0.51933277,-0.024043866,-0.2974983,2.0546398,-0.40879166,1.3656933,-1.398889,-0.1608376,1.0084217,-2.7724159,-0.9136534,0.08814921,-1.422177,1.0457797,0.18149215,-0.64185363,-2.101692,-2.5971577
issue_in,-1.3101159,-0.4082989,0.94002044,0.17847563,-0.04999912,0.114141576,0.5316361,-0.32935223,-1.4245973,-1.5676496,0.49883816,0.18268834,-0.44458562,-1.9636135,-0.31291407,-0.3276171,2.4649174,-4.2115617,-0.6729302,1.0274813,-1.4088385,-0.6550196,-0.278041,3.595542,-0.88973236,1.4987718,-1.3793383,-0.95100784,-3.461026,-0.79918456,-0.61745834,-3.949911
location_of,-1.0886288,-0.6091397,-0.22697161,0.59607273,-0.7926872,0.5389337,0.5945238,0.722589,-0.28346044,-1.1848518,-0.8952302,-1.3820071,0.87831885,-1.4554379,-0.97349536,-0.53065586,1.4348143,-2.0797617,2.4004276,-0.22724128,-2.495039,-2.7708757,-1.1723907,3.325592,0.11946355,4.1384325,-1.3031929,-0.60781497,-1.5779117,-1.1454238,2.7407694,1.8791771
manages,-1.3496872,-1.0458914,-0.945173,-0.71555734,0.24474429,-0.5775641,0.4150598,1.3205817,-0.17683782,-1.5390137,0.22500421,1.3286651,-0.40072748,-1.9807327,-1.2248409,-1.5554173,0.49810407,1.2688916,3.226527,-0.67716885,0.85577387,0.7285843,-2.2440274,-3.496562,-2.9374313,0.3074114,-1.9276754,0.07615051,4.0202518,1.5517478,-1.8732965,-0.26128587
manifestation_of,-1.8187249,0.2903511,0.4032941,1.0026593,-0.28769836,0.4129346,-0.2645926,-1.3940876,0.10397792,-0.16050565,0.4932062,-0.36176148,-0.14445516,-1.4481531,0.08298376,-0.09110647,2.242862,-1.7670215,0.95464885,1.5763083,2.455577,-1.3454845,-1.1404315,2.107447,-1.083366,0.68674463,-0.7819399,-0.19737116,-1.9938736,-3.0598173,2.0235221,0.53019017
measurement_of,-1.5389087,0.08130665,-0.15601987,-0.2781079,0.92719007,0.6737052,-0.7096118,-1.065936,-0.4589172,-2.0905406,0.4121827,-0.41200867,1.1866108,-1.0693488,-0.37382188,-0.59402215,3.3108926,2.817092,-2.4954126,0.72468966,2.4668906,2.998956,1.1477895,-2.0602334,-1.0785711,-1.6850165,2.865579,-0.020944593,-1.0665729,0.4793764,2.5037222,0.60217917
measures,-1.4467528,-1.3864572,-0.85831225,0.922531,0.16654982,-0.627823,-1.6895009,-0.96240956,-0.29268995,0.03546591,0.7369262,0.70859593,2.4486165,-0.42837834,-4.4181337,-1.3290961,1.1379238,0.8925532,-1.9833406,3.0378401,-0.28610575,-0.42100435,0.65371144,0.8306722,0.3628687,-1.8766778,-0.00031707285,-3.5355124,-0.7653057,-1.3594229,1.3670815,-1.3764405
method_of,-1.3804675,0.44376394,1.0232089,0.99118733,0.16259776,0.30020878,0.2892085,-0.2692335,-1.0367328,-1.105944,1.5366831,0.48704633,-0.10824015,-1.441623,0.09313445,-0.016081227,0.4880941,-1.2029614,0.1523732,3.6025796,-0.012389151,-0.10771331,-0.8957965,1.0160208,-0.059085116,1.4758823,-3.3014772,0.008039725,-3.1216774,-0.10431266,-1.211221,0.036894478
occurs_in,-0.6949519,1.1436287,1.4798882,0.547452,0.7667651,0.8405433,1.0328351,-1.2142463,0.17780039,-1.350417,0.6159099,-0.52132475,0.52422553,-2.227292,-1.3593682,-1.7000072,-4.203745,-4.183283,2.106808,1.9254583,0.7364491,-2.6996295,2.7261617,0.2741321,-2.0893602,2.1714313,-2.06237,-0.63414305,-1.1008278,-0.5856273,-1.2179624,0.9322086
part_of,-1.3542191,-1.9747895,-0.8217611,-0.0112850405,0.70860857,0.8548966,0.7142562,-0.35782403,-0.773408,-0.6598968,0.5874062,-0.94434756,-0.77297044,-1.431962,0.6991869,-1.5483822,2.229416,-0.5268583,3.0466013,-0.2633572,-2.479852,0.91097856,-0.742019,1.2914548,-0.13013552,0.25369388,-0.034603707,-1.8004586,0.6718527,-1.0093322,-1.726738,-1.409306
performs,-1.2372719,1.3365906,-0.14858274,-0.45044658,-0.47160244,-0.08215976,-0.6973469,-1.0171657,-0.36750576,-0.47012624,-0.097112626,-2.25963,-1.2836273,-2.3201966,-0.0024763674,-2.7568777,-2.1552165,1.1693199,-1.0557142,-3.729333,3.3597815,-0.54433644,-0.3044071,-0.80015284,-0.40979782,-0.82168686,0.54350626,0.24199265,3.32553,1.3944479,-0.29725087,0.3082398
practices,-1.8207041,-2.1678035,0.09287048,0.03626767,1.7890842,-0.8050466,-0.33996198,1.5760385,-0.57671136,0.07910692,-2.0269039,0.4398928,-0.57771796,-2.4631557,-2.269443,1.6352954,1.6560904,1.0335951,1.4933076,0.9235964,1.075977,1.3411711,-1.5621129,0.2945584,-1.6960965,-0.043261033,0.6753671,1.8824036,4.407948,-0.13070229,-6.959049,-2.2490313
precedes,-3.0200577,-0.9685243,-0.3847332,-0.17350131,0.17051505,0.97891235,0.7247135,-1.5968088,-0.4774435,-0.59395945,1.461384,-0.5466483,0.7699744,-1.834519,-1.536039,-1.8144165,2.7016327,0.9362375,-1.3902254,1.4907966,1.0353674,-2.2016606,1.0604889,3.5237284,0.9685597,3.2795734,-2.2933106,-2.4107728,-3.2530534,-0.63855183,0.7473345,-0.1634418
prevents,-1.6820186,-1.5903955,-0.54952985,-0.6756161,0.32798538,-0.89264876,-0.10488431,-2.3555863,0.16799083,0.7761121,0.07462732,0.572057,-0.24943765,-1.8360605,-0.060027152,0.60083514,-2.7862146,2.4634316,3.6027308,-0.60173553,1.657963,1.0172986,1.9618686,3.462086,-1.580127,3.1720343,-1.4821217,1.0650909,-1.2557327,-4.7002625,-2.5719674,-0.95452565
process_of,-0.6380192,-0.78621644,-0.090436175,-0.11451722,0.6245529,0.679342,0.29736134,-1.2324007,0.10743803,-0.2332172,-0.8100248,-0.09233648,-0.676097,-1.1558427,-0.58919346,-1.2299695,2.4619539,0.52987593,2.9683912,-0.79577124,-1.4984287,-1.9559592,0.26354814,-0.028136257,-1.3859425,-0.133091,-2.4462862,0.57045996,1.8456256,-4.145698,0.65593493,-0.25084743
