relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,0.5222055,1.6875359,1.4368787,1.2851497,-1.169311,0.12918349,-0.8056457,-0.85304374,-0.58827966,-0.5253606,0.17111786,0.11192076,-0.60556567,0.53067887,-0.25602365,0.027650319,-0.7939291,-1.0511739,0.87280864,-0.6904175,0.84504384,-1.4460831,0.30038798,2.629078,1.9807682,3.4205973,0.8630023,-1.6752058,-1.851637,0.8802605,1.5393595,1.49408
affects,0.1597907,-0.17619815,-0.69138473,0.50213134,0.13943289,0.107987285,1.2100418,0.38584653,-1.151141,-0.36295465,0.9528251,-0.11292592,0.1901861,-0.3866753,0.5944193,-0.29095784,0.7411247,-0.5041286,-0.22028953,-1.3457577,-0.7285749,-1.1580001,-0.5945121,0.023999514,0.06136349,0.25822142,1.0551372,-0.08008985,-1.0203677,-0.1369436,0.41428754,0.22600193
analyzes,0.5125826,-1.0794286,0.87699276,-3.5610182,-1.2822542,-1.0569944,-1.156913,0.055985674,-2.3139882,1.1660787,0.020192064,-0.10744584,-0.663169,-1.9141064,-4.630236,1.3705713,-1.0818591,-1.010956,1.2334358,1.0004162,2.1354768,-0.6171757,-1.6125416,-1.8432258,1.124848,-0.609937,0.107320875,-0.5228228,-1.889959,0.8399949,-0.14251263,0.6784056
assesses_effect_of,0.18170343,2.4522765,-0.3735683,-1.2614189,-0.94165665,1.2968833,-1.4751892,-0.48814932,-2.744942,-0.9493394,0.47910532,-1.4597458,-2.0044198,-2.7636,0.5021495,-0.4071808,-1.1934627,-1.1945324,4.1882224,1.6517324,1.7780468,-1.4647105,-2.8650455,-0.4400183,-2.1649792,-1.0409412,0.07286933,0.06570259,-1.2701408,-1.382348,-0.58417314,0.42998922
associated_with,0.09118262,1.0981245,-0.17365743,-0.4767663,0.04971859,0.07190173,-0.94927317,-1.680129,-0.092862144,0.2645889,0.5536801,0.28353387,0.0052730762,-0.026327202,-0.8086101,-0.7134467,0.4255439,-1.6507701,0.30487218,-1.0190607,-0.12937191,0.11102697,-0.63275707,1.5208611,-0.71608377,-0.058259897,0.8654818,0.3874091,-1.2171944,-0.08049584,0.035045315,-0.73125535
carries_out,-0.104834266,0.5014735,-0.83617043,-0.5207262,0.87302226,-0.662473,-0.8516589,-0.6004295,1.6329918,0.8765211,-0.96402884,0.56662226,-0.73884696,0.47405937,0.940421,-1.1339382,1.4008193,-1.8106178,0.33825046,-1.6649382,1.2758178,-0.71443284,0.41094074,2.7044797,3.6479597,-0.45705587,0.5267647,-0.4851254,-1.1849661,-0.49469417,-0.1926821,-0.55309546
causes,0.36660823,0.15992664,0.37595758,-0.0034791837,0.21283923,-0.15288171,0.28994364,-0.42243478,-0.6847675,-2.8344316,-0.62837666,-0.5494468,0.24345694,-0.46912217,-0.79796964,-0.3090633,0.22122641,-0.9746772,-0.11529204,-0.416608,0.8398217,-0.4153035,0.26682135,-0.26663697,0.30446628,0.054099794,0.34195775,0.09579919,-1.4511433,-0.17095625,-0.11209803,0.26950097
co-occurs_with,-1.0797108,0.2263216,0.5852706,0.16525044,0.403188,-0.0002313042,-0.04416947,1.503514,0.051211976,1.0864208,-0.61847895,1.0201364,-0.1306103,-0.77573794,-0.90891534,0.22175525,-0.29801014,-2.0346806,-0.5972537,-0.024532495,1.2153,-1.0251414,0.41684046,0.44734696,-0.11918068,0.4080379,0.1403845,-0.60679746,-2.024688,0.21944618,-0.04503948,-0.23021285
complicates,-0.5889114,0.38533098,0.62212116,-0.026154451,0.63898927,0.8108224,1.257101,0.62015563,-0.3996855,0.754657,-0.006226342,-1.1474661,-0.23608463,-0.12492023,1.481495,-1.4529754,-0.40642324,-1.1542255,0.35088027,-1.1278906,0.012478183,-0.6520651,0.87678206,-0.5634893,0.10496342,0.057650387,0.77294433,-0.5687724,-1.938936,-0.23579298,-0.38500473,-0.07411466
conceptual_part_of,2.1481578,0.70682853,1.3399303,0.6598216,0.5106324,0.1992554,-2.4941652,-0.053284116,-1.2787824,-0.48997593,-0.3122554,0.03675384,0.27780002,-0.059210077,-1.6870542,-0.12298568,0.5043532,-0.5423992,-0.012647362,-0.47879606,-1.0777773,-1.7075541,-1.1770883,0.14826159,-1.018089,-0.53553915,-0.4965634,-0.43691713,-0.86355793,-0.50450534,1.1733137,0.27929777
