relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,2.8713386,-1.299472,0.53969944,-0.21053404,0.5716847,-0.0152737945,-1.6178021,0.7789269,-1.2908081,-0.7781483,-0.46283066,0.6810855,-0.6939035,1.0677456,0.82674646,0.51570153,1.7762277,0.956657,-4.5495534,-0.65860325,0.5696531,0.58696276,0.12157244,-0.39888817,-0.97646326,-0.49237138,1.7727687,-2.7548091,-0.39150944,-0.25520548,-2.4291306,-0.41635215
affects,-0.5155071,-0.08047336,0.19731054,-0.21294942,0.3153655,0.34184384,-1.4131373,-0.1212765,-0.65406424,-0.19948125,-0.64365035,-0.9493409,0.4260264,1.2545644,-0.05580691,1.018836,-0.4453874,0.5830285,-0.07824858,-1.0005329,0.3900038,0.7077817,-0.32231858,0.11514342,0.050123304,-0.07482384,-0.8348483,0.0037813233,-0.94010943,-0.1455335,-0.5529469,-0.36426276
analyzes,-1.583586,0.4111421,1.830529,0.4910262,0.52995974,-0.37247565,-0.23030852,1.3265517,-2.1339822,-0.09890202,1.3783544,-0.51739943,-1.9582007,-0.5744249,0.9877753,0.3924333,-0.72415906,-0.0020979783,0.33577672,-0.7314816,-0.057964534,-0.8973429,-0.048134085,-1.1130686,0.7398201,-0.95764714,0.40656328,-2.394637,-1.2261016,0.7171298,0.6681736,-0.3665651
assesses_effect_of,-2.9283779,1.0778606,0.33488867,-2.758088,0.09292535,3.490205,-1.4593568,0.63735205,-1.0851986,-0.22694576,-1.1032232,0.35354578,-1.5660114,5.600479,0.3771307,0.1947823,-0.5141374,-1.4458379,-0.06899843,-1.5049921,-1.2795193,-1.3863777,-1.2310474,-0.73072314,0.059527088,0.3214663,1.3871549,0.32345486,-0.2459546,-1.3676258,-0.15244122,-0.50048524
associated_with,1.8982993,1.1197224,-0.5951968,-0.8875593,-0.48227847,0.06321659,-0.23676223,-1.1556295,-1.5467321,-0.87532645,-0.42570868,0.1959524,1.075596,0.16534807,0.7321742,0.4523249,-0.15741843,0.39158177,-1.5477176,-1.6688218,-0.8764814,-0.38433307,-0.32719314,-0.80385745,-0.31710407,0.55506486,0.456829,0.60834116,-0.85653925,-0.3249823,-1.6072016,-0.15613322
carries_out,-0.22502117,0.6777041,2.0971498,-2.7932534,0.6504843,-0.13260072,-0.46947363,0.55701643,-1.7391522,-0.13447149,-0.44029036,0.26860893,1.5516578,-0.84498113,0.16790372,0.3662097,-1.4766701,-0.13404913,-0.7654289,-0.49609634,1.1972395,-1.1636297,1.1479561,-0.5394653,1.4081818,-1.1506042,1.018069,1.1445667,-1.7350783,-1.5101625,-1.1362903,-0.026998606
causes,0.023893394,0.47706905,0.33118984,-0.5833552,-0.024959762,-0.41920707,-0.92288655,-3.2044485,-1.0930475,-0.90619814,-0.6953992,-0.08231339,-0.32204214,1.1550052,0.31869912,0.45537034,0.6575954,0.15625906,0.5648832,-0.8917508,-1.5455838,0.08301566,-1.0383459,-0.6528904,-1.1973948,-0.32473385,0.3486756,-0.44131333,-0.1773735,0.41671756,-1.0168656,-0.9249839
co-occurs_with,0.55779827,-0.025157224,2.0322087,1.0304592,-0.55575484,1.0034599,-1.3345233,1.7441285,-1.116169,-1.2502866,-0.085711986,-0.013433623,1.0843136,0.75917554,-0.20454326,0.074504554,-0.44293702,-0.19992204,0.15763183,-0.698626,0.24974877,-1.5408511,1.7920648,-0.22430797,-0.5021848,-0.51283574,0.16403751,-1.7763906,-1.4442748,-0.88792217,-0.647481,-1.7888224
complicates,0.034336932,0.81615424,0.42249656,-0.53501725,-1.0079782,1.0090382,-1.5633843,-0.32413226,-1.1118159,-1.2389028,-1.155156,0.33507842,-0.69765663,0.25043437,1.3993549,-0.46652916,0.43853658,0.31523535,0.19997711,-1.6075331,-0.34961078,-0.23806468,1.1898644,0.66326696,0.119334534,-0.16361307,-0.73435974,-0.8359295,-0.56284094,-0.38119256,0.2936586,-0.2546471
conceptual_part_of,0.7174304,-0.07701448,1.7302659,-1.1132597,-0.3844088,-1.0306414,0.20198105,1.092525,-1.6695714,-1.4966323,-0.19427037,0.6132379,1.1057165,1.5145657,0.34482098,0.6879696,1.1365619,0.7775716,0.16114962,-0.6768746,-1.3263314,-1.1114277,-1.3272967,0.4266814,-0.4834001,-1.2637793,0.15413454,-0.40403754,-0.7604567,0.6162209,-1.282527,-0.43433663
conceptually_related_to,-0.38712862,0.46318883,-1.1715891,-0.09107439,0.50967574,0.7058733,-0.7536569,1.2980567,-2.0929558,0.38173464,-0.8935503,-0.0013775558,0.9254969,0.7836021,0.8220318,-1.2018157,0.88472015,-0.663857,-0.6648793,-1.2009149,0.8784155,-1.1331757,0.21156703,-0.22056115,0.8326224,-1.4960952,-0.048482098,-1.1026254,-1.3410369,0.3084309,-3.2732663,0.6813076
connected_to,2.6201794,-0.8123744,-1.2350384,-1.2090743,0.9370244,0.5548761,-0.24438536,-0.96712893,-2.2176044,-1.1575198,-0.4645385,-1.0678493,-0.07115075,0.66235614,-0.6847953,-0.13425185,-0.44313082,0.99019027,-0.7139194,-1.1916069,1.706262,-1.4516901,-0.5445529,-1.9134146,-1.8265522,-0.86332726,3.1428301,0.40696245,-0.9993739,-0.829789,-1.2724217,-1.0627515
consists_of,1.3813025,-0.649826,1.9348245,-1.2306302,0.24867706,0.45086703,-0.047106512,0.086744614,-0.71576184,-2.2127926,1.6171411,-1.4970663,-4.8257008,1.3327197,-0.51014155,-0.96663857,-0.19634932,-0.39286342,-1.8735615,0.48727116,0.784396,-0.44556165,0.6079483,-1.5593644,-0.42360052,-1.8848187,-0.535273,-1.2344527,-2.3827796,0.06761515,-0.38305545,-1.2502347
contains,1.8030515,-0.30154768,0.4197491,-1.7068089,0.18008947,0.6096572,0.9054056,-0.8595592,-2.6076136,-0.73757106,-0.20861958,-0.6435668,0.07490574,0.9549227,0.67461973,1.097723,-0.82940257,0.30879763,0.00066000933,-0.38554078,1.4536687,-0.15685585,0.6421134,-0.7594209,1.312236,-0.2178577,2.3343396,-2.0779529,-1.523029,-2.0788975,-1.185089,-0.67941344
degree_of,0.5307144,-0.28305694,2.0298162,-0.56423646,0.4320467,0.87420315,-0.4579884,2.4353864,-2.3235574,-0.38229743,-0.13212314,-0.25996944,-0.40575755,1.4881501,0.53721267,-0.5092623,0.7609167,-0.14454037,-0.12616687,-1.1497759,0.14450154,-1.7355276,0.9551422,-1.7700585,-1.0627695,-0.16721873,0.20273927,-0.0388713,-1.7649226,-1.6066333,-2.261121,-0.7418142
derivative_of,0.17759988,-1.3172661,-1.1398765,-1.4239206,0.50034493,0.5786873,-1.9102372,0.16565742,-1.0560513,-1.3212795,-1.9707544,0.88233143,-0.1963746,-0.23846553,-0.5623574,0.30412582,-0.51143223,0.13879,-0.2328283,-0.36593688,0.14204013,-1.9214432,0.05748558,-2.092066,0.11459064,1.4665524,3.768047,1.471078,-1.088087,-2.1308124,-1.5465761,-1.7863694
developmental_form_of,0.22060555,-3.124433,0.96457195,1.77669,0.29359835,-1.347807,0.28187028,-0.3394765,-1.2513423,-0.7559542,-0.015905144,-0.6202432,-0.77078223,0.70400095,-2.0877748,-0.49522087,-0.8639917,-0.67228633,-0.42620566,-0.80196106,-0.4983089,-1.5284158,-0.52789235,0.27544624,-2.3852146,-0.38342506,2.0761325,-2.5497766,-1.404763,0.6445626,-2.580249,-3.3567007
diagnoses,-0.044280875,-0.103622444,0.62747484,0.7596416,-0.03569007,1.1132177,-1.4651481,-0.2675352,-0.45768064,-0.77438986,-1.0368412,-0.39241955,0.858171,-0.5743985,-0.104401566,-0.7943929,-0.5472205,0.12727447,0.22683097,-0.54900926,-0.86543006,0.45047197,-3.7402883,-2.1261833,-1.0244159,1.5397661,1.5307711,-0.34453803,-0.80808145,-0.18282397,-0.99490094,-0.7216726
disrupts,1.002991,-2.3389623,-0.7245443,0.00078847195,-0.3164202,0.24207082,-2.1748416,-0.31735706,-1.3718503,-0.70365876,0.49483228,0.29799628,0.21436588,0.57223135,0.39258328,0.70581126,0.21115658,1.1958774,-0.15788424,-0.6905846,-0.8282166,-0.64308697,0.437939,0.80826956,0.03046284,-0.42507663,-1.9991473,-0.51586133,0.17580573,0.17139716,-0.89079225,0.22127073
