,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-1.0786155,-0.9520294,-0.3889676,-0.086423695,-0.5281431,-0.2791815,1.2112411,-0.34834445,0.20321442,1.0922564,1.3786471,0.171365,0.29223222,0.93268234,0.595554,1.0499161,1.4705437,0.02666165,-0.6001751,-0.77236664,-1.4603086,-0.79364294,0.23963337,1.022089,-1.1020323,-0.28560877,-0.32584938,0.18072616,-0.11351937,-0.42442685,0.99499667,-0.30948153
activity,-0.87223816,2.0042832,-1.360886,0.533745,0.79506963,-1.1565466,0.9907323,-0.0071826787,2.340208,-0.08078813,0.9544242,0.6096373,-0.42147794,1.2501932,0.6908991,1.3664039,0.07586406,-0.4687269,-0.80417293,-0.0360886,-1.3991141,-3.1631281,0.19930643,2.7017632,-0.94293904,-1.0082753,0.3534918,0.45625383,-1.1967013,1.2707826,0.89341855,-1.1803519
age_group,-1.8253751,0.66563463,0.1821778,-0.025904708,-0.6546663,-0.49250412,0.58899003,0.16118345,0.5442775,-1.8810421,1.1303382,0.86346126,0.15754671,2.7688901,0.87066656,1.3496468,-0.658456,0.4588853,-0.3978515,-0.7437023,-1.0186449,-0.81541336,-0.046657678,1.3032655,-1.2382101,-0.37988442,-0.23898014,-0.15323521,-1.551716,0.2546561,2.184542,0.017048523
alga,-1.6785387,0.19510743,0.68205184,-0.22728902,-1.0942744,0.11883677,1.368071,-0.5639262,0.9102097,1.1007293,-0.09181602,-0.53244144,1.6710081,0.43531594,0.83181643,1.6142997,0.7687214,-0.36075488,0.6134101,-0.32925546,-1.3224446,-1.2366521,-0.07431977,0.42119664,-1.1976775,-0.529449,-0.33320633,-0.7834311,-0.9936645,0.72926366,2.237622,-1.7742525
amino_acid_peptide_or_protein,-1.0057651,1.0951517,-0.6281084,1.5756078,0.04893962,0.044605132,1.8522693,-0.57789236,0.6374377,-0.70550185,-0.03852237,0.21546216,0.09793605,0.61071163,0.58142334,1.6050586,1.2236818,-0.27977422,-0.12811849,-0.34771758,0.65229183,-0.069113225,-0.7566113,0.6181779,-0.40904024,-2.087862,-0.48412964,-0.32125923,-0.7975224,1.0734465,1.9003437,-1.5843697
amino_acid_sequence,-1.940867,1.2972333,-0.045645654,-0.1631559,-0.9987704,-0.71527797,1.4242309,-0.8622328,1.5356607,-1.6057652,1.1604512,0.12548447,-0.4850349,1.4667449,2.0044317,0.8301678,0.1937681,-0.030833548,0.6072878,-0.40779012,-1.7516103,-0.8024351,-0.291559,1.5737549,-1.1047771,-0.74069786,-0.897566,0.020796183,-0.45804584,0.66367024,1.7719113,-2.0208445
amphibian,-1.6275779,1.4382654,0.29105222,-0.78039026,0.12482423,0.040111013,1.0340507,-0.94679856,0.15187551,1.3246762,0.121006444,-0.98147994,1.4507287,0.80314016,0.9744129,1.349285,-0.2890526,-0.13512072,-0.641836,-0.43639216,-0.15479438,-0.4211337,-0.22231178,0.75995386,-0.6471382,0.054435965,-0.36775076,-0.85931164,-0.6890715,0.36954185,1.7829279,-1.6539114
anatomical_abnormality,-0.9421814,-0.25210637,-0.6865056,-0.07202946,-0.5569385,-0.29321593,1.0464478,-0.760806,0.2040771,0.9876109,1.0233359,0.10706577,0.40079084,0.93150824,0.13040662,1.2476822,1.0813916,-0.021242617,-0.723834,-0.44845322,-1.861577,-0.36596826,0.041170146,0.83480597,-1.6309549,-0.24600512,-0.2809998,-0.19162096,-0.10403153,-0.07950417,1.0188406,-0.19296615
anatomical_structure,-0.5548846,0.2179682,0.026946327,0.2863588,0.018782584,-0.004308982,1.6981621,0.75068015,0.34308833,-0.3685852,1.2462405,0.40088952,1.6567757,1.273655,1.1903564,1.6022556,0.31513283,0.19091173,-1.0694178,-0.34683585,-1.1092774,-0.5821359,0.01122484,1.5202596,-0.411147,-0.5611376,0.49690908,0.6516342,0.2008338,1.9504331,2.299038,-0.46162856
animal,-1.3018749,1.0338193,-0.16706151,-0.9419005,0.049326133,-0.6523956,1.4554476,-1.1004052,0.5332428,1.6706222,0.6177472,-0.6886328,2.0631793,0.48591134,0.8947848,2.155742,0.7769195,-0.10173681,-0.26043424,-1.1001062,-0.02800081,-1.1649528,0.51292795,1.841392,-2.0928497,-0.81049293,0.20342147,-0.31192666,-0.16999283,0.8334386,1.1611053,-0.9380638
antibiotic,-0.7920417,1.1119998,-0.324507,0.7537758,-0.23985447,-0.33751553,1.2851142,-1.2141936,1.1948255,0.48728558,1.5011493,0.750965,-0.00058889715,0.6738081,0.90403277,2.0587816,0.14103678,0.5307816,-0.6128483,-0.053788777,-0.75395155,-0.41193026,-0.4981887,3.16687,-0.26596493,-2.158614,0.49939185,-0.16602242,-1.0451529,1.0128368,1.5998362,-0.43326768
archaeon,-0.96996754,1.3126227,0.34632784,-0.7407456,0.6209919,-1.760492,1.6657981,-1.0981514,0.45839712,0.15333597,0.3993526,-0.9850018,1.6065996,0.32036003,1.5936819,1.8776962,0.3622532,0.5063161,0.7668358,-0.90805054,-0.42310476,0.44694832,-0.050276067,1.1438807,-1.5245935,-0.2481287,-0.25277436,-0.99366903,-1.1064221,1.8224852,1.2594014,-1.3068513
bacterium,-1.9222064,1.7588569,-0.0008187862,-0.25833088,-0.621475,0.16587734,1.2324202,-0.25781605,1.6242673,0.959569,-0.35350692,0.47152483,2.4375503,1.406317,0.86481,1.568734,0.6434459,-0.6792228,0.2582934,-0.30359927,-0.3470264,0.4721065,-0.56529796,1.7905964,-1.3718537,-0.43002173,-0.86499465,-1.0405945,-0.7967577,0.47142076,1.6438086,-2.1930244
behavior,-0.7695317,0.6837638,-0.082904965,0.3573101,0.74464387,-0.2472715,0.77795047,-0.88210094,0.9033252,0.105628155,1.4342126,0.40263546,-0.06503433,0.84670806,0.55716825,0.4801405,-0.3848901,-1.1210443,-0.7368681,0.045488175,-1.8764312,-0.7883722,0.42170048,1.5898619,-0.6736764,-0.041710757,-1.193984,-0.893403,0.50943893,1.6785885,1.9887855,-0.82880753
biologic_function,-1.5399199,0.35196993,-0.25093,-0.4630638,0.005229459,-0.6147472,0.5723538,-0.83478767,1.473371,1.758211,1.4687692,-0.15421228,0.021740457,0.2986461,0.8499311,0.8531608,0.99917305,0.5393725,-0.3146383,0.005951101,-1.2974826,0.041462604,0.09389161,0.8113711,-0.6074351,-1.5030383,-0.38005453,0.7257783,0.11549692,0.33282444,1.5752131,-0.18477856
biologically_active_substance,-1.2872744,1.0251921,0.5724727,1.1156658,-0.19860102,-1.200833,1.6348617,-1.1462348,0.7767105,0.31921625,0.06695846,0.84357756,-0.08906188,1.7638625,0.17772709,1.5498717,0.4692603,0.48991406,-1.4239343,0.21683207,-0.22774237,-0.3257779,-0.52334327,1.8033723,-0.1639852,-2.006503,0.8051302,0.14481112,-1.07729,1.4348342,1.582405,-0.21101479
biomedical_occupation_or_discipline,-1.0286803,-0.063078836,0.9177981,-0.26742622,-0.42886046,0.29879597,1.6113226,0.7903912,0.027761398,-1.0331968,0.6280901,-0.07277695,0.4644683,0.48407772,-0.258928,0.39615512,-0.3633347,0.96837974,0.35681176,-0.21883993,-0.38759643,-1.5434405,-0.3256188,1.6555455,-1.9769124,-0.7465692,0.59355634,0.13308033,0.65321136,0.669795,1.0060828,-0.42768466
biomedical_or_dental_material,-1.9431149,0.974185,-0.7483386,1.5403852,-0.28162694,-0.6731425,1.1035805,-0.6557615,1.0824333,0.3858526,0.539853,0.121995434,0.013946813,1.1012099,1.2768072,1.4775755,0.5478162,0.5308365,0.041640773,-1.2496037,-0.45007962,-1.0209786,-0.09516087,2.0139532,-0.39169753,-2.5213578,0.45107797,-0.3369607,-0.7744082,1.3451091,1.585725,-0.44511768
bird,-1.1905525,1.9826207,0.5607714,-0.87724274,0.5092956,-0.5123771,1.3062818,-1.19396,0.6464588,0.81041485,1.156779,-0.65448457,1.3783224,1.1693782,0.91847825,1.7793232,-0.079906486,-0.1709628,-0.25422263,0.2325899,-0.30571562,-0.59039515,-0.32742584,1.2995665,-1.2420899,0.42017868,-0.9177665,-0.6843551,-1.357354,-0.6968004,1.564412,-1.7007234
body_location_or_region,-0.9718551,0.6586748,-0.9040386,-0.35923588,0.040867418,-0.34788713,1.745335,-1.3136746,2.2124665,-0.06147778,0.020633973,-0.23864856,-0.46241704,0.7099353,0.9445635,1.3772337,0.85390955,0.054363813,0.075692296,-1.169995,-0.50411797,-2.3955102,-0.56694835,1.5045015,-0.4231705,-0.16032232,0.14752334,1.3844336,-0.32461762,-0.47051498,1.8802116,-2.0640824
body_part_organ_or_organ_component,0.16742544,-0.0926324,0.028957754,0.9244001,-1.0093381,0.008403507,1.4139878,-0.81643784,2.722986,0.07410984,0.58628446,0.42431095,0.1526014,1.0003004,0.5285883,1.3322684,0.32624745,0.774077,-0.7184843,-0.13806309,-1.7446616,-1.2661084,-0.04452982,1.0088654,-0.2178729,-0.24756712,-0.40238515,0.682479,-0.14292972,-0.41698346,1.0408773,-1.7443634
body_space_or_junction,-0.32244942,1.05115,-0.6828165,0.13193183,-0.403254,-1.2881601,1.8293809,-1.608972,2.6040144,-0.28790456,-0.32090685,0.103052385,-0.1923299,1.2544088,0.8140879,-0.37197706,0.56980956,0.06571819,0.70214665,-1.1447656,-0.45944518,-0.7246102,-0.2225303,1.8473423,-0.8783798,-0.76400596,0.38644013,0.49610585,-0.096884094,1.0416278,1.6516068,-1.215477
body_substance,-0.93245023,0.2930638,1.1566961,0.7574154,-0.47049773,0.08269468,1.1926715,-0.78518945,1.8332182,0.9340005,0.19319592,0.35412982,-0.86603945,0.17234984,0.44884598,1.1952095,-0.99856085,0.15881667,-0.9417984,-0.2585564,0.18823208,-0.78114676,-0.56384534,-0.08841673,-0.6817538,-0.8560778,0.6021679,0.48319218,-0.7017396,0.67242,2.2721639,-0.7546578
body_system,-1.0717689,0.63280994,-0.868672,0.046869338,-0.19016701,-1.506694,2.3361764,-1.2040917,1.4620814,-0.5210116,1.3207548,-0.55204344,-0.29163527,0.73013276,0.7357963,2.2432299,1.8000196,-0.117607765,-0.750737,0.0889837,-0.26548287,-0.78580785,-0.9784791,1.8272812,0.37520295,1.1625766,-0.34546453,0.8694703,-0.23958981,0.19865169,1.8321396,-1.9047227
carbohydrate,-1.6907339,2.2362819,-0.6285006,1.8961059,0.3598746,-1.0502659,1.8663538,-1.8296248,1.4596713,0.22944778,1.5973934,0.9696053,-0.61516356,0.9783419,0.23523061,2.034695,-0.042567775,-0.4710309,0.104400806,0.02057734,-0.0840661,-1.7680961,-0.11478661,1.2047977,-1.6308374,-1.2472339,0.6404872,-0.40214047,-0.5379472,1.1707371,1.4243662,-0.16895874
carbohydrate_sequence,-1.7746434,0.8970713,-0.37591138,-0.43459046,-0.28573442,-1.1062315,1.8935003,-1.0343318,1.0924343,-2.0742228,2.6212447,-0.18113275,-0.6982961,0.66951895,1.5011742,1.20195,0.4608313,-0.11537922,0.0059917206,-0.58170146,-0.8035868,-0.849658,-0.46054658,1.853287,-1.2660545,-1.0666215,-0.1586898,-0.2526579,-0.92740655,0.72838056,1.8654609,-1.2527517
cell,0.06166798,0.51753604,-0.07670022,0.057149712,-0.9621046,-0.3104356,1.325271,-0.40813968,1.8711715,0.63253546,0.60543954,0.37959188,0.5574894,1.4586,0.60952234,0.34406787,0.84664655,0.6083941,-1.0868399,-0.21094665,-1.3030694,-0.9171616,-0.75552875,1.2436081,-0.78542745,-1.0664786,0.042256836,0.8912971,-0.53811866,-0.41909605,1.1153369,-2.661425
cell_component,-0.20538345,-0.23514563,0.5168514,0.7940985,-0.28401086,-0.45291677,1.0991268,-0.6521035,2.4580975,1.0824457,1.2820262,0.08065147,-0.21096125,1.4425002,-0.26099423,1.090202,-0.010377398,1.0208857,-1.1829102,0.48794565,-0.9030836,-1.1448238,-0.7770545,2.471644,-0.64469296,-0.37508905,0.41713905,0.34117183,0.20250781,0.5806206,1.4982302,-2.4993927
cell_function,-1.3397086,0.37537667,-0.30967337,0.022746792,-0.112586595,-0.48695928,1.508823,-0.59292954,1.7883017,1.6215689,1.4789344,0.069288544,0.25375777,0.079515405,0.036659412,0.3683961,1.0213766,0.40851894,-0.10737531,0.32494012,-0.95301205,0.064976275,0.49458843,0.7085587,-0.73841566,-1.4498147,-0.90133286,0.45789337,0.009247839,1.0810949,0.8319059,-0.40765736
cell_or_molecular_dysfunction,-1.4894342,-0.37759495,-0.075968236,-0.09686497,-0.6334676,-0.33569112,0.44548476,-0.4302136,1.0926253,1.5948421,0.93847704,-0.16323988,-0.07868536,0.6386427,0.4686853,0.65635043,0.6453006,0.7229373,-0.3263298,0.02111658,-1.3420695,-0.34619978,0.087914824,0.48342413,-1.3096167,-0.01591271,-0.5353226,0.5015737,0.24168572,0.37167668,1.0864388,0.38845435
chemical,-0.70400375,0.67427486,-0.41770148,1.5910612,-1.3491695,-1.4559065,0.8634897,-0.043469634,0.63931924,0.93466187,0.9381709,1.2527847,0.7653366,0.8644028,0.3327441,1.7852796,-0.19063368,0.5103797,-0.33158278,2.1677005,-0.3277247,-1.3629596,-0.8406104,1.8726194,-1.1089349,-0.9160034,0.14613694,-0.5076644,-0.60123885,2.5389283,2.1467853,-1.2190458
chemical_viewed_functionally,-1.4325868,0.9261168,-1.1126385,2.3054998,-1.203859,-0.3804858,1.382062,-0.24486618,0.8821481,-0.16169418,0.38777682,0.74844986,0.39117077,0.9343358,0.47328615,2.3513165,0.32106772,-0.17468153,0.6268807,1.1119376,-0.47336695,-1.6332865,-0.58281684,1.3356175,-0.30792063,-2.1825304,0.21134783,0.6838603,-0.44629258,1.2465688,2.1928458,-0.56678355
chemical_viewed_structurally,-0.9034135,1.837232,-0.9058872,1.2721491,0.061648734,-0.14699054,1.5643386,-0.9318634,1.1183087,0.19313444,0.6404894,1.1748238,-0.40477625,0.76740414,1.1391307,1.5794128,0.109442554,-1.4044162,0.31097057,0.6334615,-0.470383,-1.1422617,-0.16100173,0.6777552,-0.67354125,-2.106572,-0.22674032,-0.20833701,-0.57953364,-0.049837783,2.2828307,-0.9360794
classification,-0.063807115,0.811085,0.28732863,-1.0790237,0.7910913,-0.048177417,3.3432567,-0.970983,2.4657085,0.73917526,0.63396925,0.51759696,-0.32589412,1.3501049,0.24879414,1.7451357,0.33750433,0.14734508,-0.81387246,-0.27614227,0.59981996,-0.55618757,-0.80944794,2.10593,-0.75708413,0.17329134,-0.070200905,0.765901,-0.75330865,0.09033343,1.7964107,-1.2418029
clinical_attribute,-1.2720306,0.60790247,0.30680597,-0.6806968,-0.33956257,-1.0472071,1.6664199,-0.19558677,0.92606264,0.50951505,1.8330638,0.25890043,-0.5290838,1.5056224,0.6770588,1.3454403,-1.6790059,-1.420807,-0.12044456,-0.20676932,-0.16031803,-0.73235714,-0.12441399,0.25349376,-0.9608438,-1.4128646,0.05552563,-0.52147937,0.16588148,0.37880194,1.7726325,-0.046292007
clinical_drug,-0.0035302294,1.6621628,-0.25470048,-0.43128893,0.60336065,1.2201933,2.7774327,0.5106125,1.9856774,0.3557896,-0.38205987,1.4387822,0.299611,1.010082,0.6173813,1.40327,0.37454936,0.9563004,-1.1208391,-0.40234467,0.20413792,-0.42616537,-1.1460065,1.4927164,0.4641568,-0.7006631,0.51173604,-1.2459533,-0.74669844,0.53911054,2.012544,-1.5657878
conceptual_entity,-0.59951204,1.0042744,-1.0225931,0.87008893,-1.4365822,-1.0241499,1.4035715,0.35922986,0.85471827,0.5987939,0.5573462,0.697921,1.7577552,1.8037401,0.7556034,1.5641437,0.11305625,-1.1185434,-1.3861314,-2.0219646,-1.1496491,-1.2782509,0.9840126,1.3537502,-1.4891299,0.64065635,0.5598751,1.5198416,-0.7843565,0.46253893,2.0633478,-1.696092
congenital_abnormality,-1.3756256,-0.8150276,-0.66614074,-0.09825609,-0.45583177,-0.21063092,1.0866622,-0.90286285,1.251619,1.2066789,1.4505522,-0.101970464,-0.06657322,1.5680321,0.27051213,0.52786916,1.1116469,-0.19445907,-0.28301805,-0.34370008,-1.6333078,-1.240574,-0.18360285,1.020439,-1.5516229,-0.07146025,-0.08775021,0.1788548,-0.05322618,-0.6612607,1.0959183,-0.18453826
daily_or_recreational_activity,-1.6593033,2.7012806,-0.58128965,0.15595903,0.4396782,-2.2118707,2.250567,-0.14984033,1.0858037,-0.9894914,1.7235352,-0.0027617582,-0.30713075,1.3831671,0.5811999,1.5896773,0.7590703,0.40952173,-0.25974897,0.22911139,-1.7084107,-2.0455592,0.07873588,1.9770154,-0.6326949,-0.6468344,-0.20979092,0.32226267,-0.21053556,0.66751385,1.7595341,-1.5646144
