relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-0.008266734,-0.3013421,-0.66425097,0.8206663,1.5088898,-0.8033147,1.1522322,1.6505333,-1.8631327,-0.51951015,-0.40845662,-0.4327132,0.2922102,-1.6753851,-0.6594017,-0.02274943,-0.5628097,0.44368166,2.0076241,-1.0841205,-0.7541526,2.1245248,0.9839239,0.5381101,2.4545276,-0.2747351,-0.038333192,0.0052497024,0.42790768,0.44752088,-2.3893156,1.2229345
affects,-0.38548902,0.5607089,-0.419455,0.27157104,0.077919476,-0.995737,0.17496137,1.0255812,-0.2675114,-0.34999833,0.8953521,0.8706553,-0.3123606,-1.3281702,-0.28095976,-0.3012313,-0.25534073,-0.32033613,-0.1557425,-0.12189487,-0.105660975,0.37977245,0.3072578,-0.64016366,0.15670091,0.9743369,-1.3161585,-0.34709495,-0.3372957,-0.44022557,-0.7235505,0.3128499
analyzes,-1.4078223,-2.9342225,0.2364023,-0.4604304,-0.6392352,-1.2057884,0.24316126,0.12879092,0.3889926,-0.36831123,1.0250468,-0.043009844,-0.5225555,0.5229012,-0.40228254,0.5205637,0.4179784,0.54066014,-0.03686723,0.53674066,0.6886442,0.4134201,-0.61126465,0.19423059,1.0269545,-0.36867303,0.7337517,-0.14913645,-0.81022584,-0.99991006,0.61692363,0.24628662
assesses_effect_of,-0.8561417,-2.0739603,0.60947883,0.52234703,-1.018219,-1.1201812,2.7320182,1.0853634,-0.79475456,-0.5506518,0.5529219,-0.97700554,-1.0121865,0.7149158,-0.39168888,0.072937384,1.3073453,1.2487979,-0.11526749,0.0025373967,1.4014959,-0.0057672663,0.91480035,0.14940645,0.7832346,-0.3368202,-0.73653543,0.5132326,0.30638474,-0.29838964,0.5394966,-1.4612819
associated_with,-0.25856683,0.13973327,-0.29569536,0.15369718,0.29185367,-1.1034207,0.26047373,0.5371457,-0.023074923,-0.37641752,0.16866283,0.67723286,0.5088379,-0.73662084,-0.82465804,1.0169497,-1.7386909,0.06094257,-0.44285575,-0.753878,-0.46602705,-0.90897113,-0.06630209,1.6424947,-0.24388164,0.32760727,-0.42799127,-1.4274114,0.014472646,0.36818463,0.9746746,-1.3129249
carries_out,0.77749753,0.81779677,0.26121604,-3.6492624,-1.7090918,-1.9575592,0.90753525,0.21599041,-0.5224322,-0.41613832,0.88923746,-0.1766923,-0.98682594,-0.3413662,-0.23675174,0.10123411,-0.421055,-0.29088408,0.3341783,0.06473535,0.51246923,-0.25256872,-0.80312806,0.2117517,0.6709829,-1.5394627,-0.61353344,0.23809715,0.060053036,-1.4591235,-0.95410013,0.4999046
causes,-1.032493,0.074617855,0.4211476,-0.73934716,-0.3660842,-1.3582687,-0.25908533,0.0040216004,0.06326086,0.030626394,-0.3279957,0.3781395,-0.3257026,0.11422306,-0.24077368,0.37557268,-1.7110153,-0.0076054004,-0.22504285,0.33414522,1.0095035,-0.8388354,-0.6163841,0.102156274,-0.12085225,-0.16305858,0.060017347,-1.0562934,-0.27432492,-0.5034999,0.9410735,-0.31443015
co-occurs_with,1.6182083,0.47253624,0.1308897,-0.7405956,0.72924984,-1.9875525,0.28316358,0.32010433,-0.078746036,-0.098062776,-0.34531155,0.32331768,-0.669676,0.6579155,-0.83406466,-0.15505396,-0.6137218,-0.32642776,0.49128044,0.6431341,1.8334202,-0.5155883,0.54815316,-0.7244983,-0.19604447,-0.34428796,-0.8481059,-0.05370306,-0.36518764,-0.7406394,-0.08267401,0.29684693
complicates,0.99566567,-0.3516198,0.3345228,-0.599054,1.1601906,-1.4400874,0.15532236,0.62223476,-0.64773566,0.019336151,0.6739647,-0.14730829,0.24696422,-1.0709188,-0.589579,-0.5375126,-2.132923,-0.07180593,1.3966557,-0.7184111,0.2502917,-0.40606675,-0.5808733,-1.5498449,-0.12109978,0.5871685,-0.040574536,-0.09460498,1.2115166,0.087928705,-0.09376003,-0.7554752
conceptual_part_of,-0.32065046,-0.32265785,-0.16222644,0.94851005,0.9075971,-1.2310073,0.20974283,-1.1899272,-0.6762502,-0.41167364,0.33076248,0.42288998,1.32536,0.541144,-0.035590854,-0.6723548,0.29503414,0.022730423,0.47712553,-0.2740085,0.14794819,0.62453055,0.031450935,-0.41411936,0.632355,0.550911,0.47072992,0.4212982,0.2699181,-0.5219241,-0.9644456,-0.1450961
conceptually_related_to,-0.95395154,1.0430087,0.08536206,-1.47863,1.8460486,-1.5146565,-1.1361276,0.7773778,-1.8077738,-1.5719866,-1.0259941,-0.16206646,0.048889063,-1.7759061,-0.14052024,-0.8092932,0.16861309,0.7443903,-0.059088096,-0.11298207,0.3280719,-0.8087493,-2.46539,1.5331954,2.988925,2.2044904,-0.806556,-3.0361009,0.48875457,-0.26906347,0.9801088,-0.8750027
