,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
person0,-1.2296807,-0.49149877,0.40429994,1.499713,-1.052211,-1.0638405,-0.21504584,-0.8754019,-0.007147081,-1.0637977,-0.6970254,-0.9164719,-1.228183,-0.7894121,-1.1426052,-0.5033261,-0.12663257,-1.2314684,-1.3057692,0.79702085,0.5869497,-0.5098402,-0.105739415,-0.57886916,-0.09044432,-0.6067181,0.8929371,-0.6563441,0.91270053,1.4947788,1.6157339,0.8091852
person1,-0.5955833,-0.08116725,0.20738783,0.90448636,-0.90384823,0.7045935,-0.6533671,-0.9712346,-0.021327633,-0.68842316,0.17189287,1.0773098,-1.3597027,-0.7852852,-0.7096494,-0.08174131,0.7872452,-1.2963915,-1.8663793,0.7002814,0.9421747,0.118479386,0.4820247,0.25484768,1.122295,-1.2629387,0.96616197,-1.022055,0.5520445,1.4515624,1.46802,0.002652816
person10,-1.7027638,-0.38987833,0.4194651,1.2653115,-1.6020935,0.104353845,0.5532294,-1.2538426,-0.23795119,-0.9005375,-0.40408644,-0.79881406,-1.6668732,-0.84611446,-1.2215346,-0.054273527,0.3462762,-1.2773483,-1.012381,0.58023167,0.13814372,-0.42777094,-0.31930628,-0.5541459,-0.48244965,-0.3959577,1.4447695,-0.646506,0.4597366,2.0271544,1.7168912,0.7560149
person100,-0.3178975,0.21350527,0.34747568,-1.0512066,-1.4451537,-0.41293994,-1.1268307,0.97936773,-0.9683359,-0.24155778,1.6636974,0.7876133,1.0029368,0.9293938,-1.0466993,-1.1150359,1.0282931,-2.0978158,-0.13811249,1.1317517,-0.35027173,-0.646318,0.21717574,0.06362734,1.1097456,0.27697882,0.11363064,-0.56475806,-1.0839683,0.0997008,0.76163024,1.1827891
person101,-0.5593454,-1.3894415,-0.54792446,0.6095663,-0.8537537,-0.24267216,0.17190516,1.0423362,0.026349485,1.4799957,0.746904,-0.27255526,-1.0921985,-1.4123788,1.1409214,-0.763463,-0.20110594,-1.7591332,-0.9035108,0.8940802,-1.1108786,1.019043,-1.088107,0.21028739,1.0049767,0.48762846,-0.3047919,-0.78724414,-1.9855711,0.12569977,1.4245726,0.6908384
person102,0.29671907,-0.36902523,0.16671337,0.18594143,-0.8962658,-0.15729915,-0.7175268,-0.79165894,-1.2452133,0.2751731,-0.8364295,0.0906631,0.9245239,-0.71346056,-0.89276,0.5446132,0.96410525,-1.3641511,0.22011252,0.37101758,0.4129957,1.1382517,-0.466131,-0.38009012,-0.35986558,-0.5690862,0.4016045,0.64011484,0.15860707,0.52458745,1.2011368,1.0699946
person103,0.49381125,-1.1558322,-0.42469767,-0.22817445,-0.5990751,0.09527018,-0.020002035,0.99933064,-1.6665587,-0.8112491,0.2884418,-0.2535227,-0.320029,0.85348785,-1.3206257,-2.0881736,0.5994937,-1.8565972,-0.32088798,0.7943038,-0.08294479,0.45521733,-0.1495148,-0.34801015,0.12998173,0.6292565,0.2645724,-1.4708697,-0.037121404,0.42784977,1.1333432,0.53343165
person11,-0.52606237,-0.10379216,0.52024424,-0.5969455,-1.1289237,0.08050693,-0.9475573,-1.0173869,0.021862255,-0.32768485,-0.74555784,0.054326393,0.8192372,0.6431806,0.85182893,-0.105822176,-0.09984158,-1.1401876,-1.3787795,0.32384443,0.2586708,-0.050875586,0.13794206,0.01682517,1.5195075,-0.75783694,-1.1642536,-0.3548211,1.4744904,0.81759596,1.3933293,-0.24338686
person12,-0.6882829,-0.07970069,-0.30810314,1.0585834,-1.3275065,-1.6065588,-2.056643,1.0742743,0.19994265,-1.466207,1.1315858,-0.20342343,0.42450526,-0.6089935,0.7889297,0.45775375,-0.40497372,-0.8841817,-1.7216219,0.84398955,0.7420094,0.09354884,0.3804574,0.19836096,-0.29017082,0.6581684,-1.1862379,0.43556377,0.26504645,0.46616855,1.7525892,0.84646654
person13,-0.0621919,-0.91960955,0.52258235,-1.1784339,-0.9799628,-0.5140935,-0.13231589,0.93735766,-0.050664227,1.649457,0.015496589,-0.011993172,0.641008,0.44678944,-1.1525887,-0.39338988,0.9108562,-1.1673198,-1.1844163,-0.10007479,0.101095125,-0.012057098,1.0822989,-0.5354873,-0.9459048,0.66679204,1.3148358,0.47342464,0.7046498,1.4291205,1.6122451,-0.1916655
person14,-0.45944262,1.0185859,-0.35382536,-0.65938824,-0.8672075,-0.71874094,-0.6431423,1.4536437,-0.7680577,-0.041548435,0.8243083,-0.30011237,0.08413383,0.4502962,-0.846746,-0.49088264,1.3138621,-1.0325212,-0.8622618,0.7923897,-0.38146973,0.8431894,-0.03135745,0.14419235,-1.5862834,0.104412906,1.3064855,0.21665768,1.6610961,1.3285837,1.7679983,0.236004
person15,-0.49293786,0.5014275,-0.20308983,0.16708583,-1.9207684,-1.3132517,-0.12221625,1.2553289,0.16132331,-2.1474702,-1.0441285,0.6698809,-0.7261821,-0.6184619,1.714566,0.41167742,-1.1795465,-1.0910755,-1.1351532,0.6229019,-1.9562094,1.3269284,0.4196882,-0.6794211,-1.0612566,0.7612903,-1.3665509,0.43057325,-0.4370721,-0.44980198,2.0958805,-0.087778114
person16,-0.08182227,-0.87884045,0.36707467,-0.13533472,-1.5709027,-0.02679784,0.37460726,2.0052192,-0.89102274,-1.028691,-0.14623585,1.3517298,1.0397779,-0.8850471,1.1401447,0.029446978,-1.1501905,-1.304106,-1.898522,1.5622673,-0.6506464,0.61083287,-0.78349733,-0.836131,0.17921501,0.5456786,-1.2383415,0.55368865,0.8288879,0.6282684,1.8999268,0.14300342
person17,0.04247921,-0.5000361,1.0113379,0.23072498,-1.7428998,0.48583227,-0.19992597,1.74369,-0.9651407,-1.0512863,0.41539973,1.7456973,0.3085935,-0.900458,1.3084906,-0.1657181,-1.1360534,-1.3407294,-1.6468977,1.4791439,-1.0076636,1.5596315,-1.3945335,0.03450705,0.071775414,0.5823688,-1.2588246,0.7397668,1.2309046,0.827048,1.9018154,0.18032038
person18,-0.023585731,0.06268235,0.43052298,-0.9151312,-0.5435067,-0.33637908,-0.1940086,1.1200207,-0.5028971,-0.6174023,-0.024510821,-0.71563035,-0.20001474,0.9408305,-0.7470341,-0.6896808,0.88197005,-1.063792,0.11764431,1.2888921,-1.4687123,0.70077455,-0.058186997,-0.407741,-0.08978608,0.24230298,0.91384757,0.5360487,0.94250274,1.4756502,1.708167,0.34850636
person19,-1.6997018,-0.37126684,0.7071802,1.0511792,-1.3610294,1.9602295,-0.2585309,-0.6245043,-0.32724854,-1.0813675,-0.7210062,-0.013220776,-1.5863284,-0.97788024,-1.0405897,0.35215,1.3304602,-1.4891373,-1.7865143,0.61386645,-0.040160883,0.45077857,1.1857897,-0.9688057,1.3368531,-1.6011454,0.7267285,-0.58128756,0.86262125,2.0102081,1.2883643,-0.17006572
person2,-0.11158708,-1.2024868,-1.2532411,0.279171,-1.4921807,-0.5179533,-0.42353296,1.6077023,0.2283713,-0.75747293,0.9598632,-0.3109166,-1.542451,-0.71589786,0.8957587,0.118760645,-0.19393615,-1.2290181,-1.370333,0.9880188,-1.4880357,-0.97391075,-0.84694177,-0.85312676,-1.6033418,0.46591392,-0.342438,-0.07029759,-0.21359894,0.9170916,1.381211,-0.8288523
person20,0.20899981,0.29804283,0.6556157,0.66282356,-0.92095417,0.6162638,0.09245147,1.6735635,-0.8338069,-0.29902375,-0.26374185,0.003239531,0.922173,-0.70492786,1.0778465,-1.0224316,-0.3566464,-1.0491304,-1.1685315,0.8365354,1.0205375,-1.1789742,-0.29553005,-0.6425427,0.6491778,0.7670728,-1.1725686,0.48122707,0.8942574,1.5479919,1.9330573,-0.53509104
person21,-0.76605314,0.7440836,-0.44474488,0.6320689,-0.859463,0.99278647,-0.045364257,-0.87016785,-0.3156937,-1.5669802,0.35188392,-0.96598786,-0.3996374,-0.7432757,-1.0655862,-0.62136805,0.47331688,-1.466758,-0.6318093,0.7847881,-0.50420654,-0.07435909,-0.20659518,-0.26357752,-0.5220449,-0.72454643,1.2710145,-0.779789,0.5379045,1.7894943,1.1636748,-0.1855835
person22,-0.049539782,0.21028373,-0.52511764,-1.25619,-1.1678507,-0.027757624,-0.46768117,-1.1982884,-1.0256822,0.253753,-0.011196791,-0.37870964,-0.46176237,0.9864395,0.964962,-0.6810678,-0.86588985,-1.0259727,0.12956284,1.0757,1.1054181,1.0099813,0.19517112,-0.34305644,0.4278894,-1.084608,-1.1403302,-0.59932095,0.57544976,1.5785,1.9554504,-0.14765792
