relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,0.6324612,1.2792504,-0.2224985,1.4531739,-1.0110294,-0.8288098,-2.708959,-0.936558,-1.1099812,-0.7183436,-1.1351138,0.7761142,-2.4636679,-0.18857864,-3.6577888,0.82348645,-0.10597286,0.77167225,0.018464562,1.5733892,-2.659983,-0.39482847,-1.0463519,1.6355385,-0.007508774,1.2873446,-1.6537642,0.5019347,0.64100385,-2.9709585,2.947584,-1.0621694
aidenemy,0.15556313,2.683905,-2.920179,-0.57269305,0.909062,-0.932608,-1.1968763,-3.3482413,-3.6778505,2.0883815,-0.32074317,-2.3814209,-4.5179424,-1.6248269,0.30963778,0.42686868,0.31522065,-0.34912124,-2.6146746,-0.939411,0.1420925,1.7746183,0.19748017,1.7644078,0.75398004,2.44334,0.13165614,-1.2109582,-0.89250064,-1.5821306,-0.12492842,0.66266924
attackembassy,-2.3350296,-0.6121889,-1.7291964,-0.37028962,0.22890383,-2.1608708,0.24498005,2.1532297,-1.8900217,-0.6598478,1.2549652,1.7708246,-3.7306328,0.050482802,0.72468406,-1.8935381,0.20083784,5.3254786,0.98142916,-0.8010965,-0.21635701,-0.68129116,-4.605502,1.4861684,-2.9893389,-2.7268915,1.1594856,3.1170347,1.092588,1.2400299,0.3565315,-1.7901196
blockpositionindex,-0.5688297,0.5808858,-3.3202837,-1.9162251,0.22153422,-0.269509,-0.52686566,-1.1791809,-0.4177639,-1.1326814,0.4722874,1.6402917,-2.1935859,0.22284314,0.39906517,-0.08932728,0.07535211,-0.06644859,0.79619277,-0.41405,0.81877166,0.65619487,-0.5356457,2.2680569,-0.15415823,0.16889682,-0.97255147,-0.5694171,0.5783545,-0.5340677,-0.5653552,1.141921
booktranslations,-1.4548764,-0.27676615,0.62515706,-1.3453336,0.77531356,-2.1152277,-0.18669516,-0.8785956,-0.12619577,-1.6406265,-2.4439087,2.260414,-3.509552,-0.3066845,-0.8444115,2.6266294,-0.30636683,-0.65187556,0.6645239,0.8431737,0.3835486,-0.3084834,1.2913032,0.83713263,-0.9792757,3.8533037,1.2777603,-0.6088263,3.025287,1.4578092,1.3842312,-1.3120925
boycottembargo,0.6783313,-4.024576,-0.0531173,-0.6060981,-2.5984251,-0.3961073,-0.3271043,-2.0648057,-1.305064,0.23647839,-2.2583313,-0.5146089,-1.5958369,0.5862338,-3.036101,-0.2039888,-0.3521188,-2.7590637,0.984519,-2.0660737,-1.8743824,-1.9670565,-1.1868439,-2.0677288,1.0311863,-0.7854195,-2.1379943,1.0045066,-0.5178073,-2.7332628,-1.0321552,-0.072363205
commonbloc0,0.07624631,0.7197247,-4.5050592,-0.020540163,-1.9792833,0.13880444,-1.5196483,-4.372638,-1.0233315,-0.28819445,-1.4653538,0.38678,-0.780245,0.022133466,2.0119267,-1.1469041,1.1303566,0.35354722,-1.3580958,-2.6834948,-0.8803219,-0.45017222,-0.55554193,-0.682284,0.2963539,1.3198571,0.44505063,-5.5488887,0.61229587,-1.0273356,-0.46897343,-2.4512556
commonbloc1,0.39566126,-0.72628295,0.4464894,-2.4625812,0.2488626,-0.78857493,-0.3770654,1.2525548,-0.43011373,-0.40149552,0.4950243,-4.1941957,-0.87010896,0.42589042,0.3286744,-0.18952674,-0.010428208,1.2300578,1.1208745,-2.2135615,-0.16626108,-1.7830615,0.072841905,-0.21894932,-1.0930465,1.9848793,-0.40893242,1.0841041,-0.8138326,-2.9327006,-0.6264395,-1.6674232
commonbloc2,-1.6088655,-1.0687069,-0.85462415,1.8789134,0.40566978,-1.2274935,-0.47267145,3.8735385,-2.1185062,1.7724268,-0.26700807,2.91066,-1.6518337,-1.0265305,-0.8128478,-3.7444456,0.33697203,0.61355424,-0.26157564,0.29554912,1.6535637,-0.5284892,-0.46428946,0.16149163,0.115731485,-0.16523483,0.34042346,-0.61854935,-0.08929677,-0.26592523,-1.1509527,0.07954479
conferences,-0.9508778,-2.305485,-1.6502852,0.6933329,-0.32549194,-1.5622796,2.9024744,0.660641,-1.3030901,-1.3477291,-1.323776,0.4638568,-0.9456151,0.9504734,0.06463255,-1.9594456,-0.16496663,-0.41410974,-0.8172098,0.4278235,-0.35987815,0.3182751,1.0408205,0.14690539,1.0552454,0.26864257,0.41574574,1.0816929,-0.6006552,0.3988816,1.0589069,-1.6941975
dependent,-2.6059694,-2.2694745,1.5227959,-0.7222256,-1.5342797,-0.9270639,-1.7578706,-0.06331097,-0.40168223,-0.8791662,-2.4133065,-0.63033557,-1.5224351,-1.1878328,-0.5302114,0.5652096,0.7663648,0.94551843,0.8227143,1.2060636,-0.24282576,1.6702526,-0.2509784,-1.3706075,0.7818284,-0.30243516,-0.08362345,0.5055659,-0.1495921,1.416944,1.3736333,-1.9235775
duration,0.5761663,0.104512274,-1.4360431,0.7132335,-0.827826,-0.3293007,-3.2929325,-0.59872645,-0.3006351,-0.8363094,-3.2884018,2.3175838,-1.4166695,-0.96198136,-1.4781076,0.1616393,1.4936956,0.4423127,-1.7767016,-0.5238283,0.16446781,-0.53950006,0.91404796,0.5118687,-1.9112947,-0.4430085,0.19601215,-0.6186428,1.2342362,-1.5012577,3.7217112,-0.47060838
