,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-1.0671049,-0.25187677,1.1645346,-0.77483004,0.36624876,0.4823199,-1.1399224,0.87678665,0.38500562,1.2313932,-0.60733473,-0.19447546,0.9010694,0.9103091,-0.8180663,-1.2407147,-0.6761662,-0.77747774,1.3865722,-0.3725938,-1.1424115,-0.42947075,2.079036,0.33171654,-0.8211919,-0.4107319,-0.6655346,-0.61067355,1.4792724,0.96076745,-1.3612204,0.4999333
activity,-1.9537058,0.33023098,0.8615421,0.6076232,-0.41600323,0.24389365,1.2059026,2.6839943,-0.6630634,0.47996628,0.45214874,0.25990388,1.1559265,0.029837124,0.82755834,-1.2791773,0.9104095,-0.091365054,1.5713722,-0.09442312,0.052684892,0.064198464,-0.4240932,-0.37702838,-0.42628407,-0.48668736,1.2977071,-1.4619247,0.6357011,0.91627496,1.9352455,-0.527555
age_group,-1.503844,-1.2727978,-0.74957263,0.63460475,0.9400322,-2.935604,0.26023188,1.88947,-0.63316447,-0.46074066,0.32227746,-0.014362324,-0.20142369,0.34808525,0.10321559,0.11447698,-0.41050944,-0.5582484,1.4208025,0.25987822,1.0525266,-1.5955522,-0.56171364,0.52888745,-0.12692548,-0.7632181,-0.12060358,-1.7897589,1.6405914,0.3417062,2.5126913,-1.3336083
alga,-1.7248459,-1.5425153,-1.3278288,-0.5681906,0.5783246,-0.6000926,-0.09227815,1.7052771,-0.6513333,-1.9996599,-1.2439517,0.97637206,2.105237,0.83938295,0.55183107,-1.4237176,-0.32512417,0.38567713,-0.33828482,-0.4922981,-0.056420907,-0.9770474,1.9185299,0.076487705,1.4149655,-2.1483123,0.71413153,-1.3876687,0.96440583,-1.4837164,0.76522917,-0.057078313
amino_acid_peptide_or_protein,-1.2394522,0.11465643,-2.5577602,-0.121882245,-0.14773558,-0.27370685,0.47778735,1.4831741,-1.213775,2.0551262,0.09727387,-0.5588382,1.045082,0.3398762,1.7025639,-0.87997293,0.33246878,1.4718398,-0.80875057,0.48527962,1.3515784,-0.9672225,-0.8739675,0.010552022,1.2955058,-1.0539532,-0.5268166,-1.2509319,2.0187027,-0.0675455,-0.7820387,-0.19721794
amino_acid_sequence,-2.3915374,0.30729827,-1.0662521,0.09206182,-0.50259566,0.29123855,0.2102515,2.5694818,0.2370854,0.50602394,0.19458924,-0.2568642,0.19129606,0.8010468,-1.0102022,-2.0575886,0.6581133,-0.62182707,0.32416907,-2.166276,0.46429405,-0.47453368,-0.4399713,-0.025265483,2.4688644,-1.9478418,-0.39895666,-1.2432144,0.895379,0.11284374,1.714671,-0.43789363
amphibian,-1.0437762,0.19026981,-1.5714957,1.5442475,-0.2846701,-0.32950875,0.79339254,1.847605,0.43240726,-2.1422389,-0.10222765,0.8753719,2.5634604,-0.13869606,0.49431244,-1.7379146,-0.40632018,-0.7603613,0.042174574,0.014676578,1.043596,-1.0690472,1.6758692,0.48647466,0.10047706,-1.2192744,1.4873075,-1.1572735,1.4556739,-0.79722226,0.8615015,0.23909816
anatomical_abnormality,-1.03407,-0.4599332,0.8185931,-0.76863885,0.16835286,-0.38630128,-0.8973797,1.2253141,0.7445959,1.187401,0.24446876,-0.5032641,1.2338403,0.76488185,-1.2475076,-1.35878,-0.13916454,-0.22646122,1.4612575,-0.22717673,-1.306171,0.12917939,2.5126467,-0.23923321,-0.7853868,-0.4316098,0.42459333,-0.59791607,1.5451207,1.2967826,-1.6419226,0.48447484
anatomical_structure,-2.3888757,-1.767212,0.49215704,-0.8512881,0.14847451,-0.9645179,0.5950425,2.1755023,0.18806379,2.2925634,-0.4378426,-0.024637448,0.29907387,-0.5286651,-0.308538,-0.93264055,-0.14272535,0.012133986,0.7271425,-0.6254528,0.0631717,-1.4975369,-0.0052210344,-0.804617,-0.5021645,-1.2209866,0.7326887,-0.9459295,0.6462417,0.47971115,0.16557,-0.7849056
animal,-1.4346899,-0.61786735,-0.6047207,1.8122745,-0.5868791,-0.21293272,-0.12304742,1.1080245,-0.65940523,-2.2960029,-0.40900335,-0.64410543,1.5982243,3.2504458,0.7845904,-1.5751178,-0.10641025,-0.046595052,-0.6679649,0.39918214,0.3989484,-1.7500949,0.72049946,0.093583755,0.065196514,-1.6449653,1.3365965,-1.9068694,1.1526953,-1.3835471,0.56416875,0.17276125
antibiotic,-1.0903909,-1.1962525,-1.3388242,0.91206676,-0.65550786,-1.2642355,-0.7084882,1.7042259,-1.268198,1.4338429,-0.36407742,-0.9585293,0.72681314,-0.058022052,1.4133513,-1.1489164,0.6636465,-0.20779373,-0.010139641,-0.86984384,-0.27326357,-0.25270754,0.5490424,0.78061265,-0.33275446,-0.50496805,0.13707672,-1.6151193,1.4080738,-0.3953287,-1.7502265,0.19380578
archaeon,-1.5627924,-1.2929978,-0.6604549,1.0885282,-0.050370667,0.13878097,-0.26430756,1.42972,-0.3929938,-2.2250252,-0.3952326,1.2107339,3.115368,0.7588966,0.62129027,-1.8317872,0.47668925,0.040958755,-2.065381,-0.88420475,0.6485291,-1.3479416,1.2200953,0.70844465,0.2793101,-1.4796968,-0.08263481,-1.2170984,1.4035659,-1.1587508,0.7410207,-0.022885451
bacterium,-1.6943645,-1.1810272,-1.421931,-0.6363035,-0.40244725,0.07663012,-0.25178927,1.0699378,0.27957922,-2.2976058,-0.59493226,0.3339641,0.9639456,0.5922825,0.34129542,-1.2129301,0.028544009,0.89703214,0.612952,0.26203442,2.3193998,-0.13033499,1.3580648,0.4412823,1.0558268,-1.8204609,0.46140397,-1.2912233,1.5372949,-0.7807829,0.60233516,0.59332836
behavior,-0.86422086,-0.35778877,0.8465426,0.9383101,-1.1363568,0.7390116,-2.3074307,0.7334903,0.8354196,-0.18464255,-0.5390705,0.34536386,0.34005642,0.4544297,0.118808806,-1.257287,1.100043,0.44755664,1.2951615,-0.6136998,0.4697091,0.31094784,0.3160638,-1.27731,-0.27592254,0.34859374,0.61779314,-1.1468047,1.4454042,0.7567122,0.11859606,-0.5981311
biologic_function,-0.9150782,0.1313584,0.03171089,-0.34024954,0.39195758,0.8518925,-0.10955903,1.0523012,1.4050367,-0.61602557,0.81872416,0.055510286,1.0325211,-0.562945,-1.7304418,-0.2436193,-0.808581,0.42476973,0.053220566,0.97958404,-0.28254715,-0.7575897,1.3430167,0.6554379,-0.977234,-1.5499617,-1.0899308,-0.96627986,1.4771943,1.6388546,-0.55775684,1.3237289
biologically_active_substance,-1.3589382,-1.0041387,-0.51536536,-0.81336397,-1.071781,0.13324656,0.20236224,1.4200995,-0.47940224,1.5911665,0.01519703,-0.55704796,-0.24893309,-0.31362453,1.6738687,-1.539464,2.1845424,0.44961798,0.3298942,-0.24360609,0.722857,-0.338263,-1.1602249,0.47776237,-1.5097,-0.47698513,-0.18718724,-1.388274,1.3825473,-0.42207783,-1.4736577,1.1356946
biomedical_occupation_or_discipline,-1.265907,-0.59502286,0.40884075,0.5132709,1.011705,1.172446,1.362385,-0.08720895,0.5555482,0.9657956,0.70870286,-0.93184197,0.84247524,0.080133304,-0.21335767,0.19575286,-0.48276028,0.96236694,0.2445651,-0.03059253,0.28956568,0.61626524,0.29383665,-0.044736102,0.42284417,0.041108243,-0.043361843,-3.2383866,0.5794191,-1.0371481,0.21785013,-1.8385491
biomedical_or_dental_material,-1.2945324,-0.8709114,-1.7947744,0.54007494,0.4018741,-0.27490965,-0.35817617,1.4867475,-0.33874178,1.9424909,-0.49273476,0.15399458,0.7945784,-0.070869565,1.245892,-1.1111774,0.16621405,0.29398358,0.3366735,-0.29348445,0.32245556,-0.21988738,0.08069958,1.0564911,0.70961994,-1.6223661,0.48335147,-1.049924,1.6150379,-0.44589585,-0.810792,0.21276772
bird,-1.4400443,-1.7836765,-1.5697345,0.7190808,0.11694615,-0.48006326,-0.16736846,1.3409158,0.24140261,-1.6616526,-0.21772271,-0.17862444,1.7829045,1.5269653,0.84100497,-0.9151607,-0.6235388,0.04574992,-1.7142403,-0.1393005,-0.09209935,-1.5506546,1.087814,1.3576968,0.6736878,-2.033539,1.0929719,-0.7818997,1.5551378,-0.9527851,0.8039917,0.2501306
body_location_or_region,-1.1307139,0.6681817,-0.20305097,0.21454212,-1.0307716,0.42642447,-0.81794393,1.2806994,0.765174,-0.6497751,-0.11274496,0.0101953875,-0.45152068,0.20929052,-1.0585032,-1.4922936,-0.298583,-0.101095416,0.20578578,-2.1948228,-0.119441375,-1.1453944,-0.64490664,0.13618904,1.2826165,-0.30986306,-0.004158375,-1.2679018,1.768813,-0.34634596,0.58162063,-1.2760139
body_part_organ_or_organ_component,-0.5876278,0.65825814,-1.4078841,-0.7751328,-0.5898503,0.37893024,-0.570509,0.9282079,-1.1018,1.39552,0.61303955,-0.664222,0.9021451,-0.21678722,-0.66949344,-0.67643875,0.61778975,-0.3104148,0.38879555,-0.17504892,0.69687617,-0.86607444,0.4385519,-0.17695628,0.15673105,0.3043492,0.30040532,-0.29812443,2.13475,-0.39545268,0.5236614,-1.1948087
body_space_or_junction,-0.39616,0.92343915,-0.20443606,-0.29303718,-0.84729946,-1.162777,-0.24689165,1.7428372,-0.21493609,-0.6008939,0.011934225,-0.4278253,0.03712536,1.1035109,-0.9637826,-0.66352457,-0.34374383,-0.27843332,0.24806271,-1.344976,1.3397884,-0.48041505,0.16770327,0.17190106,1.6142327,0.11690503,-0.43382397,-1.2119215,1.5675395,0.32451957,0.3735935,-1.9823037
body_substance,-1.8035115,0.4775341,-1.8894358,-0.381088,-0.75094825,0.59127796,-0.074047655,1.4090271,-0.53494745,-0.4224711,-0.5883575,0.20477597,-0.21007903,-0.80237824,0.7459128,-2.1997995,1.1393925,-0.040674105,0.61348015,-0.7740027,0.97002447,0.97342575,-1.6457529,0.5064832,-1.2023915,0.29753652,0.690001,-2.0358994,0.49622434,-0.4926533,-1.2392355,-0.50098705
body_system,-2.1142097,-0.31106967,-0.7244635,2.1482947,-1.0534494,-0.3418851,-0.4285187,1.7027569,-0.2339745,0.4451327,-0.5156747,0.48109248,-0.14899778,-0.34931406,0.34744257,-1.4559561,-0.09660663,0.25138044,-0.34408918,-2.5150764,-0.22261737,-1.067727,0.058239892,0.36250246,1.1908846,-1.7436935,-0.08555554,-1.7279212,1.0264465,0.46331418,1.0219431,0.44829994
carbohydrate,-1.8043894,-0.5168953,-2.0620067,0.33096972,-0.24787216,-0.25729504,-0.21978532,1.7404599,-0.13264014,2.0636694,0.3445794,-0.44174358,0.5088947,0.37069255,1.6108881,-1.3506459,0.12101796,0.15792514,-0.401504,0.14069791,1.0415084,-0.967555,-1.0598938,-0.2903692,0.26962906,-1.3592137,-0.07877461,-0.7317713,1.7214609,-0.2892893,-0.94735616,0.71931386
carbohydrate_sequence,-1.5216116,0.3685976,-0.24758805,1.1053021,-0.58010775,0.33960992,0.44911867,1.5665262,-0.22956076,0.7764533,0.80059326,0.26659888,0.36751875,0.94034374,0.09915191,-1.5431075,1.172204,0.3245668,-0.0150961485,-2.099981,-0.17132905,-1.1113558,0.22879408,0.7685931,2.3700356,-1.2666032,0.28822485,-1.1375623,1.4904076,0.32264966,0.81531864,-0.3971215
cell,-0.8439264,0.34669605,-0.5838652,-1.5893552,-0.4345042,0.105912514,-0.026636157,0.77855206,0.6026179,0.9779396,0.83487135,-0.5966513,-0.016410869,-0.8269882,-0.46037748,-1.3941983,-0.27368122,-0.18460447,0.22784185,-1.1527777,0.27584246,-2.272671,0.9825263,0.02116164,0.7304582,0.034107085,-0.81237006,-0.5627664,2.139501,-0.27747172,1.1958064,-2.099669
cell_component,-0.8104609,0.7530997,-0.46368825,-1.2973497,-0.08501244,0.73120654,-0.42499477,0.993968,-0.14213397,1.0010825,0.06784946,-0.46115255,0.21589555,-0.6654655,-0.41574267,-1.3962673,0.9627932,-0.0981207,0.25519902,1.8116869,1.1919252,-1.6730981,1.1126075,0.053517465,0.47844183,0.18541597,-0.09836733,-0.11600398,1.8397049,-0.18469982,0.982885,-0.44266093
cell_function,-1.0409412,1.5015725,0.28987202,-0.16626264,-1.0379794,0.15059283,-0.36749288,0.7759843,-0.32517973,-0.55345315,0.42274034,0.030720323,1.5726361,1.2508203,-1.6066961,0.009601947,-1.2359582,-0.39637598,-0.9483975,1.7824231,-0.4512235,0.017887494,1.1703967,0.4062753,-0.0622359,-0.6786015,-0.6469001,-0.687985,2.0044546,1.0594596,-0.016816871,0.990882
cell_or_molecular_dysfunction,-1.2121427,-0.6008834,0.6409004,-0.623976,-0.8570137,0.05902914,-1.2481747,0.97602075,1.1636691,-0.634896,-0.2708006,-0.8883369,1.3221549,-0.26126918,-1.06767,-0.8838536,-0.65088564,-1.3579252,1.022114,0.31123874,-1.4824682,0.12811475,1.7552481,0.12888429,-0.40987477,-0.5933743,-0.5830557,0.31666258,1.6173397,1.1038239,-1.2886995,1.7097241
chemical,-2.177829,-0.6596002,-0.67177397,0.238914,-0.14373802,-0.5321031,-0.86902654,1.6099011,-0.30639774,2.0497844,0.29201093,-1.7787498,-0.5386823,-0.047641933,1.831059,-1.0776712,-0.45688152,-0.8778847,-0.21589126,0.19079877,1.349607,-0.11502416,0.58173496,-0.23172842,0.13932039,-1.4333882,0.6014791,-1.3464737,0.7491116,-0.3456015,-1.4087341,0.8512715
chemical_viewed_functionally,-1.5460328,0.122178555,-1.0829068,0.03944941,0.16565512,0.20788269,0.40495417,1.7791233,0.050251015,1.4830264,-0.38795874,-1.0109289,0.92039526,0.214593,1.280162,-0.92527544,0.1313599,-0.133322,0.044111434,-0.43907854,0.31354687,0.13236997,-0.04290265,0.48083073,0.9706598,-0.983632,1.1099386,-0.7265919,1.1124017,-0.450588,-1.1872718,0.6549287
chemical_viewed_structurally,-1.259187,0.066783525,-1.9290577,0.71286416,-0.28333586,0.35152116,0.3585085,1.9783745,-0.15824495,1.9277816,-0.789688,0.1797605,0.038800325,-0.14551874,1.1714045,-1.1779624,0.5986287,-0.4626681,-0.5849933,1.0049807,1.6402776,-0.19810958,0.3544675,1.4124391,0.24034114,-0.40378535,0.08996321,-1.559712,1.3601907,-0.6373571,-1.412503,0.4065016
classification,-1.8645288,-2.4300838,-2.2731967,1.3387195,-0.104691334,0.4452755,-0.16190548,0.3239194,-0.22272599,0.2863381,-0.20235601,-0.050855715,-0.9030014,1.5982609,-0.65325534,-3.1217887,0.08789348,1.2781243,-0.87961906,-0.07678992,0.66699857,-2.5976565,1.1543419,-0.19847187,0.4064496,-1.0266831,-1.4143703,-0.6005619,2.335667,0.05404726,-0.9535448,-0.5484573
clinical_attribute,-1.6556745,-0.7550022,-0.09502247,0.20746632,1.4675304,0.09600443,0.035457805,0.8323724,0.58851296,1.7745786,0.7385001,0.0020614373,1.0886943,0.10618328,-1.5314242,-1.5648681,-1.4235265,-0.4793661,2.563205,0.9286591,-0.3059464,-1.1966257,0.43844458,-0.98623323,0.74662143,-0.47996837,0.7157636,-1.5326713,1.8251635,0.7494297,0.26271722,1.2390074
clinical_drug,-0.47944093,1.1964661,-2.573731,3.9976969,-0.3493658,-0.2481324,0.912796,-0.26769313,0.1342703,-0.29139408,-0.11503423,1.3110565,0.46473554,0.3116841,0.4611063,-1.9556037,0.37704942,0.5838537,-0.9083222,-0.94380033,-0.0707203,-1.368171,1.4744838,-0.7100119,1.1556007,-1.0474789,0.3361273,-2.0765955,2.4866824,-0.41863164,-0.4382799,-0.94968003
conceptual_entity,-1.4789538,0.44826952,-0.8618305,0.9447839,-0.002998237,-0.0521399,0.28700504,2.3216152,-0.41110897,0.0120015815,0.58775115,-0.13970453,1.0271274,0.33645433,-0.47173625,-0.93754876,0.06967563,0.72575915,1.0387609,-1.1166841,0.24824819,-2.0082903,1.319771,0.5808943,-0.6391468,-0.5891718,-0.32869402,0.30625254,0.8837088,0.18538348,0.23471329,-0.61485094
congenital_abnormality,-1.3592354,-0.49433076,0.9622373,-0.77807474,0.30211812,0.23787549,-0.80837125,0.7476843,0.081855915,1.324069,-0.06984286,-0.91279936,1.1000471,0.8791042,-1.037812,-1.3611,-0.4004669,-0.29436076,1.3587637,-0.14737628,-1.2008709,0.16392493,2.3670437,-0.100267716,-0.8725049,-0.8940766,1.1110663,-0.65666974,1.1500605,0.9259898,-1.4658749,0.32369524
daily_or_recreational_activity,-1.9425024,-0.47143587,-0.245624,0.31545323,0.25141215,-0.4411793,-0.018138306,1.3050889,0.39162207,0.516268,-0.04294001,-0.15451193,-0.8320677,0.5980456,0.23122515,-2.1692717,0.8252142,-1.1487591,1.0956059,0.25388095,-0.8471228,-1.6241392,0.42908946,0.55483115,-0.26905388,-0.3646617,1.877297,-1.2689947,1.7515712,-0.1665367,2.1429188,0.28749934
diagnostic_procedure,-1.2270211,-0.59602755,-0.55818164,0.66812825,0.49590036,-0.7761264,-0.5431663,0.6658354,0.58775866,0.74781877,-0.17850079,0.6284826,0.015366567,-0.1616743,0.18549792,-1.5496925,0.9067253,-0.6157114,0.08069129,0.1025741,-0.5943092,-0.1363654,0.8096753,-0.36062452,-0.46685675,-1.073188,-0.14178777,-0.10578035,1.2549525,0.08322929,1.8321767,0.87478256
disease_or_syndrome,-0.72716093,-0.22002073,1.4420292,-0.9743743,-0.04307661,-0.4588245,-0.9897806,0.9373427,1.6689912,-0.5772259,-2.1782057,-1.0333266,0.83162594,0.12934074,-1.0074972,-0.87119997,-0.7076278,-0.65191764,0.7527025,0.07868147,-1.4713845,0.0722723,1.4195158,1.3060104,-0.34027055,-1.0482861,-0.2718794,-0.6027091,1.2103297,0.67204976,-1.1428705,1.6177735
drug_delivery_device,-2.1801698,-1.2516196,-1.6017859,2.8608034,0.2683723,0.33299503,-0.3855552,0.8647008,-0.06882052,0.42093197,0.6391426,0.04572492,0.032644946,-0.7929916,0.25339055,-1.8998605,0.5663787,-0.090628855,-1.467424,-0.7750682,0.26901203,-2.1752949,1.2064892,0.37611803,-0.08648989,-0.129369,-1.0065218,-1.8556064,1.4897027,0.24474683,-1.5956994,-0.50194025
educational_activity,-0.83261895,-0.98067975,-0.9951403,0.57459223,-1.672438,0.034409296,0.89257497,1.2739189,-0.70141244,1.5154561,0.07061399,0.3372887,-0.12784478,0.5235502,0.38693026,-1.6444542,1.6604629,-0.74474233,1.2344233,-0.57658494,-0.6856987,-0.15127328,0.3584094,0.82361525,0.55869114,-0.46942735,-0.0657176,-0.59411913,2.5276012,-0.29522616,1.751195,0.36886778
eicosanoid,-1.5028952,-0.57294804,-1.4016477,0.099615656,-0.12829453,-0.11862927,0.23285346,1.2347052,0.3172628,1.921646,0.24390477,-1.1740899,0.7866843,0.5671923,1.3705314,-1.3365489,0.24748635,1.0095221,-0.44978985,-0.083577305,1.3674276,-0.6475556,-1.1699462,-0.45318297,0.8300605,-1.1985767,0.24002434,-1.1642115,1.8567722,-0.8412982,-1.4557678,0.38656753
element_ion_or_isotope,-1.8485004,-0.3119965,-1.7978729,-0.010766471,-0.32612786,0.44003654,0.39891428,1.2764782,1.0140724,2.5607188,0.3784602,0.26827243,0.31472838,0.8816168,1.2936971,-1.0017766,-0.007455034,0.5686594,0.11252648,0.0036195074,0.82226944,-0.24320662,0.17223348,0.97130144,0.5032429,-0.33197275,0.9231504,-1.142455,2.1470401,-1.3532168,-0.9143788,0.5305625
embryonic_structure,-1.3510984,1.7195183,0.23356579,-0.86933404,0.4303634,0.28570253,-0.68536097,1.2420799,-0.5922533,1.5340784,0.18678227,-0.09590718,0.5004453,-0.12389643,-0.6083004,-1.6679428,-0.14865346,0.50325644,-0.037222903,-0.4609681,2.5391128,-2.1909685,-0.13551421,-0.572014,0.19514,0.24949834,-0.15075251,-0.5015786,2.5372474,-0.36300302,0.81467694,-1.403248
entity,-1.2005498,0.5388536,-1.1809319,0.7890305,-0.55443317,0.9579976,0.8949559,2.6116166,-0.3367829,0.5687418,0.2660597,-0.60863435,-0.51745903,0.6893639,-0.269857,-0.90098864,-0.03748039,-0.32810047,0.77747893,-1.1230701,1.1249571,-2.358155,0.5989641,-0.39353466,-0.20503336,-0.81954616,0.39744636,0.91495967,0.38951066,-0.7285069,-0.51081896,-0.21479936
environmental_effect_of_humans,-2.3662555,-0.40366554,-0.34016085,0.44844365,-1.039336,-0.40985602,-0.11508631,1.259765,-0.096768305,0.82482046,0.63082325,0.4048368,2.058398,0.13203052,-1.3191295,-2.5861082,-1.0291231,-0.024737684,-0.80675656,-2.1503239,-1.2152311,-0.28071633,0.62211096,-0.22348024,0.2241552,0.004991705,0.16428968,0.034209047,1.509428,1.674436,-0.29652354,0.16604991
enzyme,-1.5435842,-0.8092366,-1.0873212,-0.23955707,-0.28201598,-0.5642251,-0.73500925,1.453472,0.5892663,1.4713348,-0.53904366,0.1788788,-0.35453644,0.112318054,2.033073,-1.4649336,-0.37483138,0.7369357,0.53886473,0.011708158,0.544012,-0.62155104,-1.2401919,0.630847,-1.451836,0.20362875,0.7740255,-1.0448527,1.5127094,0.24040702,-0.9911719,1.1700693
event,-1.5811577,-0.5743861,0.103173,0.7688837,-0.4695876,0.20273586,1.3490636,3.4593167,-0.4482738,-0.26378223,-0.114228696,0.07975079,-0.060582634,-0.28436616,-0.4042254,-1.1262398,0.7550582,1.32162,0.2454687,0.8164975,-1.9864581,0.32403618,0.29524863,0.09675625,0.7259488,-1.4913772,0.5076513,-0.830611,-0.31370163,1.031351,1.2600318,-0.5482718
experimental_model_of_disease,-1.3938758,-0.5930532,1.6124948,-0.47254285,-0.1332572,0.625027,-1.0057061,1.1627566,0.817932,-0.5405873,0.5244034,0.48503762,1.3135058,-0.7155498,-1.1787436,-0.6418703,-0.72800857,-0.05369774,1.1418196,0.2915125,-1.1267315,0.036237363,1.6120335,-0.43411595,-0.32503447,-0.78942585,0.09288914,0.15481845,1.2361579,0.54164624,-1.1230073,1.624677
family_group,-1.0142918,-0.4626127,-1.0299077,0.5574676,0.5964353,0.4734868,0.9251864,2.3252811,0.8000838,-0.23728356,-0.23067327,-1.2674037,-0.13930283,0.45114928,0.1330639,-0.51235646,-1.70906,-0.6636971,1.5002911,0.3577313,0.54054284,-1.6016933,-0.93310624,0.46304664,0.166055,-1.8589612,-0.13092664,-2.0998333,1.6067678,-0.17308377,2.649412,-2.000726
finding,-1.363854,-0.762944,-0.04024361,-0.38228112,-0.53395313,0.0036757677,0.22752991,1.6165705,0.43664846,0.50976783,-0.26220188,-0.22514,-0.58140385,-0.19572522,0.07792168,-0.28784955,2.0559185,-0.5430074,0.34214866,-0.83116454,-1.2855148,-1.6069292,2.0738673,0.09557369,0.46391308,-0.253018,0.2562273,-1.561146,1.3033515,-1.894936,-0.16390647,0.17880206
fish,-0.92042315,-0.9512381,-1.213577,0.7775796,1.2148385,0.31083512,0.7123289,1.5781881,0.2702888,-1.8555005,0.38697562,-0.04332389,2.5109391,0.37784213,0.7205952,-1.3516093,-0.9347745,0.7713507,-1.5290154,0.65885323,0.38860285,-0.99745554,1.7138803,0.6190481,1.6546375,-1.0051607,0.93293405,-1.5995593,1.4024718,-1.7677776,0.60088277,-0.16136087
food,-1.5827197,-1.6711481,-2.0380847,0.24253622,-0.13617973,-0.3379534,-0.0075250715,1.9070761,-0.5294163,1.3316783,0.2071625,-1.4360332,1.424954,2.676252,-0.1276468,-1.5860997,0.8560205,-0.34195027,-0.6878792,0.586218,1.6539884,-0.5748305,1.6255645,0.91519314,-0.09129424,-0.79632604,0.8539321,-1.0848833,1.600804,-0.41408974,-0.78066546,0.1372828
