,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,1.3100663,0.028773213,-0.4070297,-0.8246758,0.5690347,0.9523563,0.09800124,-0.08399818,1.1763766,1.0598991,0.2743716,1.2562715,-0.064494655,0.4964653,-0.63408744,-1.1690947,-3.0170827,2.3636038,-1.435642,1.0540186,-0.85814065,2.448003,2.6917284,0.022631805,-0.8215186,-1.7981843,2.8625546,-0.37954682,-2.8551838,-1.8387245,-0.2512238,0.8599084
activity,1.4299448,-0.60916054,-0.004371349,0.04344421,0.6506267,-0.7067643,0.37139785,-0.67604214,1.8612232,2.9730675,-1.0530763,1.323562,0.06744702,-0.9055768,-0.18535121,-1.1806121,-1.4468108,2.2390196,4.202194,-2.324375,-1.3032233,0.45496273,-0.84301054,-1.5345786,0.23263842,-0.31294125,-1.3592747,-1.4115739,2.481149,-1.3762318,-1.8398708,-0.8623449
age_group,0.42820045,0.49492893,-0.5651386,0.38467085,0.7178406,-0.16898638,0.88711566,-0.18157499,1.2601318,0.9849729,0.1847623,1.6217687,-1.2245357,0.51362973,-0.56083107,-1.3346268,0.07879791,0.8856682,-0.5395169,-1.5587293,0.51224697,-0.729392,1.1526725,-4.188769,-1.5847734,-0.3585626,0.22122432,0.2774576,0.9529676,4.333412,3.6606545,0.8303707
alga,-0.83282226,-0.040305104,-0.31356022,0.1429991,2.076347,-0.1077216,0.6743466,-1.8594358,2.1265786,-1.4394406,0.13924229,2.199271,-0.20039584,-0.04362348,-0.3275987,-1.4994133,0.6847293,-1.5418804,-3.119358,1.1119572,1.9637704,-5.7190394,1.4836472,2.7159226,0.12551211,-0.89814556,0.5348556,0.14475316,-3.162839,0.7840615,1.2626742,-1.4993778
amino_acid_peptide_or_protein,-0.040568624,0.91963035,-0.65437615,-0.9611332,1.0459563,0.65753055,0.24094282,0.21156687,1.0019069,1.29504,0.538523,1.6585922,-0.89701647,0.09556408,1.0942696,-1.7701725,0.8020965,-2.3255606,1.0873449,-2.1551666,2.4729652,2.1868224,1.2493085,1.1972784,0.84346247,0.23844582,2.0939143,2.2256956,-1.8501192,0.042372797,-3.3835187,-0.23968801
amino_acid_sequence,0.81576985,-0.94306624,-0.13464479,-0.060625292,0.40463173,-0.09845929,0.6967174,-0.3380194,2.1087654,1.8914328,0.23104246,1.8204988,0.05558917,-0.39219064,-0.24592504,-1.9209,1.60809,2.1113982,-1.8295023,-3.9776301,1.467541,2.1051173,2.142594,-2.762487,-0.84910834,-0.86724234,0.6274612,1.8333876,2.6139305,0.15781966,2.2985227,-2.021493
amphibian,-0.036365688,-0.07732557,-0.4604772,0.13599838,0.9407702,0.47529978,-0.5644901,-1.3146647,1.6122571,1.0062727,0.19852903,1.7201173,-0.21983626,0.32612357,-0.6582943,-0.6095516,0.54627097,-2.2971506,-3.7406416,1.8463842,-0.6871789,-2.803947,1.0964754,3.1378756,-0.8911785,-0.07694352,1.5444132,0.81983215,0.2769767,0.24440745,-0.09501998,-2.2915454
anatomical_abnormality,1.0523996,-0.23769277,-0.23253356,-0.95953345,0.19706559,0.89873725,0.21069674,0.057901975,0.5552886,0.856817,0.14303862,1.4749365,-0.18965533,0.7295584,-0.836311,-1.691398,-3.810869,3.4387178,-1.3092209,1.0013108,-1.4270602,2.4295673,0.80919564,0.70342547,-0.16137128,-0.62839884,2.3407311,-0.35523155,-2.2955904,-1.0540664,-0.71870285,0.15620962
anatomical_structure,-0.056801625,0.30709893,0.16382521,-1.101303,0.7944845,1.4757876,0.21679352,0.8879841,1.8634672,0.74914795,2.1435208,1.3527412,-0.316051,0.35528103,-0.19961013,-1.8079444,1.0311728,2.6677327,0.0090723485,-2.5999825,-0.1437502,-1.0914655,3.5258577,0.40608832,0.5538436,0.66432965,-2.871139,-0.75859517,-2.7376423,0.42482364,5.305853,-0.31828213
animal,-0.010800578,-1.1723306,1.2528746,0.03690535,0.7738237,-0.3404738,-0.04154777,-0.97037095,1.3878143,0.41349947,1.1628265,1.7022679,-1.143506,-0.5598139,0.34972686,-1.4508797,0.041756537,-2.87909,-2.7058835,1.8171928,-1.54493,-3.9951928,1.6622221,2.3931928,0.61726075,0.16660853,0.37187755,-0.9694685,-0.088201985,1.972104,1.5778159,-0.87973917
