relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-0.19867887,-2.1288464,2.373259,-1.5848975,-2.8577006,0.7882773,-1.5724739,-0.111506574,2.209331,-0.5802817,1.1476488,-2.0606568,1.3479596,1.4559021,0.51221675,-2.4502852,-1.8705754,-2.9257386,-0.82583034,-0.86624014,1.9185642,0.047977813,0.906719,-1.9800371,-0.46354535,-0.15721323,-2.3152125,1.8586078,2.3617969,-0.8044734,2.9109087,0.272308
affects,-1.0814873,-1.5704248,-0.47759297,-1.6711938,-1.9312055,-0.89886755,3.20552,-0.35710713,0.85166603,1.0682842,-2.1332812,-0.86609656,-0.16620095,2.5024848,-2.091157,0.3034004,0.25913236,0.06082949,-2.4971151,-0.77720904,-0.59634185,3.2383866,-0.7043443,0.10259463,0.3579904,1.3380945,2.0139592,-0.28364846,-0.067561254,2.4576876,-0.43573174,-0.45504948
analyzes,-2.1937425,-3.5057428,0.08914756,-1.790071,-0.53068215,1.2604877,-0.19602254,-1.9969399,-1.2559912,-2.0686023,-0.5879005,-0.45219457,1.2150257,-1.8693078,-1.4300209,1.1641668,-2.266699,0.102771915,-1.4928851,-0.00087942276,-0.34311372,4.598979,0.86878633,2.0779269,-0.8834514,-0.40141696,-2.367858,0.83800167,1.1492811,-1.9897759,-0.3975837,0.1628502
assesses_effect_of,-0.50184774,-2.9368653,3.2011695,-1.893155,-1.2304597,1.5077287,-0.98778605,-2.9792585,1.6038157,-3.6777756,-1.4969518,-1.132297,1.2173326,-1.8874227,5.1447563,-0.66074395,-3.7674863,1.5457839,-0.4356354,-1.0001879,-0.34365988,3.5191016,-0.39499593,-1.5432941,-4.8348136,-2.2384343,1.4624463,1.0464126,-0.19264558,-4.2101674,1.2794527,-0.6896793
associated_with,-0.32131022,0.41233355,-1.6617627,-3.0616007,-2.4993236,-1.924597,0.6014936,-2.1601112,1.7275347,1.3049341,-0.8775245,-0.013302085,-1.4020344,-1.013028,0.6505632,0.28713024,0.20311372,-1.3995663,-0.6068805,2.4409764,-1.3486189,-1.9114993,-2.5092523,-0.53613776,0.44621226,-0.8337816,2.9315052,0.2801739,-2.9094965,0.3715284,-2.333577,0.30078778
carries_out,0.19132726,-2.829124,-2.5269392,-2.0876875,-2.2085593,-0.12046472,-0.43872672,-0.8757097,-1.2649482,-0.36520264,2.0673885,0.48341304,-1.3036873,2.04018,2.9454565,0.09854289,1.6597128,0.3804845,0.903059,-0.55158114,2.0900514,0.15956366,0.24341579,0.12917769,0.06741436,0.107610695,-2.3912165,-0.51965755,2.364447,1.1490704,2.2843194,-1.7134533
causes,-0.058412325,-0.30331987,-1.6058849,-3.5261226,-1.8752779,-0.3312925,-0.72089547,-1.3124075,-0.33251262,1.5353545,-1.1689912,0.5885792,-1.2827958,-0.5261852,0.12825087,1.5475065,-0.054770544,-0.53204846,-2.6051438,0.8226461,0.6729455,1.5372026,-1.1889297,-0.55792856,-0.71316665,-0.40343434,1.7103714,2.0315232,-0.7439567,-0.7726193,-2.172361,1.7476968
co-occurs_with,-0.6803943,0.09943961,-0.26762897,-2.3865716,-1.0340885,2.6217027,-2.5864165,-1.6918993,0.15937167,0.71821046,-3.3012218,0.96377075,-1.4741931,0.9630929,0.7379101,0.7322327,1.4040173,-1.5483754,-0.33997217,2.0214522,-1.5595998,-1.4078666,0.9923471,0.10317351,-1.7225113,0.016937623,0.6598691,1.8216225,0.7440976,1.9935473,-0.50717556,-1.383919
complicates,-3.5187938,-1.8471663,-1.9462599,-0.40153855,-1.772702,0.2799891,-0.43684486,-1.0790459,-1.312774,-0.5725073,-2.9555166,1.675704,-0.93974704,-0.26914313,0.14588214,1.1120918,2.5660825,-0.48498273,-0.110460036,1.5936633,0.9264213,2.2588434,1.4059609,-0.8134922,0.12787363,0.5156436,1.8903583,1.1298014,2.0025332,0.8345322,-0.081855126,1.5650709
conceptual_part_of,-2.2700298,0.68839747,0.092150025,-1.4438717,-1.1573621,-0.25452578,-1.3609672,-1.249259,-0.11240486,-0.14093453,3.7473392,-2.0652459,-0.99901533,-1.0292193,-0.96867806,1.0800732,-0.9889137,1.7256098,-1.2383188,-0.9693295,0.39339137,1.5261446,-1.782552,-2.3650892,0.30247647,-2.0142417,0.09064014,2.4192023,1.1406465,2.1013522,-0.20626993,-1.2956856
