,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
person0,-0.62421757,0.77508044,0.42694324,0.99610347,-1.2016323,-0.4526916,0.026844297,-0.40341768,-0.42710716,0.15136687,-0.20611009,-1.3119346,-0.93650025,-1.1819334,-0.9169703,-0.13196042,0.26446426,-0.8032675,-0.7514982,0.71286005,0.595574,-0.63951844,-0.27668706,-0.9135321,-0.82196724,-0.06816016,0.6463522,-0.63323194,1.1736546,0.76093656,1.6221745,0.98298055
person1,-1.6190783,-0.6758384,0.07073895,0.4514626,-1.7271469,0.2760642,-0.5335127,-0.77965117,-0.97628576,-0.19491804,-0.27165148,-1.467542,-0.9029781,-1.0433882,-0.8361074,0.24270085,0.88821757,-1.3303589,-1.206102,1.3287197,-0.02562679,0.8303591,0.72660285,-0.58620846,0.9898472,-0.8047451,1.3468028,0.8847135,0.4264054,1.89517,1.6129931,0.20072708
person10,-0.98735905,0.76855904,0.43142238,0.7406105,-1.3132265,-0.02062671,0.09922284,-0.399997,-0.47299626,-0.15923117,0.59371793,-1.4059007,-1.0061394,-0.9956405,-1.0182185,0.35687542,0.711571,-0.9680122,-0.8952452,0.89248157,-0.43276018,-0.58456254,-0.7840687,-0.88654697,-1.507031,-0.19833483,0.5128478,-0.15294862,0.27400267,0.9900927,1.5619197,0.7333233
person100,-0.08787962,-0.25499564,0.70226824,-0.49217182,-0.9369561,0.8225889,-0.68360895,1.412181,-1.2394481,-0.6552155,1.0051512,1.070213,1.5925502,1.1549892,-0.8205302,-1.0396312,1.3348714,-1.6567106,-0.58288413,-1.1042039,-0.33733186,0.601701,-0.11273111,0.26130515,0.13584502,0.51011825,-0.1637832,0.6021518,-0.8802265,0.123423785,1.548368,2.2806756
person101,-0.58962667,-1.5636849,-0.5050124,0.9935933,-1.3336537,-0.3405184,-0.7007509,1.758044,-0.24705209,1.2329923,1.9180179,0.021600448,-1.3730972,-1.3136224,1.1800762,-1.0404266,-1.1277901,-1.7339097,-0.75623786,-1.0319949,-0.09750285,0.47411674,0.60115653,0.6776605,-0.47713116,-0.10526772,-0.7842569,0.72699386,-1.7603314,1.3004943,1.3585429,0.8078254
person102,0.63653016,-1.3808064,-0.14893867,-0.5720414,-0.39540142,-0.4155008,-1.1420652,-0.94088763,-1.329161,-0.021041559,-0.92941,0.60715526,1.4960575,-0.8445885,-1.053397,0.26601306,1.2913197,-1.562387,0.3397128,0.8397466,-0.07971995,1.2779616,0.24167411,-0.1614272,0.22826928,-0.5661856,-0.7530565,0.8798335,-0.5009182,0.522417,1.7778462,1.4376447
person103,0.77213913,-0.08603712,-0.84418404,-0.51903653,-0.33851397,0.27546608,0.041963793,1.1945058,-0.9522241,-0.578049,0.78259546,0.35264722,-0.42910054,0.8875975,-0.9804034,-1.5480273,0.55169356,-1.5103371,-0.015618635,-0.84328294,0.35332364,0.5083664,0.027746052,-0.87631285,-0.8848574,0.15452217,0.47802314,-0.82714146,0.23506534,0.55707693,1.3543738,0.48468515
person11,-0.7437551,0.11660101,0.6529209,-0.09854097,-1.7252369,-0.031054575,-0.62918174,-0.43301478,-0.7992393,-1.0268452,-0.6229478,0.60404235,1.2901217,0.89533895,0.6878653,0.1561224,-1.1810081,-1.3263147,-0.43709147,0.9414579,-0.35884148,-0.38058633,-0.78337157,0.19377144,-0.747524,-0.5853426,-0.44521466,-0.18982124,-0.24183281,0.90137964,0.91446537,0.41465044
person12,-0.98671705,-0.25529942,-0.17697503,0.9117914,-1.2399584,1.0313493,-1.8903302,0.33302343,-0.2449606,-1.1658154,-0.6780702,0.7713281,1.085866,-1.072971,1.0060451,0.35480297,-0.5739631,-1.252991,-1.5995709,-0.79653525,0.09945557,0.110032454,0.29999638,0.86642784,-0.017114857,0.69438493,-0.33019507,-0.09028224,0.014787571,1.3634906,1.2414482,0.21560194
person13,-0.45067477,-0.86670196,0.26357532,-1.48981,-0.9149872,0.38349402,-0.37780908,0.40695846,-0.047571365,1.8664778,0.23187444,-1.223619,0.47239676,0.7266323,-1.4909382,-0.2828736,0.71001214,-1.7395447,-0.99763244,-0.6962904,-1.3685516,0.66636086,0.7415216,-0.56340873,0.015822416,1.0043001,1.3177978,0.73802257,-0.26884234,1.2824209,1.4208579,0.16736548
