,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,-0.57160133,1.9899719,-0.5900608,0.05102827,-1.302827,-2.481,-0.24908875,1.9030955,-1.6313394,-2.5228822,0.14659387,-0.47168598,-0.2151786,-0.9562983,2.2687917,1.3053466,1.0728066,0.709123,1.3733852,-0.38358304,1.7804965,3.6140292,1.5885984,1.539452,3.1747546,-0.9729863,1.0873533,4.058259,-0.17665784,1.2891214,0.5067247,-0.3742027
burma,0.043145105,-0.45819384,-0.7117461,-1.108308,-0.4868026,0.7666625,1.3499926,1.1881645,-0.85983896,-1.8376628,-0.7894096,0.19681703,-0.63597095,-0.65655386,2.0248032,-0.10990584,-1.084776,-0.041030142,0.8846437,-2.9768946,-0.04747034,0.88987446,-2.2125342,2.591929,0.11829677,0.5091319,-0.5043969,2.3212605,0.04077038,1.66988,1.2211242,1.3051732
china,-2.3761353,-0.30540955,-0.7796763,0.74724257,-2.2908106,-0.35263377,-0.040321227,0.8489819,0.8656991,-2.6535804,0.83227664,0.6924185,-0.27117723,0.6117182,1.079288,1.1666596,2.8630054,1.0917568,0.32262933,-0.12680809,-2.698588,0.80588484,-1.1918328,1.3979181,2.8969061,-0.45335215,-2.0067406,2.16565,-2.4936302,1.9356545,3.4202373,2.9465888
cuba,-0.057801094,-1.6386956,-1.9801937,0.16892081,-0.6125619,0.75894827,-0.19307148,2.8437994,0.37736738,-1.5649306,0.5102895,0.02145569,-0.38504824,-1.6272919,2.720418,1.0951872,1.8274409,0.6324933,1.4717022,-2.774241,0.11097688,-1.6880585,-2.682769,1.9296037,3.628963,-0.97069275,-0.75436425,2.819168,0.28194436,3.0099735,1.6012301,-0.26584503
egypt,0.7231912,0.0604883,-1.2262281,-1.766486,-1.3645444,-0.23376812,0.023523763,-0.892835,-1.0551608,-1.4205533,-0.90154916,0.2951775,1.2821527,0.6577519,2.551275,-0.34006628,-1.0488663,1.2815081,0.16290346,-0.010921612,0.24785542,2.5988622,-0.48585582,1.2420924,1.0050694,-0.8015065,0.22461887,2.4654343,0.43913984,4.7652645,0.026483646,1.2077819
india,-1.1166031,-0.78777635,-2.557833,-1.0778116,-0.16606233,-0.724356,0.10806693,1.6584398,-1.1511438,-0.18402661,-2.1117961,1.3347558,1.7241005,-0.7544062,3.1737401,0.17541339,-2.4375157,-0.31644,2.229094,0.45063898,2.275061,0.84781086,-0.89616287,1.1419787,-1.1058958,-2.090048,0.28480786,3.4536698,0.61900663,-3.1066365,1.1235464,1.7387491
indonesia,1.1281642,0.48318684,-1.3577614,-0.6225367,0.3689918,0.7030924,-0.83907187,1.3230752,-0.7002979,-2.2799935,-0.9528886,0.47697568,-1.1479533,0.14225625,1.8293098,0.18731725,0.7277542,1.1257111,1.5124009,-1.7566009,1.102346,3.7469745,-2.4940023,3.1134884,-1.8356531,0.48988378,0.04929364,2.2242646,1.500499,1.8530015,1.2134392,0.6182336
israel,-2.3629584,0.36356822,0.8938489,-2.696754,-0.86099553,-0.6854385,-0.5684067,2.154028,-2.2544131,-2.3985193,-3.1717405,-0.37642995,-0.32342914,-0.27373323,1.1933186,2.253344,-1.944685,-0.4835007,0.13192895,-2.0653958,2.2777417,-0.5712021,1.3728677,2.650769,0.33333558,-0.5189522,1.5519184,4.3340526,-4.0543914,2.2983081,-1.434114,2.8719127
jordan,-0.43929452,1.6550001,-1.2147592,0.1931631,-1.520114,0.51736015,0.9535596,1.5028253,-1.6013995,-2.0659425,-1.4758226,0.38226086,1.2455666,1.6267555,1.655751,-0.86671925,-2.9248393,3.6577969,-2.3637698,-1.997907,-1.5123326,3.0096262,-1.9759262,1.6109816,-1.4490839,1.3994684,-1.271239,0.4443737,-4.1217694,-1.0309112,0.44562948,1.4589719
netherlands,-0.91684383,1.822922,-1.1862977,-1.416973,-1.7695179,1.6521057,1.1532762,1.8408612,-0.11904682,0.5916258,0.45778668,1.9299314,-1.12922,-0.49919304,2.392194,2.7559981,2.4157853,1.2824647,0.6372826,-0.30811107,-0.19297433,-1.430945,2.416383,-0.22336924,3.351579,-2.5310225,3.750479,3.2742367,1.3836292,3.0245965,-0.85838634,-3.0288467
