,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-0.5579865,0.43876538,1.282656,1.5421538,0.09107393,0.34682098,1.7132275,-0.050160248,-0.6191676,0.4520954,-0.9034368,1.3822601,-0.14449795,1.4270475,0.217196,0.57832205,0.33149385,-1.1097893,0.05075047,-0.8201751,-0.87967306,-0.82434744,0.35830233,0.91133696,-1.090973,1.4803679,-0.9285335,0.48699623,1.1520001,-0.21820144,0.39598146,0.8271799
activity,-0.30313838,0.89524895,-0.9701315,-0.056101248,-1.1443121,-1.6257929,1.8454686,-0.63142335,0.99829924,1.1108398,0.49656639,-0.5521446,-0.17216815,0.842041,-0.6351556,-0.22460192,-0.1837731,-0.8008034,-0.5811063,-0.24862513,-0.43490872,-1.2802598,0.47314763,0.68840015,-0.89910126,0.8772549,0.22527656,-1.0130901,-0.50471944,0.55226624,-0.36159274,0.50678414
age_group,-0.6975278,1.6603104,1.818476,-0.85904205,-0.91778344,0.30502948,1.1160238,-0.443008,0.60808116,-0.080700114,0.7441952,0.10762179,1.4321604,1.4161788,0.38732272,0.6870253,-0.60011727,0.26348966,-0.85403097,-0.89788574,-1.976767,-1.4011476,1.0670547,-0.3146593,-0.2364959,0.6159535,0.78027356,-1.180681,-0.4368497,0.99092853,-0.4898191,-0.17038055
alga,-0.6383102,-0.37077498,-0.39769247,-0.15412484,-0.8938036,-0.23402515,1.3243299,-0.65603846,0.5918448,-0.058999836,-0.47432825,0.13057165,0.2423179,1.0136472,1.0193164,0.97210234,0.6029972,0.23129287,-0.62127346,-0.6494878,-0.8052694,-0.9805357,-0.024645662,1.8707045,-0.071499,0.19012687,0.30620235,1.3531095,0.5236771,0.9155253,0.01134705,-1.3346128
amino_acid_peptide_or_protein,-0.66507417,0.5818506,0.037776757,1.0772418,-1.0251201,0.30492648,1.5672506,-0.5904932,0.0065875333,-0.2668494,-0.2078261,0.06247027,0.11748442,1.3994086,-0.7845691,-0.46976677,-0.26173776,-0.35523987,-1.1178983,-0.40920827,-1.1513885,-1.4703102,0.3400718,0.7454773,-0.088523455,-1.2882067,0.7645834,-0.02912477,-0.2767875,0.41961935,0.026576385,-1.4385548
amino_acid_sequence,-0.64059275,0.4949543,-0.11613563,-0.114907905,-0.7392849,-0.95861,1.977425,-0.033562005,0.10494381,-1.2802224,-0.42318377,0.012307403,0.9967151,0.7405271,-0.5556078,-0.6562239,-0.049094297,-0.06025741,-1.2412559,0.11126119,-1.9555506,-0.77186537,1.2389344,1.2755582,-0.8063457,0.6474369,-0.16641043,-0.6011894,0.9047731,-0.1666442,0.23501411,-0.55654424
amphibian,-0.3066779,1.0240167,-0.19804485,-1.0552611,-0.02969155,0.23713733,0.8403008,-0.47115898,1.4208688,0.50616336,0.486347,-0.6620482,1.2792768,1.8016198,0.5289663,1.5213971,-0.77417266,0.41171038,-1.0474008,0.3375119,-0.78176457,-1.103235,0.73240346,1.043504,0.13299797,0.24790466,1.4500808,1.7373748,-0.7408076,0.29776746,0.36694774,0.06436288
anatomical_abnormality,-0.11569229,-0.1237965,1.1518475,0.69465894,-0.36448517,-0.043895192,2.0051792,0.43977672,-1.1996838,0.22707641,-1.1792308,0.90870196,-0.20892079,0.72347057,0.2114638,0.31796336,0.1468771,-0.08064757,-0.15737048,0.03093823,-0.8086793,-0.6800759,-0.13301437,1.1751764,-1.7480342,1.5641491,-1.2687088,0.22980723,1.7043039,-0.3044989,0.6077226,0.73459125
anatomical_structure,0.0021024966,0.4950547,1.6117358,1.179208,-2.0332694,0.8207287,2.366059,-0.104422264,-0.06729057,0.24060567,1.093316,1.4014041,1.0520053,0.7013692,-0.5048279,-0.46414223,-0.11984856,-1.1958853,-0.88309,-1.2660364,-1.514429,-1.7803378,0.18922685,0.5669993,-1.3721968,1.0370523,1.0123312,1.3771778,1.3095037,1.1512631,1.0418812,0.067046545
animal,-0.22373511,0.72489786,0.5248344,-0.7076663,-1.0133067,-0.59824884,1.7656406,-0.79641294,-0.27766207,1.9260112,-0.1735397,-0.8688226,0.99351794,0.63324946,1.0173151,1.0575856,-0.1967309,-0.5671918,0.18503909,-0.1464375,-1.190392,-1.1417536,0.27267557,0.38791227,-0.055702645,-0.72013843,1.2776105,1.5075135,-1.1580572,0.49503353,0.032171443,-1.3067441
