,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
person0,-0.8089515,-0.7059503,-0.002766556,0.058742296,-1.5625315,-0.42918897,1.0857469,-0.12368343,-0.5948636,0.41713145,0.15010792,0.18492827,0.49298167,0.3225325,-1.4325119,0.04027719,1.0869418,1.1575445,0.31422535,0.7264653,-0.12831289,0.94368726,-0.85365963,0.95801026,-0.6066353,-1.7178351,0.23513016,1.0941628,-1.0956317,0.8514042,0.085722186,0.32631803
person1,-0.017289849,0.052922715,-0.2883728,0.8451914,-1.2038547,-0.63737977,1.0543411,0.27860677,-0.48314688,0.528506,0.51627374,0.5517083,0.24057408,-0.5457506,-1.8814058,0.42948377,-0.1287385,0.34111813,-0.11349927,-0.015849825,-0.055177294,2.149779,0.1686035,1.1818272,-1.4125749,-1.5493058,0.63622695,0.67048866,-1.4531959,-0.46703994,0.15825625,0.74544346
person10,0.07808967,-0.9767699,0.6193824,-0.18512605,-1.7027668,-0.977967,1.5489839,1.2040644,-0.70579726,0.101535656,0.25231096,0.14503366,0.29790342,0.7847606,-1.0242869,0.53328556,0.9443432,0.9223592,-0.24944362,0.9977182,-0.17141128,0.24174753,-1.067066,1.2115976,-0.6656217,-2.0386627,-0.13307461,0.6352694,-1.3541752,0.69358027,0.10080854,0.059579596
person100,0.15161723,2.1783571,-0.5689403,-1.2700257,-2.279296,-0.10599349,-1.2117664,0.531202,-0.32104295,0.8797556,0.1851347,-0.044171423,-0.89878285,0.22186592,-0.71340525,0.8437125,-1.3054999,-0.0071918326,0.6988258,-0.41209534,0.7619236,-0.21398981,0.2223356,0.026619561,0.32306156,-1.0740224,0.29174817,1.3395975,1.0006568,-0.07048271,0.355481,-0.33072412
person101,-0.0011753417,0.068152554,0.33885542,0.5806618,-1.5561928,0.55974793,-0.9796157,0.39733738,-0.39955965,1.1186537,-0.25920755,0.6748189,0.6804489,-0.404432,-1.1918815,1.4984196,1.3556337,0.49648422,-1.161184,-0.75219864,0.575674,0.26299584,-0.18920557,0.4232622,1.5182627,-0.584548,0.03000054,-1.0011458,-1.0425622,-0.17648335,0.253151,-0.076366715
person102,0.62433094,-0.7019307,0.8896193,0.40740713,-1.4589194,-0.4626532,0.92221653,1.0291207,1.0439701,0.4217008,1.5881083,-0.5411124,0.310552,-0.71880573,-1.3912041,1.2267971,-0.30834243,-1.2605168,1.9226543,0.29780415,0.5695812,-1.2424518,-0.50601465,0.90396476,0.13274159,-0.59882,0.24980384,0.76745796,-0.8054637,-0.1472127,0.06347578,0.21941158
person103,0.55579597,-0.16298503,-0.26276916,-0.10188707,-1.7655368,0.43439698,-1.0163212,0.3010717,1.2703598,0.6183494,1.674708,-0.0069161924,-0.675844,-0.19975756,-1.3248042,1.3634568,-0.08912091,-0.23645638,0.90583056,-0.10429577,0.5614137,0.096937776,-0.023982821,0.27985886,0.25876632,-0.8613497,-0.5221654,1.4638165,0.7456041,-0.56811994,-0.53087205,-1.0462478
person11,0.8994078,0.19218668,-0.29774994,-0.27146173,-1.3132228,-0.49429393,0.886264,0.51376647,0.47269306,0.55744135,-0.436311,-0.19556254,-0.63928705,0.32927158,-1.2737911,0.30271748,-0.685613,-1.226472,0.1046821,0.05365623,0.056002837,-1.4480454,0.18839425,1.6524425,-0.9580987,-1.3466654,-0.45465443,-1.1861703,0.92543167,-0.48389804,0.036671318,0.8098303
person12,0.93661237,-0.052885,0.109823875,0.45123476,-1.480711,-0.09786353,-1.5000522,1.0225871,-1.1983459,0.4801425,-0.3012145,0.1363923,0.05551543,1.5595869,-1.86107,0.15388195,-1.4331237,0.25264788,-0.16953014,-0.23601331,-0.24029212,-0.44403616,0.39249256,-0.12998359,-0.7254594,-2.0080824,-1.2768937,-0.6514994,-1.8574313,0.30070153,0.06433653,-0.112365216
person13,-1.1913638,0.3955877,1.258616,0.6141516,-1.5115461,0.7303124,-1.4441916,1.1159908,-0.346401,0.52476186,0.96389955,-0.03760361,-0.46345136,0.1305231,-1.1806555,0.44753242,0.83949697,0.5584695,-0.09144449,-0.08543168,-0.12803158,-0.39819548,-0.21341932,1.0834463,-0.5391032,-1.2869301,1.13112,0.5669714,1.2183107,0.8281178,-0.31124344,0.45028824
