,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,0.2105722,-1.067794,1.2314852,0.003645908,-0.102905296,-0.029700262,-0.7866571,0.6097541,1.5597441,-0.27917373,-0.13523716,0.4263711,-0.033785664,0.24595135,0.39535227,-1.3263513,1.2327596,-0.8718512,0.36652762,0.39283723,1.1519477,-0.9989522,0.60283923,-0.4152881,0.33328724,0.5554064,-0.5989281,0.07113972,1.7440085,-0.0013264455,0.93208456,-0.03492924
activity,-0.15715806,-0.87695795,-1.1686805,0.29203302,0.28274444,-0.36919427,-1.7469356,-0.0031219171,1.7486569,-2.7037394,-2.1306899,-0.6187264,-1.4446054,-0.75798947,-0.076692924,-0.91538215,0.6478625,0.31929916,1.3099983,-0.010431359,1.1815473,-0.54612714,-1.104329,-1.0040303,0.24747881,1.5603822,-0.18925692,-0.5084846,-0.10783033,-0.19128977,0.86291474,-1.3969061
age_group,0.8475728,0.3379113,0.16823196,0.058334038,0.15134647,0.12495166,-1.1484603,-0.13628988,1.8033905,-1.2563564,-0.2516208,-0.83819824,-0.2669434,-0.6301258,-0.36197937,-0.70530033,1.4521291,0.96108407,-1.2625521,0.77173996,1.5026643,0.17070043,-0.4415261,0.02175209,-0.101852104,0.64217097,-0.8759258,-0.596012,-0.9524615,1.4173398,0.74014956,-1.3568829
alga,0.8676273,-0.18609323,-0.045793477,-0.43143174,0.2757978,0.9087322,-0.7739759,0.48888353,1.9772879,-1.10832,-0.96288866,-0.92140776,-1.4534585,0.7825208,-0.38165587,-0.55272084,0.21827316,0.8306636,-0.25978073,0.15375015,0.4235363,-0.31803432,-0.53180987,0.020153765,-0.7807015,-0.018544428,-0.39258787,-0.85330117,-0.91889256,-0.9614071,-0.018501598,0.6573835
amino_acid_peptide_or_protein,0.17014565,-2.1054757,-0.07101831,0.1378137,-0.19849291,0.52677405,-1.8580362,-0.26351112,1.6006035,-0.91104317,-0.74307954,1.0650344,-0.10057565,0.09609993,-1.0050596,-0.10586564,-0.6307924,-0.48691133,0.05833486,1.455333,0.54998165,-0.0143367695,-0.7037055,0.5740432,0.050415102,1.3690042,-0.52871907,0.2777676,-0.089063875,-0.006541578,0.8998301,-0.12539138
amino_acid_sequence,1.0853868,0.3705216,0.5189792,0.9052144,-0.011774195,0.57226884,-1.7741799,0.8772533,2.0035253,-1.135008,0.30559304,0.18081813,-0.31730407,0.19111228,-0.93853927,-0.0036846213,0.7596487,0.3660717,0.3223586,-0.6883371,0.7010941,-0.5195901,-0.18547168,0.017210614,-0.11909432,0.9757637,-1.1118364,-0.09684381,0.34935838,-0.5417992,0.48783952,0.97624475
amphibian,0.549969,-1.0579247,0.09985989,-0.64196205,-0.017015768,-0.14709055,-1.0987396,0.3695012,1.7935927,-1.9258196,-0.6387647,0.6600105,-0.4827832,1.1195987,-0.5312167,-0.8610265,0.555818,-0.12651052,0.49761721,0.5968545,1.1901385,-0.49474278,-0.97603947,-0.6101427,-0.87546545,1.3042332,-0.033984374,-0.9493686,-1.3163201,-1.5520984,0.7286126,0.22574347
anatomical_abnormality,0.45409086,-1.5338712,1.2665495,-0.17956914,-0.042093754,0.25613987,-1.0274292,0.97944415,1.582131,0.08499292,0.06441328,0.11980525,-0.105348006,0.2274949,0.2920035,-1.1149155,0.49880308,-0.2105944,0.04236545,0.1857797,1.029496,-1.2302536,0.5665275,-0.3792276,0.06589305,0.7304605,-0.91870654,0.33464712,1.5394312,0.16669433,0.5805471,0.35844344
anatomical_structure,0.8450827,0.301182,0.33324283,-0.9596571,-0.34634155,1.5160908,-1.4812542,1.1457486,1.9303037,-0.2940117,-0.49611366,0.73191047,-1.8685277,-0.3939117,0.3956086,-1.1580393,0.9308722,0.8491122,0.74024254,0.49053073,0.5253011,-0.4039001,-0.2108518,-0.31288746,0.3217323,1.6015135,-1.6986012,-0.28960496,0.8166151,-0.50153804,0.46470487,-0.24615173
animal,-0.45952466,0.03119894,-0.030689944,-0.7036413,0.094153084,0.72676146,-1.1637887,0.9753433,1.8016436,-0.98810023,-0.5448375,-0.27833453,-0.051657416,1.1622196,0.7363152,-0.8021148,0.7570978,0.6519674,-0.82429016,1.1579521,0.3461201,-0.15601864,-0.79749924,0.07032959,0.069584504,0.38999462,-0.62253124,-0.08096177,-1.0113729,-0.49888095,1.0232067,0.46760395
antibiotic,-0.3085475,-0.518004,-0.72804356,-0.116748974,0.43388885,0.57887405,-1.2035316,0.8741938,1.806236,-0.38479155,-0.5331898,-0.29736114,-0.83421046,0.17567019,-1.0141468,1.1620449,0.3422109,-1.0292466,0.21853375,1.252176,0.77788454,-0.54513943,-0.52090114,1.3171365,-0.16688453,0.20453395,-0.36035746,0.19812939,0.38809186,0.8780027,0.26677474,-0.08655883
archaeon,0.94479084,-0.6319557,-0.47094214,-0.59461963,0.72563297,0.23228456,-1.2628956,1.3623214,1.6147566,-1.5566399,-1.3783181,0.46993932,0.9936475,1.2121893,0.155959,-0.16686817,-0.27770182,0.09365946,0.43362916,0.21427554,0.67659426,0.19163601,-1.9785104,0.021732062,-0.44187543,0.8744644,-0.3407379,-1.2798479,-1.2846929,-0.46533006,0.71159554,0.37899917
