relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adjacent_to,-2.4757247,-0.32723317,0.30434814,1.1224163,0.0013997823,1.3501148,1.7072282,-1.0082644,-0.17345208,-0.28121793,0.07063269,-0.6407882,-0.3996517,-0.51531124,2.0586548,-2.0612268,-1.9941732,0.9880106,0.4259047,0.28849396,-0.52516085,-1.8581802,2.5589237,-0.11504991,-1.3838387,2.7466857,-0.65826917,0.011217756,-1.408573,-0.24945727,0.14607964,-0.45980853
affects,0.2566709,-0.040590476,0.1933325,1.0939364,-0.6155389,-0.24988751,0.4064998,-1.8676633,0.01087636,-1.0547242,-0.67741513,-0.52602285,0.23574524,0.1777136,0.7105607,-0.8165936,0.33894065,-1.1946213,0.60543597,0.33397776,-0.31406495,0.5221492,0.575138,-0.41352692,0.55757624,1.2096279,-0.17373277,-0.3212148,-0.1889807,-1.6199422,0.4954596,1.058937
analyzes,-1.0249596,0.4071564,-0.24043243,-0.0034372974,-0.8377264,-0.6826408,0.06324416,-0.59093034,0.6270543,1.2079974,0.34094256,0.124084145,-0.3679827,-0.5344289,0.14264667,-2.2740355,0.21881834,-0.06052901,1.4890684,-1.5504704,-0.5189114,0.8599644,1.0372142,0.30299953,0.65676945,0.7825507,-0.3961178,-0.66111034,0.4560529,0.36327586,-0.7845204,0.8214847
assesses_effect_of,-1.8068562,0.64850205,-0.63808745,-1.2087165,0.049941193,-0.95372164,0.93790656,-0.45134062,0.2789428,0.25052917,0.009116434,0.27329266,-0.65752226,-0.10210943,0.103248134,-1.4915311,-0.1793027,-1.5543132,0.6219723,-0.73433286,-0.059120744,2.1243646,-0.37298828,-0.22391953,0.13906881,0.80810654,-0.0689943,-0.1714325,-1.6402488,-1.1855481,0.33967417,-0.05658812
associated_with,-1.2702403,-1.3279022,0.76210904,-0.4186944,-0.3178096,-0.17265251,-1.174224,-0.7710999,0.8779032,-0.70193243,-0.7882946,1.0717335,-1.0186472,0.6044743,0.97703236,-0.6386199,-0.14941193,0.51348126,-0.6374172,0.14468487,1.0076975,-0.587699,-0.6862981,-1.65977,-0.051176198,0.7914989,0.05574391,-0.39866206,-0.6549353,-0.1587607,1.108052,-0.3525366
carries_out,-0.68261653,-0.63297147,0.8664814,0.8645623,-0.48031315,-1.6298109,-1.5163234,-0.6244867,-2.20627,-1.0728444,0.20584345,0.9794911,-1.4536353,1.356984,-2.2572575,-1.4957007,0.44972602,0.9508761,1.0909616,-0.8440462,0.25133052,-0.8810706,-0.7854815,1.4274187,0.7964725,-0.044643003,-1.1281749,-1.1531612,-1.379332,0.18607739,-0.5926999,-0.057148006
causes,-1.1934801,-0.82111573,-0.75683385,-0.2621826,0.35441247,-0.36863697,0.6385946,-1.6737102,-1.1622157,-0.27160814,0.53987896,-0.4340812,-0.88380593,0.1392042,0.0738979,-0.6734174,0.25806195,0.39935127,0.41027775,1.1153831,-0.27886572,-0.008528563,0.3822365,-1.9115889,-0.6709118,0.899292,-0.5024086,0.1912457,-0.4552045,0.7717599,0.5576138,-0.40214074
co-occurs_with,-0.5857868,-0.48592272,1.588481,0.35357517,1.34349,-0.25543836,0.60661536,-0.8380961,0.14096725,0.33550593,-0.8417003,-0.10252639,-1.5739172,-1.3162699,0.92122406,-1.5280403,0.4427678,0.35604438,-0.50220287,0.8666837,-0.9676375,0.34665024,0.337553,-0.42630982,0.83921665,1.7378991,0.1963628,-0.9318713,-0.38355017,-0.10243121,-0.7697502,-0.9464239
complicates,-1.7432923,-0.6553969,0.3784349,0.6847651,0.6355894,0.38129407,0.57923126,-1.0674099,0.2215274,-0.8206009,-0.4890802,-0.40303186,-1.6537045,1.0368665,0.57021546,-0.6410826,0.9038445,0.10648641,0.71640193,0.7866251,0.09418426,0.5096147,1.1188252,-1.4734371,0.24889658,2.0517595,0.87451345,-0.41090158,-0.46310565,0.8452148,-0.8070035,-0.40724668
conceptual_part_of,-1.9252771,-0.019577485,-0.10981114,0.53400457,-2.4717588,-0.767912,0.99750197,-1.0161023,-0.31793225,-1.2982079,0.41831043,0.024272993,-2.9141393,0.59525484,0.13900186,-0.019737534,0.36415425,-0.42276317,0.6917277,-1.0737058,0.9498065,-0.7030849,0.0416844,2.0034916,0.8920107,0.025211718,0.3730254,-0.734691,-2.6463177,0.5261959,0.39930975,-1.4053763
