,entity
0,acquired_abnormality
1,activity
2,age_group
3,alga
4,amino_acid_peptide_or_protein
5,amino_acid_sequence
6,amphibian
7,anatomical_abnormality
8,anatomical_structure
9,animal
10,antibiotic
11,archaeon
12,bacterium
13,behavior
14,biologic_function
15,biologically_active_substance
16,biomedical_occupation_or_discipline
17,biomedical_or_dental_material
18,bird
19,body_location_or_region
20,body_part_organ_or_organ_component
21,body_space_or_junction
22,body_substance
23,body_system
24,carbohydrate
25,carbohydrate_sequence
26,cell
27,cell_component
28,cell_function
29,cell_or_molecular_dysfunction
30,chemical
31,chemical_viewed_functionally
32,chemical_viewed_structurally
33,classification
34,clinical_attribute
35,clinical_drug
36,conceptual_entity
37,congenital_abnormality
38,daily_or_recreational_activity
39,diagnostic_procedure
40,disease_or_syndrome
41,drug_delivery_device
42,educational_activity
43,eicosanoid
44,element_ion_or_isotope
45,embryonic_structure
46,entity
47,environmental_effect_of_humans
48,enzyme
49,event
50,experimental_model_of_disease
51,family_group
52,finding
53,fish
54,food
55,fully_formed_anatomical_structure
56,functional_concept
57,fungus
58,gene_or_genome
59,genetic_function
60,geographic_area
61,governmental_or_regulatory_activity
62,group
63,group_attribute
64,hazardous_or_poisonous_substance
65,health_care_activity
66,health_care_related_organization
67,hormone
68,human
69,human_caused_phenomenon_or_process
70,idea_or_concept
71,immunologic_factor
72,indicator_reagent_or_diagnostic_aid
73,individual_behavior
74,injury_or_poisoning
75,inorganic_chemical
76,intellectual_product
77,invertebrate
78,laboratory_or_test_result
79,laboratory_procedure
80,language
81,lipid
82,machine_activity
83,mammal
84,manufactured_object
85,medical_device
86,mental_or_behavioral_dysfunction
87,mental_process
88,molecular_biology_research_technique
89,molecular_function
90,molecular_sequence
91,natural_phenomenon_or_process
92,neoplastic_process
93,neuroreactive_substance_or_biogenic_amine
94,nucleic_acid_nucleoside_or_nucleotide
95,nucleotide_sequence
96,occupation_or_discipline
97,occupational_activity
98,organ_or_tissue_function
99,organic_chemical
100,organism
101,organism_attribute
102,organism_function
103,organization
104,organophosphorus_compound
105,pathologic_function
106,patient_or_disabled_group
107,pharmacologic_substance
108,phenomenon_or_process
109,physical_object
110,physiologic_function
111,plant
112,population_group
113,professional_or_occupational_group
114,professional_society
115,qualitative_concept
116,quantitative_concept
117,receptor
118,regulation_or_law
119,reptile
120,research_activity
121,research_device
122,rickettsia_or_chlamydia
123,self_help_or_relief_organization
124,sign_or_symptom
125,social_behavior
126,spatial_concept
127,steroid
128,substance
129,temporal_concept
130,therapeutic_or_preventive_procedure
131,tissue
132,vertebrate
133,virus
134,vitamin
