relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
accusation,-3.3105824,1.7519957,-2.3794215,0.070902,1.1210583,-2.2113097,-1.2375975,-3.1054788,1.0033673,2.481768,-0.106139004,1.2614695,-0.32255352,-2.6917975,-2.3673747,0.59804803,-0.1574936,-4.5860887,0.2576827,-2.784785,1.0283965,1.03494,-2.9516528,1.1875627,0.09042895,1.7724317,1.1469249,-0.22458823,0.8527807,-3.273368,-0.42753738,-1.0848086
aidenemy,-2.3272355,0.8554342,-3.0863667,-0.2854087,-2.2518744,-1.2225245,-1.0571885,-0.36917216,1.097586,-2.334638,2.2910306,-1.7219362,-2.9797769,2.4811583,-0.5046297,0.7350194,1.7651358,-2.0215576,-1.7120682,-0.58903533,0.23013529,1.9270262,2.3591557,2.553598,-0.9684034,0.9852932,-1.7759175,0.6706677,1.3106912,-1.5167754,3.0400147,-1.459768
blockpositionindex,-1.3652418,-1.3519416,-1.8929913,-0.3969962,0.09732736,-0.6033895,1.8649343,-4.0277348,2.7488503,-2.4409835,1.398303,-0.4561694,-0.7222973,-0.38750267,-2.3702736,1.2946969,1.7906007,-3.2478871,0.94974697,-4.325557,-1.5424978,0.40174082,-1.097101,2.194015,-5.476072,1.9450847,0.7078833,0.65648484,-0.2676191,-1.0359728,-0.0576884,-3.0029929
booktranslations,-1.9924505,0.06390871,-0.29619873,-0.1024731,-2.3723645,-1.8863626,1.6322771,-0.7047007,3.965075,0.8482744,1.7035687,2.2667656,-1.3254035,3.0470543,2.0327795,0.38244274,-1.7617964,0.99849313,1.2967684,-1.051531,-1.5545734,0.6459783,-1.1275241,0.22699729,-0.04016321,2.3536031,-1.0752022,0.1432553,-0.23977716,-0.37206075,0.5998936,-3.2644908
boycottembargo,-2.9800544,-1.2872074,-1.7370449,-2.6485357,-2.0516512,-2.613646,-0.052620742,-0.60597557,2.694315,0.15287529,-1.04742,-0.47075403,-0.43198687,2.5287077,-1.0611811,1.0195047,-2.3269815,1.091854,-1.8605205,0.4865545,-0.61398786,-0.36525205,3.3185956,-1.9170852,-1.391901,2.385875,-0.92028415,1.2295624,-2.1680982,-1.0097505,-0.007099587,-1.9967536
commonbloc0,-0.16005942,-0.21917948,-2.2613783,0.8285391,-0.8100272,0.1368304,0.68541807,-2.5593884,-1.4529076,3.2934885,-0.8458126,-0.5587032,-2.1713123,-1.2068347,1.919451,-1.4561785,0.07899297,1.7835917,-0.3622942,-1.8684775,2.1414862,0.78871715,0.26035652,-3.1534846,-0.505275,4.5621777,0.52477795,-0.15787493,1.6599716,0.45869285,-1.2828809,1.3362125
commonbloc1,0.74520534,-2.6714613,-0.07613352,-1.774921,0.7681439,-0.95521843,-2.1634088,-2.6976104,-0.25116012,1.7654926,-2.0908985,0.65379524,0.8181695,0.18441434,-2.2570314,0.7673777,-3.116779,1.2876841,-2.5681546,0.21810496,2.8208778,-0.64887327,-2.4848804,-1.3587996,-0.27911076,-1.3421754,0.8843441,0.3519271,-0.53714055,-1.8089354,-2.162833,-3.8582149
commonbloc2,-2.218111,3.9373584,0.62362874,1.6035885,0.15656917,-1.298322,-1.8069217,1.500467,0.5533255,1.8505824,2.9811327,-1.2155226,1.1014754,-0.18252124,4.3873563,1.240353,2.6853793,-2.0665112,1.5220034,0.07473334,-3.9036975,1.1875368,-1.551315,0.47025904,0.93031764,-2.238554,0.18100259,-1.5799986,-3.2382638,1.2595837,1.2354369,-0.95774007
conferences,-1.684538,-0.775137,3.795343,2.6351814,-0.9069488,-1.66869,2.0093603,-1.851014,-1.9209379,-0.24320059,-0.53737885,1.5528325,-1.086981,-0.18841235,3.6769187,1.7039523,2.6232429,0.03128571,3.0558784,0.15588018,0.80793417,0.15215205,-3.9093537,-2.9020193,3.1113188,1.1194428,-2.8639214,-0.6045566,1.3088106,3.1117697,2.804972,-1.5610092
dependent,-2.6597943,-0.86471534,-1.5633614,-1.5590327,-1.6642345,-1.1465796,-0.752532,-0.14342993,0.56039155,1.6485765,0.9780677,-1.4550768,-0.5450332,0.18782368,1.7761624,-0.32370684,0.17333673,-0.5359188,2.779399,3.3448455,1.8293649,-1.8726293,-2.4218829,1.5914426,0.50959307,2.8787975,-1.2724984,-0.9196571,-0.0016633719,3.2282925,2.7794344,-0.5874123
duration,-1.6749943,-0.9674097,2.077669,-0.6422675,-1.150032,-0.73917496,-1.7094145,-1.3973483,1.6591834,-0.11439644,-0.24435267,0.07383246,0.90769684,2.5991135,-0.9614363,-0.7114743,-0.14705376,-3.803616,-1.0157095,0.2272214,-0.2071827,2.1513836,-2.592323,0.45816812,-3.0092108,-0.080407366,-0.23266904,-0.28202692,3.0259504,1.6933076,-2.4490283,-0.38196453
