relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
term0,0.054415535,-1.2982522,0.7271121,-0.88485,-0.80557764,0.053635843,0.8110748,1.5819361,-2.0644414,-2.1187136,0.05235594,-0.41288143,1.1138967,0.16027266,1.9500291,-0.7763812,1.7189206,-1.9328157,0.79444504,-1.4653982,-0.20015272,0.68183875,0.18150353,-2.4708414,-1.269784,0.31654647,1.8630519,0.033508897,-0.4033896,-0.42442462,-1.8068321,-0.33010516
term1,-1.381182,0.9023498,-1.0133955,0.8054393,-1.0579997,-0.3122486,-1.1471368,1.3656195,-2.3260257,-0.48896593,-0.005890979,0.2546134,-2.0469327,2.346951,0.89260477,-0.4137747,-0.21016182,-1.5793961,-1.0853131,-0.1839509,0.2626716,-2.661628,1.4906282,0.26499456,-0.67685896,1.0907471,-1.0834966,-0.9204073,-0.70766735,-0.7173408,-1.7776945,0.41869542
term10,0.59627503,-0.5533404,-0.78029794,0.09986333,-1.7578706,-0.3620562,0.16284771,1.1922231,0.7341035,0.95205957,0.5035058,-0.5915517,0.61111736,0.8596298,1.0463408,-0.14120595,0.39858395,-0.39884317,-0.59754294,0.024320245,0.42625114,0.27261972,-0.3207284,-1.0136833,-0.07694538,-0.8563983,-0.4887417,-0.20740971,-0.42631552,-1.7614692,-1.280935,-0.29910502
term11,0.33764032,-0.92617905,-0.3238599,0.08950529,-1.1637263,-0.1995581,-0.35455185,1.0986081,0.301026,0.74032944,-0.36331657,0.0516226,0.65326166,1.1193297,0.75046265,-0.020651005,0.34345442,-0.9376425,-0.063364886,0.17884049,-0.22537695,0.67658216,-0.18338282,-0.6945707,0.56955856,-0.07621308,-0.12216483,0.3456643,-0.16604516,-0.02991469,-1.1842811,-0.210135
term12,0.67189884,1.7805642,0.045833725,-0.74642384,-1.1361623,-0.74011844,-1.2647816,-0.980403,0.6780478,1.3105633,0.1984572,0.28131163,1.7558024,0.7861765,-1.6297033,0.06346484,-0.9573171,-2.23524,-0.76313806,0.87832147,-0.5295709,0.34644496,-0.52177256,0.25370076,-0.3925308,-0.7420255,-1.2565176,0.32666907,-0.3121679,-0.36188608,-0.88050604,-1.9132698
term13,0.9971077,0.96954805,-0.05627308,-1.0824211,-1.4178789,0.027902368,-0.941547,-1.870966,0.046168875,0.062198374,-0.22734149,-0.2761018,0.7141986,1.5912174,-0.9424434,0.21060093,2.1123857,-1.2108506,-1.547404,1.417321,-0.33799806,0.49467447,-0.120643675,-0.17023173,-0.20537686,-0.19934824,0.8521785,-0.4747699,0.74849254,-1.5502187,-1.4585595,-0.085661404
term14,-0.37380135,0.9593622,-0.16532095,0.35527116,-1.1206207,-2.049748,-1.8733131,-0.39007455,1.0352155,0.8982957,-0.9622485,-0.12112997,1.0005578,0.77402234,-0.7570481,0.707712,-2.0617619,-2.4902267,-1.0193998,1.3978498,-3.6853454,-1.0680362,0.36010742,0.9081998,-0.51523775,-3.0936491,-1.1510689,-0.33941793,-0.42022344,-0.33592397,-0.9035147,0.6361268
term15,-0.45092818,0.19473898,0.108404726,-0.06480523,-0.6968142,-0.14083663,-0.29259825,1.165898,-0.33620596,-0.2256966,0.11510772,0.031366006,0.6222033,-0.9853065,-1.0466244,0.2979199,-0.31163585,-1.0716379,-0.096384354,-0.10298586,-0.30973744,-0.47017944,0.10249765,-0.41716683,-0.52245647,-0.04334782,-0.16072865,0.1441719,0.21960552,0.0721361,-1.0299913,0.42063388
term16,-0.02457062,0.0028204331,0.033043034,-0.46930355,-0.58877474,0.10543187,0.08416728,-0.9709937,-0.054874167,0.014477772,-0.031532295,-0.055806104,-0.09424803,-0.7903399,1.1884763,-0.12465291,0.2309928,-0.7824959,-0.4472604,-0.32108697,-0.010216027,-0.024232008,-0.0059442157,-0.015591422,0.093407884,-0.42453706,0.0068043433,-0.08626327,0.071678944,-0.08329212,-0.7974019,0.04702004
term17,-1.4531045,-0.10406968,0.09772764,-0.25348878,-0.66688573,-0.45104554,-0.57256204,-1.3351929,0.80212754,0.54313475,1.2289895,-0.037711844,-1.7802885,2.4570062,-1.0153852,-1.1230853,-1.6879319,-1.8673654,-1.1055176,-0.11272437,-0.27378252,-0.3579641,-0.414872,-0.9468733,-0.7447026,-0.007554371,-0.3511389,2.2873175,-1.5801111,-2.0854735,-1.4853594,-0.785112
