,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
brazil,1.0851462,2.0224032,0.26961955,-0.05064801,0.52898353,0.59248066,0.24720867,1.5208848,0.35241944,1.2936398,0.30372474,1.6696371,0.5169898,0.89663213,0.7044314,-0.13082449,0.41937456,-1.7336075,-0.7674868,-2.1994748,-0.53313506,0.09783874,-1.1713216,-1.4114245,0.13034931,0.8868016,-0.7343219,0.4789082,0.6301076,0.60682297,-1.4753302,0.8939448
burma,-0.83023727,-0.70464456,-1.0053611,-0.3875518,1.0604624,-0.94103706,0.9033333,0.88763314,0.61191976,-0.5230912,-2.1987798,0.608796,-1.1700883,0.12749578,-0.70612305,-0.29914868,0.37976015,1.2527541,-0.98337626,-0.50094163,1.6888053,1.4352055,-1.0219646,-0.9548592,1.3904325,-1.2341421,0.24220178,-1.0123571,0.874231,0.8690559,-0.98338664,1.449976
china,1.0417581,0.88808376,-1.0621325,-0.55623,0.7879686,-0.5839078,-0.6073569,0.9549493,1.4480894,-0.6066289,1.1443166,0.77470547,-0.18819024,0.12439593,0.87335384,-0.90929145,-0.31540975,-1.6552653,-1.2144706,-0.6834404,1.0015464,0.13674903,0.23112652,-0.8870578,1.689926,-1.7390795,-2.6340566,-0.30878586,0.3068871,0.8444076,0.3261336,1.260983
cuba,-0.7873812,-0.5967005,-0.3640437,-1.0830033,1.4464861,-2.2696712,0.26331314,0.60061175,-0.05829567,-0.2017263,-1.3197232,1.5672804,-0.36695096,-0.41759798,0.41321114,0.11995044,1.4756985,-1.581355,-1.7486584,-0.7311022,1.1058637,1.5311208,0.45979774,-0.7729386,1.3267344,-0.558561,-1.4114854,0.12603942,0.8665133,0.49418998,-1.094609,1.407548
egypt,-0.7755838,0.4506918,-0.6616726,-0.41182083,1.4181352,-1.860686,1.2524245,0.75520283,-0.7791396,0.6382084,0.2206906,1.9145776,-0.32433343,-0.30408,-0.061366413,0.50390357,-0.049263082,0.23515636,-0.18335667,-0.9418183,0.28225377,-0.37418196,-0.62133396,-1.2726009,0.8122293,-0.18187547,-1.1720909,-0.110139996,0.90590805,-0.5340578,-2.5349283,-0.51909584
india,1.4324042,-0.53162146,0.32359365,-0.50398225,-0.30010697,-0.019853285,0.14591606,0.4482931,1.0030527,-1.5392365,-0.29527313,1.0576407,1.1629847,-0.73881173,-1.7030464,1.138895,-0.8196783,0.9208539,-1.4212918,-1.8479228,0.6260731,1.5869007,-2.108164,-1.1075037,0.4154743,1.1525778,-0.34333408,0.9829972,-0.33541673,0.9415265,-1.5336835,-0.71706593
indonesia,1.1844261,-0.98063344,-1.0367476,2.781419,0.45093328,-0.6117411,-0.12813576,0.8466865,-0.11477067,-0.93671995,-0.7258844,0.865242,-0.6195391,-0.95941436,0.05249208,2.870957,0.38251758,1.4576302,0.10206612,-0.9439082,-0.43943846,1.8978888,-3.1139069,-1.4832469,-0.12798269,-0.30985492,-0.13636805,-0.39970198,1.4949024,0.4262598,-1.2583252,1.1696055
israel,-0.15911369,0.18082777,-1.2228452,0.06265968,0.9525048,-0.68330467,0.8386796,1.8852975,0.9016298,-0.19274975,1.5198512,2.0959766,0.13042429,0.19877091,-0.5690225,-0.1055789,0.47148868,0.8686503,-0.98431194,-1.5610934,2.5007625,0.7090627,-0.8001139,-3.0473838,0.07088673,1.4267235,-0.0015674802,-1.6431941,0.19207156,-0.5360195,2.0961192,0.0031061792
jordan,-0.40774488,-0.41349554,0.10510909,1.2842517,1.499588,-1.3952794,-0.31481734,1.0840213,1.9772428,-0.0863623,-0.8469933,-0.3022665,0.8340541,0.6148516,-0.22827917,-0.19322276,-2.2671413,1.1508287,-0.41551208,-0.37291315,-1.2214805,1.215468,-1.3686725,-1.6401254,2.175534,-0.6602575,-0.4787958,-0.55209035,2.9298937,-1.9529997,-1.6006069,1.8079561
netherlands,-0.031103658,-0.8534726,0.90954924,-0.19363517,-0.2791636,1.638532,3.552468,0.08743058,0.65610105,-0.8872319,-1.128282,2.069796,-0.66561264,1.452531,1.0340558,-0.90126467,-0.24751034,-0.8119584,-1.8688296,-0.058190264,-0.015723554,0.57929224,-1.261105,-1.2222873,1.3900863,1.3455129,0.10827113,0.9777632,2.0573888,-0.4753768,0.3712205,0.4711965
poland,0.47031763,0.488413,3.2604644,1.0382988,-0.828112,-1.1598947,0.1503156,0.70520025,-0.2439639,-1.1509857,0.22399734,1.4736427,-1.2520546,-0.8071497,1.8937353,-1.3742468,0.55321175,-1.8697282,-1.7096153,-1.4736111,0.080981724,1.0720867,-0.06904987,-1.7234951,1.2057769,0.81283444,-1.5698378,-2.2891774,-0.40099764,0.77879673,-1.2496393,0.053137902
uk,0.8552926,1.0561991,-0.2788562,1.8596553,-0.23679993,-0.120935574,-0.39379153,-1.3313582,-0.9044286,1.247429,0.5923152,0.1564462,-0.27708027,1.7846678,1.107589,1.3617347,-0.5654933,-0.7979806,-1.4668527,-0.5758099,1.1635109,1.7883211,-0.08010419,-0.45473912,0.42179912,1.3173114,-0.5417891,0.09533444,0.7957496,-0.13526633,0.3419289,0.2841974
usa,1.3699762,-1.0649012,0.2330918,0.058354273,0.16975254,1.1419085,-1.1164318,1.9922419,-1.1371684,1.5586326,0.21386099,1.6760781,0.26777315,2.2625444,1.3889753,-0.16170757,-1.9920299,0.29216903,-1.459739,1.4100435,0.62984043,-0.44151917,-0.3074105,-0.049551398,1.0444579,1.4223881,1.2535948,-1.6199005,0.54868245,1.2712674,0.17000398,0.42590955
